Variable:,tas
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
2015,14.04,5.14,12.90,7.77,12.81,6.73,20.52,12.39,11.51,11.19,22.00,17.66,14.96,9.05,20.66,8.65,13.99,13.59,12.78,12.03,10.30,13.34,23.01,10.36,15.27,12.29,8.02,8.72,12.19,7.03,16.36,12.14,8.07,6.78,16.60
2016,14.09,5.20,13.06,7.83,13.12,6.54,20.72,12.60,11.36,11.01,22.10,17.85,15.25,8.98,20.63,8.61,13.98,13.16,13.12,11.67,10.27,12.93,23.30,10.05,15.14,12.40,8.08,8.68,12.40,6.81,16.13,11.89,8.01,6.66,16.45
2017,13.94,4.87,12.80,7.58,12.73,6.98,20.42,12.40,11.51,11.21,21.91,17.50,15.03,8.97,20.53,8.43,13.95,13.27,12.49,11.77,10.26,13.10,23.03,9.85,15.10,12.29,7.92,8.68,11.73,7.22,16.17,12.25,7.66,6.78,16.48
2018,13.91,4.97,12.89,7.48,12.74,6.62,20.48,12.42,11.18,11.14,21.98,17.62,14.92,8.61,20.58,8.16,13.68,13.15,12.68,11.59,9.90,12.92,23.00,9.85,14.95,11.97,7.86,8.58,11.99,6.76,16.10,11.94,7.55,6.41,16.41
2019,14.30,5.19,13.27,8.10,13.32,7.19,20.67,12.84,11.80,11.63,22.23,17.91,15.33,9.16,20.83,8.75,14.12,13.50,13.31,12.08,10.47,13.38,23.21,10.22,15.33,12.49,8.47,9.22,12.49,7.35,16.46,12.53,8.15,7.00,16.83
2020,14.35,5.56,13.39,8.04,13.24,6.97,20.79,12.91,11.54,11.43,22.38,18.00,15.45,9.03,20.97,8.68,14.13,13.52,13.21,11.95,10.33,13.22,23.50,10.44,15.30,12.45,8.32,9.02,12.55,7.12,16.37,12.31,8.18,6.89,16.64
2021,14.30,5.31,13.53,7.88,13.27,6.88,20.82,13.02,11.50,11.54,22.23,18.12,15.58,9.06,20.76,8.62,14.05,13.70,13.11,12.04,10.30,13.38,23.32,10.38,15.08,12.34,8.22,8.98,12.36,7.06,16.32,12.34,7.99,6.81,16.71
2022,14.19,5.19,13.33,7.78,13.05,6.89,20.73,12.78,11.37,11.40,22.13,18.00,15.26,8.99,20.70,8.56,14.18,13.59,12.87,12.05,10.27,13.40,23.25,10.24,15.18,12.46,8.16,8.93,12.13,6.97,16.30,12.14,7.93,6.72,16.61
2023,14.65,5.80,13.75,8.18,13.42,7.31,21.20,13.14,11.90,11.97,22.62,18.38,15.67,9.31,21.13,8.92,14.47,14.13,13.30,12.41,10.62,13.75,23.76,10.84,15.71,12.76,8.49,9.34,12.70,7.38,16.84,12.81,8.39,7.10,17.13
2024,14.87,5.63,14.00,8.60,13.62,7.91,21.41,13.42,12.37,12.32,22.76,18.65,15.92,9.83,21.31,9.41,14.61,14.20,13.37,12.64,11.08,13.89,23.86,11.10,15.93,13.03,8.86,9.68,12.72,8.07,17.00,13.18,8.84,7.70,17.37
2025,14.84,5.90,13.93,8.47,13.68,7.36,21.33,13.29,12.06,12.04,22.81,18.62,15.87,9.56,21.44,9.20,14.58,14.27,13.59,12.71,10.82,14.03,23.86,11.00,15.89,12.89,8.73,9.42,13.00,7.55,17.08,12.93,8.69,7.38,17.41
2026,14.66,5.58,13.75,8.20,13.59,7.44,21.24,13.21,12.01,11.90,22.65,18.40,15.81,9.39,21.19,8.94,14.37,13.88,13.38,12.33,10.68,13.65,23.79,10.60,15.59,12.73,8.60,9.37,12.61,7.59,16.78,12.83,8.32,7.20,17.16
2027,14.72,5.82,13.91,8.25,13.69,7.53,21.22,13.41,12.15,11.99,22.55,18.63,16.13,9.29,21.05,8.89,14.37,13.87,13.39,12.28,10.63,13.61,23.66,10.61,15.72,12.66,8.62,9.49,12.77,7.63,16.75,12.92,8.34,7.19,17.10
2028,14.31,5.52,13.34,8.06,13.34,7.00,20.77,12.94,11.42,11.44,22.22,17.97,15.51,8.93,20.84,8.61,13.99,13.65,13.31,12.02,10.18,13.34,23.39,10.42,15.16,12.26,8.40,9.13,12.59,7.05,16.48,12.21,8.15,6.83,16.62
2029,14.60,5.45,13.78,8.30,13.76,7.23,21.18,13.28,11.89,11.89,22.60,18.48,15.91,9.01,21.04,8.71,14.13,13.59,13.64,12.00,10.37,13.31,23.80,10.35,15.45,12.43,8.74,9.43,12.81,7.22,16.63,12.75,8.23,6.96,17.01
2030,15.09,5.97,14.07,8.69,14.02,7.85,21.66,13.55,12.56,12.28,23.08,18.79,16.21,9.95,21.66,9.48,14.85,14.23,13.83,12.80,11.22,14.10,24.18,10.96,16.06,13.20,9.03,9.79,13.06,8.09,17.30,13.28,8.80,7.72,17.67
2031,14.85,5.72,13.67,8.59,13.76,7.81,21.34,13.27,12.39,12.12,22.87,18.37,15.81,9.79,21.46,9.32,14.84,14.14,13.64,12.64,11.11,13.96,23.96,10.78,15.99,13.18,8.97,9.67,12.88,8.01,17.03,12.95,8.64,7.64,17.31
2032,14.67,5.65,13.73,8.36,13.66,7.46,21.14,13.29,12.15,11.86,22.51,18.37,15.96,9.59,21.11,9.13,14.54,13.99,13.46,12.46,10.87,13.78,23.60,10.65,15.68,12.88,8.68,9.37,12.79,7.72,16.76,12.76,8.46,7.38,17.06
2033,14.55,5.76,13.50,8.29,13.76,7.38,20.96,13.23,11.87,11.66,22.37,18.22,15.91,9.08,20.95,8.70,14.11,13.58,13.62,12.00,10.41,13.30,23.46,10.31,15.42,12.44,8.79,9.56,12.90,7.53,16.60,12.65,8.18,7.13,16.95
2034,15.15,6.27,14.01,8.78,14.22,7.69,21.57,13.76,12.63,12.27,23.09,18.65,16.48,9.76,21.70,9.42,14.99,14.54,14.04,12.93,11.17,14.24,24.14,11.36,16.26,13.35,9.16,9.94,13.34,7.79,17.39,13.27,8.96,7.55,17.67
2035,14.53,5.46,13.60,8.11,13.48,7.25,21.15,13.10,11.75,11.76,22.57,18.36,15.74,9.20,21.13,8.79,14.28,13.66,13.33,12.18,10.49,13.49,23.68,10.42,15.43,12.59,8.52,9.29,12.52,7.32,16.59,12.52,8.20,7.01,16.90
2036,14.98,5.79,14.04,8.50,13.91,7.74,21.56,13.47,12.39,12.34,22.99,18.75,16.02,9.66,21.59,9.21,14.73,14.18,13.73,12.61,10.98,13.94,24.07,10.86,16.04,13.04,8.95,9.73,12.95,7.83,17.26,13.27,8.57,7.45,17.63
2037,14.87,5.85,13.78,8.54,13.70,7.59,21.41,13.36,12.22,12.07,22.89,18.62,15.94,9.64,21.46,9.29,14.70,14.09,13.65,12.54,10.93,13.83,24.01,10.89,15.93,13.02,8.80,9.53,12.98,7.71,17.08,13.02,8.73,7.44,17.36
2038,15.08,6.09,14.04,8.84,14.02,7.90,21.46,13.60,12.49,12.33,23.05,18.69,16.19,9.67,21.69,9.26,14.88,14.25,14.00,12.65,11.05,13.98,24.14,10.94,16.08,13.19,9.19,9.84,13.31,8.06,17.24,13.27,8.73,7.70,17.61
2039,15.01,5.87,14.02,8.71,14.01,7.63,21.48,13.62,12.49,12.25,22.92,18.64,16.12,9.71,21.62,9.36,15.06,14.48,13.98,12.93,11.11,14.28,23.99,11.17,16.34,13.35,9.08,9.87,13.13,7.76,17.35,13.09,8.86,7.52,17.47
2040,14.75,6.23,13.80,8.55,13.81,7.41,21.07,13.34,12.03,11.96,22.54,18.37,15.92,9.32,21.11,9.00,14.50,14.09,13.91,12.38,10.72,13.69,23.58,10.92,15.52,12.87,8.88,9.59,13.27,7.46,16.70,12.76,8.56,7.20,17.05
2041,15.19,6.42,14.34,9.00,14.36,7.84,21.53,13.92,12.20,12.34,23.11,18.86,16.54,9.81,21.68,9.52,14.91,14.56,14.23,12.89,11.05,14.20,24.14,11.36,16.10,13.14,9.40,10.12,13.53,7.83,17.12,13.01,9.08,7.69,17.31
2042,14.96,6.40,13.89,8.84,13.96,8.05,21.30,13.49,12.24,12.12,22.72,18.50,16.09,9.68,21.36,9.50,14.64,14.07,13.64,12.60,10.95,13.83,23.80,11.08,15.97,12.95,9.18,9.95,13.08,7.97,17.13,12.97,9.17,7.72,17.34
2043,14.93,5.76,13.99,8.59,14.00,7.59,21.46,13.59,12.28,12.18,23.01,18.55,16.12,9.61,21.56,9.25,14.62,14.11,13.75,12.56,10.91,13.86,24.02,10.90,16.02,12.95,9.00,9.79,12.90,7.70,17.18,12.99,8.70,7.45,17.45
2044,14.64,5.66,13.75,8.38,13.50,7.60,21.05,13.34,12.09,12.05,22.52,18.15,15.76,9.55,21.08,9.16,14.35,13.87,13.30,12.42,10.81,13.70,23.70,10.62,15.70,12.73,8.66,9.56,12.66,7.76,16.76,12.89,8.56,7.41,17.10
2045,15.14,6.06,14.21,8.65,13.95,7.93,21.64,13.75,12.67,12.43,23.07,18.82,16.28,9.88,21.68,9.39,15.03,14.16,13.69,12.75,11.25,14.07,24.16,10.85,16.46,13.34,9.03,9.91,13.07,8.16,17.54,13.44,8.71,7.73,17.78
2046,15.09,6.16,14.05,8.80,13.88,8.02,21.39,13.57,12.51,12.46,23.07,18.55,16.02,10.00,21.66,9.55,15.00,14.50,13.80,12.93,11.28,14.25,24.14,11.24,16.32,13.33,9.09,9.92,13.10,8.14,17.23,13.37,8.93,7.81,17.57
2047,15.13,6.17,14.21,8.93,14.20,7.87,21.64,13.77,12.44,12.48,23.04,18.83,16.33,9.78,21.54,9.45,14.79,14.23,14.22,12.68,11.09,13.95,24.14,11.09,16.15,13.15,9.29,10.02,13.49,7.92,17.20,13.23,8.95,7.67,17.47
2048,15.10,6.36,14.10,8.83,14.10,7.82,21.53,13.64,12.37,12.31,22.84,18.72,16.22,9.90,21.41,9.50,15.00,14.47,14.11,12.87,11.18,14.18,24.04,11.27,16.12,13.27,9.17,9.88,13.44,7.95,17.22,13.12,8.94,7.69,17.55
2049,14.80,5.77,13.81,8.49,13.80,7.54,21.23,13.37,12.05,12.01,22.74,18.49,15.95,9.50,21.40,9.12,14.72,14.33,13.63,12.65,10.81,14.00,23.79,11.01,15.84,12.96,8.88,9.61,12.87,7.68,16.98,12.81,8.61,7.39,17.23
2050,14.77,5.77,13.79,8.32,13.68,7.39,21.34,13.35,12.21,11.89,22.72,18.56,15.94,9.25,21.29,8.85,14.52,13.91,13.56,12.21,10.69,13.51,23.92,10.79,16.00,12.91,8.72,9.44,12.88,7.54,17.05,12.92,8.35,7.16,17.29
2051,15.19,6.11,14.32,8.96,14.16,8.19,21.53,13.79,12.72,12.70,22.88,18.76,16.28,10.15,21.61,9.76,15.18,14.44,13.99,13.05,11.48,14.33,23.88,11.24,16.31,13.55,9.26,10.07,13.33,8.39,17.44,13.52,9.19,8.00,17.81
2052,14.97,5.94,14.10,8.54,13.72,7.99,21.42,13.43,12.45,12.43,22.91,18.55,15.80,10.25,21.41,9.60,14.79,14.29,13.62,12.78,11.39,14.07,24.09,11.08,16.06,13.19,8.91,9.79,12.96,8.29,17.01,13.22,8.74,7.84,17.34
2053,14.98,5.93,14.03,8.49,13.80,7.72,21.51,13.52,12.37,12.26,23.00,18.74,16.02,9.62,21.59,9.20,14.80,14.30,13.65,12.71,11.00,14.03,24.09,11.04,16.05,13.15,8.88,9.70,12.91,7.84,17.20,13.12,8.64,7.44,17.51
2054,14.76,6.00,13.71,8.38,13.49,7.33,21.12,13.18,12.08,11.86,22.97,18.25,15.79,9.49,21.55,9.11,14.41,14.08,13.43,12.35,10.76,13.62,23.94,11.05,15.74,12.76,8.57,9.22,12.82,7.62,16.96,12.90,8.62,7.36,17.33
2055,15.56,6.53,14.61,9.20,14.44,8.36,21.96,14.12,13.14,12.97,23.33,19.10,16.62,10.53,22.03,10.07,15.68,15.08,14.26,13.61,11.88,14.95,24.29,11.72,16.74,14.06,9.51,10.31,13.59,8.58,17.81,13.83,9.43,8.24,18.12
2056,15.19,6.40,14.22,9.08,14.20,7.92,21.55,13.78,12.45,12.36,22.96,18.89,16.35,10.12,21.50,9.79,15.09,14.69,14.18,13.11,11.34,14.42,24.06,11.46,16.13,13.37,9.31,9.97,13.52,8.07,17.23,13.23,9.26,7.91,17.55
2057,14.90,6.06,14.01,8.43,13.83,7.48,21.38,13.46,12.09,12.13,22.86,18.63,16.03,9.60,21.49,9.19,14.85,14.35,13.60,12.78,10.90,14.14,23.94,11.05,15.97,13.10,8.83,9.57,12.91,7.64,17.02,13.03,8.66,7.37,17.35
2058,14.49,5.61,13.54,8.12,13.37,7.00,21.08,13.08,11.60,11.58,22.51,18.29,15.67,9.29,21.07,8.88,14.17,13.83,13.34,12.26,10.48,13.56,23.70,10.64,15.40,12.50,8.38,9.18,12.69,7.16,16.54,12.41,8.30,7.00,16.82
2059,15.03,5.73,14.05,8.66,14.05,7.67,21.62,13.60,12.49,12.19,22.98,18.80,16.27,10.12,21.58,9.60,15.08,14.32,13.81,12.93,11.36,14.25,24.14,10.98,16.24,13.44,8.99,9.73,12.95,8.04,17.25,13.22,8.85,7.77,17.47
