Variable:,tas
,"Burkina Faso","Boucle Du Mouhoun",Cascades,Centre,Centre-est,Centre-nord,Centre-ouest,Centre-sud,Est,Hauts-bassins,Nord,"Plateau Central",Sahel,Sud-ouest
2015,28.75,28.34,27.48,28.68,28.74,28.87,28.50,28.58,28.66,27.67,29.02,28.71,29.31,27.86
2016,28.64,28.22,27.36,28.54,28.58,28.84,28.42,28.40,28.58,27.42,28.93,28.60,29.24,27.70
2017,29.10,28.73,27.81,28.96,29.10,29.35,28.86,28.87,29.06,27.93,29.38,29.05,29.63,28.17
2018,28.96,28.54,27.69,28.79,28.90,29.18,28.64,28.66,28.91,27.74,29.22,28.87,29.62,27.98
2019,28.61,28.18,27.29,28.49,28.63,28.81,28.32,28.41,28.60,27.36,28.86,28.58,29.23,27.66
2020,29.41,28.97,28.21,29.25,29.28,29.57,29.08,29.09,29.37,28.26,29.61,29.32,30.02,28.53
2021,29.13,28.81,27.76,28.93,28.91,29.31,28.80,28.68,29.06,27.97,29.47,29.02,29.74,28.11
2022,29.17,28.73,27.82,28.85,29.13,29.33,28.84,28.80,29.15,27.98,29.32,28.99,29.84,28.17
2023,29.28,28.84,28.02,29.09,29.23,29.38,28.94,28.99,29.31,28.12,29.49,29.18,29.86,28.36
2024,29.07,28.64,27.92,28.90,29.09,29.16,28.77,28.87,29.02,27.95,29.23,28.98,29.62,28.23
2025,29.36,28.97,28.01,29.27,29.38,29.56,29.14,29.18,29.34,28.17,29.55,29.34,29.91,28.47
2026,29.31,28.92,27.93,29.14,29.32,29.52,28.93,29.02,29.29,28.08,29.56,29.23,29.94,28.28
2027,29.33,28.80,27.77,29.21,29.15,29.59,28.93,28.92,29.26,27.91,29.56,29.26,30.13,28.19
2028,29.35,28.97,28.05,29.22,29.36,29.52,29.01,29.06,29.34,28.18,29.58,29.31,29.94,28.34
2029,29.50,29.01,28.15,29.37,29.38,29.69,29.10,29.11,29.48,28.27,29.68,29.38,30.19,28.51
2030,29.44,28.96,28.07,29.25,29.30,29.65,29.10,29.08,29.38,28.19,29.67,29.35,30.13,28.41
2031,29.60,29.15,28.21,29.48,29.48,29.79,29.21,29.28,29.54,28.39,29.85,29.53,30.30,28.56
2032,29.04,28.57,27.66,28.83,29.05,29.23,28.69,28.78,29.00,27.82,29.25,28.96,29.69,28.05
2033,29.32,28.93,28.00,29.18,29.31,29.41,29.04,29.02,29.30,28.22,29.44,29.26,29.89,28.42
2034,29.38,28.94,27.99,29.32,29.41,29.55,29.07,29.16,29.36,28.17,29.61,29.39,29.97,28.34
2035,29.46,29.11,28.13,29.38,29.41,29.58,29.22,29.23,29.47,28.27,29.66,29.43,29.97,28.55
2036,29.51,29.21,28.21,29.44,29.38,29.74,29.19,29.14,29.49,28.41,29.82,29.51,30.03,28.47
2037,29.47,29.02,28.11,29.38,29.36,29.74,29.06,29.08,29.46,28.17,29.75,29.45,30.10,28.45
2038,29.43,29.04,28.29,29.29,29.38,29.51,29.19,29.17,29.35,28.33,29.51,29.39,30.04,28.65
2039,29.47,29.06,28.09,29.27,29.35,29.67,29.08,29.08,29.45,28.28,29.70,29.37,30.05,28.46
2040,29.50,29.04,28.13,29.31,29.44,29.69,29.14,29.17,29.51,28.28,29.69,29.40,30.11,28.48
2041,29.88,29.48,28.38,29.70,29.74,30.04,29.49,29.53,29.74,28.55,30.18,29.76,30.63,28.74
2042,29.40,29.03,28.09,29.14,29.44,29.56,29.06,29.12,29.43,28.19,29.66,29.28,30.00,28.34
2043,29.23,28.88,27.83,29.16,29.11,29.51,28.92,28.91,29.13,28.07,29.62,29.21,29.86,28.13
2044,29.63,29.30,28.17,29.53,29.63,29.73,29.35,29.39,29.61,28.36,29.95,29.59,30.18,28.53
2045,29.74,29.45,28.34,29.78,29.68,29.89,29.44,29.45,29.65,28.57,30.09,29.77,30.28,28.74
2046,29.49,29.19,28.31,29.34,29.29,29.67,29.20,29.12,29.34,28.43,29.76,29.42,30.07,28.63
2047,29.69,29.33,28.50,29.49,29.50,29.81,29.35,29.26,29.56,28.58,29.94,29.57,30.35,28.75
2048,29.83,29.41,28.56,29.44,29.66,30.02,29.43,29.47,29.70,28.76,29.97,29.56,30.55,28.97
2049,29.56,29.19,28.25,29.38,29.54,29.73,29.25,29.28,29.51,28.37,29.84,29.47,30.14,28.61
2050,29.65,29.29,28.33,29.52,29.63,29.79,29.38,29.41,29.61,28.45,29.93,29.60,30.24,28.65
2051,29.67,29.22,28.49,29.47,29.72,29.78,29.38,29.42,29.68,28.64,29.75,29.57,30.20,28.87
2052,29.54,29.14,28.13,29.34,29.59,29.64,29.21,29.25,29.58,28.32,29.75,29.46,30.11,28.55
2053,29.44,28.96,28.16,29.22,29.51,29.52,29.02,29.19,29.51,28.25,29.56,29.34,30.03,28.47
2054,29.57,29.08,28.13,29.35,29.44,29.75,29.15,29.21,29.54,28.27,29.76,29.45,30.29,28.51
2055,29.51,29.18,28.24,29.44,29.48,29.73,29.26,29.28,29.42,28.38,29.73,29.49,30.02,28.58
2056,29.40,28.94,28.02,29.22,29.37,29.63,29.06,29.14,29.36,28.14,29.63,29.30,30.06,28.41
2057,29.51,28.99,28.03,29.36,29.53,29.78,29.04,29.15,29.61,28.08,29.78,29.51,30.20,28.39
2058,29.56,29.12,28.30,29.43,29.54,29.72,29.22,29.26,29.59,28.46,29.69,29.50,30.12,28.61
2059,29.78,29.33,28.44,29.42,29.59,30.05,29.34,29.33,29.66,28.56,30.01,29.55,30.55,28.80
2060,29.34,28.87,28.16,29.21,29.39,29.45,29.15,29.19,29.31,28.25,29.51,29.29,29.85,28.56
2061,29.28,28.84,28.00,29.03,29.17,29.36,28.89,28.87,29.30,28.08,29.42,29.17,29.89,28.31
2062,29.50,29.06,28.29,29.32,29.56,29.68,29.14,29.19,29.53,28.30,29.72,29.44,30.07,28.55
2063,29.65,29.19,28.35,29.57,29.59,29.87,29.32,29.34,29.58,28.40,29.95,29.65,30.34,28.63
2064,29.56,29.20,28.11,29.46,29.43,29.74,29.20,29.23,29.48,28.28,29.87,29.51,30.16,28.43
2065,29.09,28.70,27.77,28.83,29.13,29.25,28.75,28.76,29.17,27.96,29.29,28.98,29.64,28.12
2066,29.23,28.81,28.06,29.17,29.26,29.38,28.95,29.00,29.28,28.13,29.32,29.26,29.74,28.33
2067,29.62,29.26,28.30,29.40,29.57,29.76,29.31,29.35,29.54,28.52,29.82,29.48,30.22,28.71
2068,29.52,29.12,28.33,29.33,29.47,29.60,29.21,29.24,29.54,28.45,29.64,29.42,30.04,28.63
2069,29.52,29.08,28.19,29.31,29.44,29.70,29.14,29.17,29.48,28.32,29.76,29.40,30.15,28.52
2070,29.70,29.29,28.31,29.56,29.61,29.89,29.30,29.36,29.61,28.58,29.82,29.60,30.36,28.66
2071,29.53,29.10,28.29,29.36,29.47,29.62,29.17,29.22,29.49,28.39,29.66,29.43,30.17,28.57
2072,29.29,28.87,27.95,29.07,29.29,29.45,28.96,29.00,29.33,28.06,29.54,29.22,29.88,28.34
2073,29.27,28.96,27.85,29.06,29.02,29.42,28.91,28.81,29.17,28.02,29.57,29.12,29.92,28.22
2074,29.54,29.12,28.31,29.37,29.52,29.62,29.28,29.31,29.51,28.50,29.68,29.46,30.10,28.68
2075,29.34,28.83,27.89,29.15,29.24,29.56,28.91,28.96,29.33,28.02,29.57,29.23,30.10,28.26
2076,29.59,29.22,28.32,29.46,29.53,29.68,29.26,29.33,29.54,28.38,29.74,29.53,30.19,28.70
2077,29.56,29.14,28.27,29.40,29.49,29.75,29.23,29.27,29.50,28.40,29.69,29.47,30.21,28.60
2078,29.49,29.22,28.04,29.37,29.33,29.61,29.13,29.04,29.45,28.28,29.84,29.44,30.10,28.35
2079,29.46,29.17,28.12,29.36,29.41,29.57,29.31,29.27,29.32,28.42,29.74,29.40,29.94,28.60
2080,29.50,29.02,28.26,29.23,29.39,29.74,29.08,29.11,29.40,28.28,29.80,29.35,30.25,28.58
2081,29.43,29.05,28.12,29.26,29.39,29.56,29.14,29.17,29.44,28.34,29.59,29.35,30.01,28.49
2082,29.39,28.91,28.03,29.27,29.39,29.54,29.05,29.12,29.46,28.12,29.50,29.38,29.98,28.38
2083,29.51,29.09,28.13,29.37,29.49,29.68,29.20,29.25,29.49,28.30,29.74,29.46,30.11,28.52
2084,29.38,29.01,28.02,29.18,29.32,29.56,29.00,29.03,29.33,28.23,29.64,29.27,29.99,28.41
2085,29.33,28.91,27.86,29.23,29.27,29.50,28.98,29.06,29.34,28.05,29.53,29.29,29.93,28.26
2086,29.39,29.02,27.89,29.21,29.21,29.57,28.97,28.98,29.31,28.09,29.69,29.30,30.08,28.21
2087,29.31,28.97,28.20,29.19,29.35,29.41,29.10,29.14,29.25,28.31,29.45,29.27,29.77,28.53
2088,29.44,29.01,28.05,29.23,29.28,29.56,28.98,29.03,29.40,28.06,29.65,29.30,30.18,28.34
2089,29.08,28.66,27.85,28.90,29.01,29.24,28.74,28.78,29.00,27.94,29.25,29.00,29.73,28.18
2090,29.51,29.19,28.19,29.39,29.45,29.64,29.25,29.24,29.45,28.41,29.74,29.43,30.09,28.60
2091,29.55,29.12,28.03,29.42,29.42,29.80,29.20,29.20,29.44,28.25,29.87,29.49,30.27,28.44
2092,29.30,29.00,27.92,29.08,29.20,29.48,28.95,28.94,29.25,28.19,29.59,29.13,29.87,28.28
2093,29.26,28.94,27.90,29.12,29.24,29.38,28.99,29.02,29.20,28.11,29.46,29.19,29.85,28.27
2094,29.25,28.90,27.87,29.09,29.24,29.34,28.91,28.92,29.28,28.12,29.41,29.18,29.84,28.23
2095,29.34,29.00,27.99,29.23,29.25,29.52,29.03,29.03,29.31,28.18,29.60,29.32,29.93,28.29
2096,29.24,28.92,27.96,29.09,29.20,29.36,28.93,28.96,29.19,28.14,29.50,29.18,29.77,28.34
2097,29.14,28.70,27.93,29.18,29.24,29.27,28.89,28.98,29.13,27.99,29.31,29.17,29.68,28.17
2098,29.32,28.93,27.92,29.17,29.33,29.46,29.01,29.04,29.35,28.07,29.49,29.25,29.89,28.33
2099,29.21,28.86,27.89,29.09,29.08,29.44,28.84,28.84,29.15,28.00,29.47,29.15,29.83,28.21
2100,29.61,29.27,28.25,29.37,29.47,29.72,29.28,29.27,29.51,28.49,29.85,29.45,30.20,28.64
