Variable:,tas
,Comoros,Anjouan,Moheli,Ngazidja
2015,26.22,26.50,26.54,26.05
2016,26.21,26.54,26.52,26.04
2017,26.34,26.62,26.61,26.14
2018,26.25,26.57,26.55,26.08
2019,26.05,26.42,26.41,25.88
2020,26.38,26.68,26.66,26.19
2021,26.38,26.72,26.69,26.19
2022,26.37,26.61,26.58,26.18
2023,26.42,26.76,26.74,26.23
2024,26.45,26.79,26.74,26.26
2025,26.49,26.80,26.78,26.30
2026,26.41,26.71,26.69,26.22
2027,26.32,26.63,26.58,26.12
2028,26.51,26.79,26.77,26.32
2029,26.61,26.93,26.91,26.43
2030,26.49,26.76,26.72,26.31
2031,26.54,26.81,26.79,26.34
2032,26.40,26.79,26.76,26.20
2033,26.50,26.84,26.82,26.32
2034,26.48,26.80,26.74,26.29
2035,26.65,26.92,26.88,26.45
2036,26.56,26.90,26.84,26.37
2037,26.51,26.82,26.79,26.32
2038,26.79,27.11,27.03,26.58
2039,26.51,26.79,26.78,26.32
2040,26.70,27.02,26.98,26.51
2041,26.72,27.02,27.04,26.55
2042,26.53,26.85,26.81,26.34
2043,26.45,26.72,26.73,26.26
2044,26.63,26.90,26.87,26.44
2045,26.69,27.01,26.99,26.51
2046,26.70,27.00,26.96,26.52
2047,26.64,26.93,26.91,26.45
2048,26.51,26.83,26.78,26.30
2049,26.62,26.91,26.89,26.43
2050,26.37,26.69,26.73,26.20
2051,26.61,26.90,26.86,26.42
2052,26.53,26.88,26.85,26.34
2053,26.46,26.83,26.77,26.26
2054,26.65,26.96,26.95,26.45
2055,26.54,26.85,26.79,26.33
2056,26.38,26.82,26.74,26.19
2057,26.55,26.90,26.88,26.37
2058,26.62,26.87,26.87,26.43
2059,26.60,26.94,26.92,26.41
2060,26.79,27.12,27.11,26.60
2061,26.61,26.94,26.89,26.41
2062,26.61,26.98,26.91,26.41
2063,26.68,27.02,27.01,26.48
2064,26.50,26.82,26.78,26.30
2065,26.20,26.58,26.57,26.02
2066,26.51,26.79,26.71,26.29
2067,26.55,26.87,26.82,26.37
2068,26.59,26.94,26.91,26.40
2069,26.35,26.68,26.67,26.16
2070,26.49,26.73,26.71,26.29
2071,26.68,26.97,26.88,26.46
2072,26.38,26.69,26.66,26.18
2073,26.42,26.78,26.77,26.24
2074,26.65,26.94,26.92,26.46
2075,26.36,26.66,26.61,26.15
2076,26.41,26.75,26.70,26.21
2077,26.65,26.96,26.90,26.45
2078,26.55,26.99,26.92,26.37
2079,26.51,26.82,26.82,26.34
2080,26.53,26.87,26.83,26.34
2081,26.41,26.71,26.68,26.22
2082,26.69,26.98,26.95,26.50
2083,26.63,26.90,26.93,26.45
2084,26.47,26.82,26.74,26.29
2085,26.35,26.71,26.67,26.16
2086,26.25,26.59,26.58,26.08
2087,26.53,26.82,26.72,26.30
2088,26.52,26.82,26.79,26.33
2089,26.35,26.67,26.63,26.15
2090,26.64,26.96,26.90,26.44
2091,26.60,26.89,26.86,26.40
2092,26.43,26.74,26.74,26.25
2093,26.39,26.73,26.70,26.21
2094,26.43,26.76,26.74,26.24
2095,26.55,26.89,26.84,26.36
2096,26.51,26.76,26.72,26.31
2097,26.51,26.82,26.79,26.32
2098,26.37,26.68,26.64,26.18
2099,26.41,26.73,26.69,26.22
2100,26.58,26.86,26.82,26.38
