Variable:,tas
,"Cape Verde","Boa Vista",Brava,Cima,Fogo,"Ilheu Branco","Ilheu Raso",Maio,Rombo,Sal,"Santa Luzia",Santiago,"Santo Antao","Sao Nicolau","Sao Vicente"
2015,23.25,23.81,24.69,24.69,24.63,23.92,23.92,23.02,24.69,23.78,23.92,23.41,23.89,23.92,24.00
2016,23.24,23.81,24.66,24.66,24.59,23.86,23.86,22.97,24.66,23.78,23.86,23.38,23.85,23.86,23.93
2017,23.34,23.89,24.84,24.84,24.77,23.97,23.97,23.13,24.84,23.85,23.97,23.54,23.96,23.97,24.05
2018,23.37,23.88,24.82,24.82,24.75,24.02,24.02,23.10,24.82,23.85,24.02,23.51,24.05,24.02,24.11
2019,23.63,24.21,25.01,25.01,24.95,24.25,24.25,23.38,25.01,24.18,24.25,23.78,24.23,24.25,24.32
2020,23.59,24.14,25.05,25.05,24.98,24.23,24.23,23.35,25.05,24.11,24.23,23.75,24.21,24.23,24.30
2021,23.50,24.07,24.83,24.83,24.76,24.16,24.16,23.20,24.83,24.04,24.16,23.60,24.17,24.16,24.24
2022,23.51,24.10,24.93,24.93,24.86,24.13,24.13,23.22,24.93,24.07,24.13,23.63,24.20,24.13,24.22
2023,23.64,24.21,25.06,25.06,24.99,24.29,24.29,23.39,25.06,24.18,24.29,23.79,24.23,24.29,24.36
2024,23.65,24.21,25.09,25.09,25.02,24.28,24.28,23.38,25.09,24.18,24.28,23.79,24.30,24.28,24.36
2025,23.79,24.34,25.28,25.28,25.21,24.39,24.39,23.55,25.28,24.31,24.39,23.96,24.36,24.39,24.46
2026,23.80,24.33,25.27,25.27,25.20,24.47,24.47,23.54,25.27,24.30,24.47,23.94,24.43,24.47,24.55
2027,23.64,24.29,25.01,25.01,24.94,24.22,24.22,23.37,25.01,24.26,24.22,23.78,24.24,24.22,24.31
2028,23.58,24.15,25.16,25.16,25.08,24.20,24.20,23.40,25.16,24.11,24.20,23.82,24.12,24.20,24.28
2029,23.48,24.05,25.00,25.00,24.93,24.11,24.11,23.28,25.00,24.02,24.11,23.69,24.07,24.11,24.19
2030,23.55,24.17,24.99,24.99,24.92,24.20,24.20,23.31,24.99,24.14,24.20,23.72,24.14,24.20,24.27
2031,23.68,24.24,25.19,25.19,25.12,24.35,24.35,23.44,25.19,24.21,24.35,23.86,24.28,24.35,24.43
2032,23.47,24.05,24.92,24.92,24.85,24.11,24.11,23.19,24.92,24.02,24.11,23.60,24.14,24.11,24.20
2033,23.81,24.39,25.21,25.21,25.14,24.42,24.42,23.54,25.21,24.36,24.42,23.95,24.41,24.42,24.49
2034,23.80,24.35,25.22,25.22,25.15,24.49,24.49,23.54,25.22,24.32,24.49,23.94,24.40,24.49,24.56
2035,23.68,24.25,25.10,25.10,25.03,24.30,24.30,23.43,25.10,24.22,24.30,23.84,24.28,24.30,24.38
2036,23.84,24.46,25.30,25.30,25.23,24.42,24.42,23.67,25.30,24.42,24.42,24.07,24.31,24.42,24.49
2037,23.65,24.20,25.11,25.11,25.04,24.29,24.29,23.40,25.11,24.17,24.29,23.81,24.29,24.29,24.37
2038,23.80,24.31,25.28,25.28,25.20,24.41,24.41,23.55,25.28,24.27,24.41,23.97,24.43,24.41,24.50
2039,23.81,24.36,25.26,25.26,25.19,24.46,24.46,23.61,25.26,24.32,24.46,24.00,24.40,24.46,24.54
2040,23.78,24.36,25.25,25.25,25.18,24.39,24.39,23.55,25.25,24.33,24.39,23.96,24.39,24.39,24.48
2041,23.89,24.42,25.45,25.45,25.38,24.53,24.53,23.66,25.45,24.39,24.53,24.08,24.50,24.53,24.61
2042,23.73,24.25,25.23,25.23,25.16,24.26,24.26,23.53,25.23,24.21,24.26,23.93,24.27,24.26,24.34
2043,23.65,24.23,25.11,25.11,25.04,24.26,24.26,23.42,25.11,24.19,24.26,23.83,24.24,24.26,24.34
2044,23.63,24.20,25.14,25.14,25.07,24.25,24.25,23.47,25.14,24.16,24.25,23.87,24.20,24.25,24.33
2045,23.92,24.49,25.35,25.35,25.28,24.54,24.54,23.70,25.35,24.45,24.54,24.10,24.48,24.54,24.61
2046,23.89,24.45,25.39,25.39,25.31,24.55,24.55,23.60,25.39,24.42,24.55,24.03,24.54,24.55,24.63
2047,23.81,24.38,25.26,25.26,25.19,24.44,24.44,23.55,25.26,24.35,24.44,23.96,24.45,24.44,24.53
2048,23.53,24.12,25.02,25.02,24.95,24.19,24.19,23.32,25.02,24.08,24.19,23.73,24.13,24.19,24.27
2049,23.66,24.25,25.19,25.19,25.12,24.26,24.26,23.48,25.19,24.21,24.26,23.90,24.19,24.26,24.33
2050,23.63,24.18,25.10,25.10,25.03,24.30,24.30,23.39,25.10,24.15,24.30,23.79,24.28,24.30,24.38
2051,23.71,24.30,25.16,25.16,25.09,24.33,24.33,23.53,25.16,24.26,24.33,23.94,24.29,24.33,24.41
2052,24.01,24.59,25.48,25.48,25.41,24.64,24.64,23.80,25.48,24.55,24.64,24.21,24.60,24.64,24.72
2053,23.95,24.50,25.45,25.45,25.38,24.60,24.60,23.73,25.45,24.46,24.60,24.14,24.56,24.60,24.68
2054,23.66,24.25,25.06,25.06,24.99,24.29,24.29,23.38,25.06,24.22,24.29,23.78,24.31,24.29,24.38
2055,23.62,24.25,24.92,24.92,24.85,24.19,24.19,23.34,24.92,24.22,24.19,23.73,24.17,24.19,24.26
2056,23.73,24.29,25.28,25.28,25.20,24.29,24.29,23.54,25.28,24.25,24.29,23.96,24.25,24.29,24.37
2057,23.66,24.26,25.11,25.11,25.03,24.23,24.23,23.44,25.11,24.22,24.23,23.86,24.18,24.23,24.30
2058,23.88,24.51,25.35,25.35,25.28,24.46,24.46,23.72,25.35,24.48,24.46,24.13,24.33,24.46,24.52
2059,24.02,24.58,25.50,25.50,25.44,24.66,24.66,23.83,25.50,24.54,24.66,24.24,24.60,24.66,24.74
2060,23.75,24.35,25.17,25.17,25.10,24.36,24.36,23.48,25.17,24.32,24.36,23.89,24.30,24.36,24.42
2061,23.69,24.32,25.12,25.12,25.05,24.31,24.31,23.47,25.12,24.28,24.31,23.88,24.28,24.31,24.40
2062,23.80,24.31,25.19,25.19,25.12,24.49,24.49,23.50,25.19,24.27,24.49,23.91,24.56,24.49,24.61
2063,23.76,24.39,25.30,25.30,25.23,24.33,24.33,23.63,25.30,24.35,24.33,24.04,24.20,24.33,24.40
2064,23.76,24.32,25.24,25.24,25.17,24.42,24.42,23.52,25.24,24.29,24.42,23.93,24.39,24.42,24.50
2065,23.49,24.01,24.94,24.94,24.87,24.15,24.15,23.25,24.94,23.98,24.15,23.66,24.19,24.15,24.24
2066,23.74,24.33,25.23,25.23,25.16,24.37,24.37,23.53,25.23,24.30,24.37,23.94,24.28,24.37,24.44
2067,23.89,24.47,25.38,25.38,25.30,24.52,24.52,23.64,25.38,24.43,24.52,24.05,24.47,24.52,24.59
2068,23.77,24.34,25.32,25.32,25.25,24.41,24.41,23.59,25.32,24.30,24.41,24.03,24.30,24.41,24.47
2069,23.77,24.32,25.24,25.24,25.17,24.43,24.43,23.53,25.24,24.29,24.43,23.94,24.42,24.43,24.52
2070,23.65,24.24,25.13,25.13,25.06,24.26,24.26,23.43,25.13,24.20,24.26,23.84,24.24,24.26,24.34
2071,23.66,24.26,25.10,25.10,25.03,24.32,24.32,23.44,25.10,24.23,24.32,23.84,24.27,24.32,24.40
2072,23.48,24.03,24.90,24.90,24.83,24.12,24.12,23.22,24.90,24.00,24.12,23.62,24.11,24.12,24.21
2073,23.48,24.08,24.91,24.91,24.84,24.08,24.08,23.24,24.91,24.04,24.08,23.65,24.03,24.08,24.15
2074,23.64,24.19,25.04,25.04,24.97,24.28,24.28,23.44,25.04,24.15,24.28,23.83,24.24,24.28,24.35
2075,23.63,24.23,25.14,25.14,25.07,24.21,24.21,23.44,25.14,24.20,24.21,23.86,24.14,24.21,24.28
2076,23.77,24.37,25.39,25.39,25.31,24.39,24.39,23.64,25.39,24.33,24.39,24.07,24.28,24.39,24.47
2077,23.62,24.22,25.15,25.15,25.08,24.27,24.27,23.46,25.15,24.18,24.27,23.86,24.13,24.27,24.35
2078,23.55,24.14,25.03,25.03,24.96,24.14,24.14,23.34,25.03,24.11,24.14,23.75,24.09,24.14,24.21
2079,23.57,24.16,24.99,24.99,24.92,24.16,24.16,23.34,24.99,24.13,24.16,23.74,24.13,24.16,24.24
2080,23.71,24.33,25.27,25.27,25.20,24.43,24.43,23.52,25.27,24.30,24.43,23.94,24.29,24.43,24.50
2081,23.45,24.03,24.96,24.96,24.88,24.08,24.08,23.18,24.96,24.00,24.08,23.60,24.06,24.08,24.16
2082,23.74,24.30,25.17,25.17,25.10,24.41,24.41,23.50,25.17,24.27,24.41,23.90,24.36,24.41,24.49
2083,23.79,24.38,25.23,25.23,25.16,24.43,24.43,23.57,25.23,24.35,24.43,23.98,24.37,24.43,24.51
2084,23.87,24.48,25.26,25.26,25.20,24.49,24.49,23.68,25.26,24.44,24.49,24.09,24.41,24.49,24.56
2085,23.59,24.17,25.01,25.01,24.94,24.23,24.23,23.30,25.01,24.14,24.23,23.71,24.23,24.23,24.32
2086,23.82,24.38,25.24,25.24,25.17,24.44,24.44,23.57,25.24,24.35,24.44,23.98,24.46,24.44,24.52
2087,23.64,24.19,25.06,25.06,24.99,24.27,24.27,23.41,25.06,24.16,24.27,23.81,24.24,24.27,24.33
2088,23.63,24.13,25.18,25.18,25.11,24.33,24.33,23.38,25.18,24.10,24.33,23.80,24.34,24.33,24.43
2089,23.46,24.05,24.92,24.92,24.85,24.01,24.01,23.23,24.92,24.01,24.01,23.64,23.97,24.01,24.08
2090,23.52,24.06,25.05,25.05,24.98,24.18,24.18,23.32,25.05,24.02,24.18,23.74,24.14,24.18,24.26
2091,23.91,24.47,25.39,25.39,25.32,24.55,24.55,23.69,25.39,24.43,24.55,24.10,24.53,24.55,24.64
2092,23.61,24.18,25.08,25.08,25.01,24.23,24.23,23.40,25.08,24.15,24.23,23.79,24.23,24.23,24.32
2093,23.54,24.16,24.98,24.98,24.92,24.12,24.12,23.32,24.98,24.13,24.12,23.71,24.09,24.12,24.19
2094,23.45,23.94,24.97,24.97,24.89,24.09,24.09,23.19,24.97,23.90,24.09,23.62,24.12,24.09,24.17
2095,23.48,24.05,24.96,24.96,24.89,24.09,24.09,23.26,24.96,24.02,24.09,23.66,24.06,24.09,24.16
2096,23.58,24.13,24.91,24.91,24.85,24.26,24.26,23.31,24.91,24.10,24.26,23.70,24.26,24.26,24.35
2097,23.52,24.09,24.90,24.90,24.83,24.13,24.13,23.25,24.90,24.05,24.13,23.67,24.12,24.13,24.20
2098,23.43,23.98,24.95,24.95,24.88,24.06,24.06,23.25,24.95,23.94,24.06,23.67,24.06,24.06,24.16
2099,23.63,24.16,25.04,25.04,24.97,24.26,24.26,23.39,25.04,24.12,24.26,23.79,24.27,24.26,24.34
2100,23.80,24.34,25.28,25.28,25.20,24.44,24.44,23.47,25.28,24.31,24.44,23.90,24.51,24.44,24.52
