Variable:,tas
,Algeria,Adrar,Ain-Defla,Ain-Temouchent,Alger,Annaba,Batna,Bechar,Bejaia,Biskra,Blida,"Bordj Bou Arrer",Bouira,Boumerdes,Chlef,Constantine,Djelfa,"El Bayadh","El Oued",El-Tarf,Ghardaia,Guelma,Illizi,Jijel,Khenchela,Laghouat,Mascara,Medea,Mila,Mostaganem,M'Sila,Naama,Oran,Ouargla,"Oum El Bouaghi",Relizane,Saida,Setif,"Sidi Bel Abbes",Skikda,Souk-Ahras,Tamanrasset,Tebessa,Tindouf,Tiaret,Tipaza,Tissemsilt,"Tizi Ouzou",Tlemcen
2015,23.72,26.86,17.80,17.24,16.98,15.69,19.28,23.45,16.45,20.97,17.16,16.77,16.61,16.64,18.62,15.32,18.11,19.97,22.92,15.90,22.14,15.53,23.82,15.74,20.36,18.72,16.45,16.66,15.74,17.76,17.40,17.80,16.41,23.66,17.47,16.84,16.29,17.33,16.19,15.52,16.03,26.26,19.69,24.78,16.37,17.84,16.46,16.59,17.09
2016,23.39,26.48,17.62,17.10,16.77,15.43,18.93,23.36,16.19,20.59,16.97,16.48,16.34,16.40,18.45,15.06,17.75,19.73,22.49,15.55,21.86,15.28,23.35,15.51,20.00,18.39,16.26,16.41,15.49,17.60,17.03,17.63,16.26,23.23,17.15,16.63,16.08,17.09,16.10,15.26,15.72,25.86,19.30,24.95,16.11,17.67,16.22,16.31,17.00
2017,23.67,26.77,17.66,17.11,16.80,15.56,19.15,23.58,16.43,20.81,17.00,16.74,16.45,16.44,18.46,15.25,17.99,19.94,22.64,15.74,22.04,15.40,23.75,15.74,20.13,18.68,16.29,16.51,15.69,17.56,17.32,17.91,16.28,23.48,17.28,16.66,16.26,17.34,16.18,15.43,15.87,26.22,19.41,24.94,16.29,17.69,16.33,16.50,17.06
2018,23.78,26.90,17.80,17.25,16.98,15.67,19.19,23.75,16.38,20.90,17.16,16.69,16.57,16.64,18.63,15.26,18.06,20.02,22.87,15.91,22.26,15.52,23.81,15.72,20.28,18.69,16.43,16.64,15.69,17.76,17.33,17.96,16.42,23.76,17.39,16.81,16.36,17.31,16.28,15.47,16.02,26.26,19.61,25.15,16.35,17.84,16.43,16.51,17.16
2019,23.75,26.90,18.17,17.40,17.32,15.79,19.37,23.64,16.69,20.97,17.53,16.97,16.86,16.92,18.95,15.44,18.20,20.12,23.02,16.00,22.27,15.64,23.70,15.95,20.42,18.83,16.65,16.91,15.89,17.95,17.48,18.04,16.63,23.70,17.56,17.04,16.54,17.57,16.53,15.62,16.14,26.09,19.74,25.20,16.58,18.24,16.69,16.82,17.38
2020,23.95,27.06,17.78,17.30,16.99,15.58,19.22,23.78,16.45,20.93,17.17,16.78,16.62,16.65,18.55,15.20,18.15,20.15,22.89,15.74,22.31,15.43,24.10,15.69,20.27,18.83,16.45,16.72,15.65,17.69,17.44,17.98,16.45,23.72,17.36,16.82,16.53,17.34,16.43,15.40,15.91,26.65,19.59,25.28,16.49,17.82,16.52,16.58,17.38
2021,24.06,27.17,17.79,17.22,16.99,15.88,19.36,23.94,16.46,21.10,17.16,16.80,16.63,16.67,18.61,15.32,18.12,20.28,23.30,16.20,22.56,15.72,24.19,15.77,20.65,18.79,16.39,16.68,15.75,17.70,17.43,18.10,16.39,24.13,17.55,16.76,16.32,17.40,16.25,15.58,16.28,26.63,19.99,25.20,16.34,17.83,16.42,16.59,17.15
2022,24.24,27.34,18.52,17.85,17.68,16.40,19.90,24.16,17.24,21.57,17.87,17.54,17.32,17.31,19.30,16.03,18.78,20.70,23.44,16.54,22.74,16.26,24.17,16.49,20.94,19.37,17.12,17.40,16.46,18.40,18.09,18.67,17.08,24.17,18.11,17.50,17.14,18.07,17.06,16.22,16.70,26.64,20.24,25.57,17.14,18.56,17.18,17.36,17.94
2023,24.15,27.27,18.19,17.64,17.48,16.20,19.61,24.09,16.94,21.19,17.63,17.24,17.14,17.21,18.95,15.77,18.55,20.47,23.20,16.36,22.51,16.06,24.26,16.24,20.65,19.22,16.92,17.17,16.20,18.19,17.83,18.30,16.86,24.03,17.85,17.33,16.79,17.82,16.67,15.97,16.51,26.62,20.03,25.39,16.95,18.21,17.02,17.07,17.47
2024,24.06,27.21,17.95,17.47,17.15,16.08,19.65,23.94,16.76,21.30,17.31,17.09,16.84,16.84,18.79,15.74,18.50,20.39,23.08,16.27,22.43,15.96,24.10,16.17,20.55,19.17,16.58,16.92,16.16,17.95,17.79,18.31,16.61,23.87,17.75,16.97,16.70,17.75,16.59,15.91,16.39,26.60,19.84,25.37,16.70,17.97,16.67,16.83,17.48
2025,24.46,27.68,18.88,18.16,18.06,16.33,19.92,24.41,17.40,21.56,18.24,17.68,17.65,17.71,19.65,15.97,18.90,20.80,23.45,16.50,22.88,16.16,24.41,16.50,20.91,19.45,17.47,17.75,16.44,18.72,18.16,18.74,17.43,24.26,18.06,17.86,17.36,18.15,17.23,16.17,16.64,26.91,20.23,25.81,17.47,18.91,17.58,17.59,18.10
2026,24.41,27.61,18.21,17.76,17.30,16.08,19.60,24.32,16.76,21.38,17.50,17.08,16.90,16.92,19.08,15.62,18.53,20.69,23.49,16.33,22.89,15.93,24.49,16.07,20.76,19.25,16.98,17.02,16.05,18.28,17.75,18.65,16.98,24.40,17.84,17.32,16.98,17.68,16.92,15.84,16.46,26.95,20.14,25.67,16.87,18.23,16.87,16.87,17.82
2027,24.21,27.35,18.21,17.59,17.40,16.25,19.68,24.07,16.84,21.39,17.59,17.16,17.00,17.05,19.00,15.75,18.54,20.47,23.32,16.50,22.53,16.10,24.33,16.18,20.79,19.21,16.79,17.08,16.17,18.08,17.82,18.44,16.81,24.14,17.93,17.16,16.76,17.77,16.69,15.98,16.61,26.72,20.12,25.51,16.79,18.26,16.84,16.95,17.54
2028,23.98,27.04,18.17,17.62,17.30,15.98,19.49,23.90,16.80,21.13,17.50,17.11,16.92,16.94,19.01,15.59,18.41,20.42,23.26,16.13,22.53,15.83,23.99,16.07,20.56,19.13,16.88,16.99,16.03,18.18,17.68,18.36,16.83,23.98,17.69,17.25,16.87,17.67,16.76,15.79,16.29,26.37,19.93,25.41,16.83,18.20,16.83,16.92,17.62
2029,24.07,27.16,18.12,17.47,17.31,16.01,19.50,23.98,16.74,21.21,17.50,17.04,16.91,16.96,18.89,15.53,18.33,20.23,23.18,16.30,22.39,15.86,24.19,16.00,20.64,18.94,16.70,16.98,15.97,18.02,17.63,18.18,16.66,23.89,17.75,17.12,16.64,17.61,16.61,15.76,16.41,26.63,20.01,25.42,16.68,18.16,16.83,16.87,17.44
2030,24.35,27.40,18.06,17.64,17.18,15.97,19.51,24.17,16.58,21.27,17.38,16.93,16.78,16.82,18.89,15.54,18.44,20.48,23.26,16.16,22.71,15.82,24.64,15.93,20.61,19.15,16.84,16.95,15.94,18.09,17.67,18.30,16.82,24.23,17.68,17.21,16.72,17.56,16.69,15.75,16.31,27.02,20.01,25.58,16.76,18.08,16.86,16.72,17.64
2031,24.44,27.60,18.31,17.77,17.48,16.24,19.70,24.26,16.93,21.40,17.66,17.24,17.08,17.13,19.13,15.79,18.65,20.65,23.51,16.48,22.85,16.10,24.61,16.24,20.75,19.36,16.95,17.13,16.21,18.22,17.85,18.58,16.91,24.37,17.90,17.32,16.99,17.84,16.89,16.00,16.59,27.02,20.10,25.69,16.95,18.35,16.92,17.06,17.82
2032,24.04,27.11,18.27,17.60,17.50,16.17,19.69,23.92,17.05,21.27,17.67,17.35,17.17,17.18,19.02,15.75,18.51,20.36,23.11,16.39,22.37,16.02,24.16,16.25,20.69,19.12,16.81,17.21,16.20,18.11,17.91,18.30,16.81,23.90,17.87,17.21,16.72,17.88,16.65,15.96,16.52,26.48,20.04,25.39,16.84,18.31,16.94,17.17,17.57
