Variable:,tas
2015,24.13
2016,24.33
2017,24.31
2018,24.62
2019,24.58
2020,24.45
2021,24.52
2022,24.86
2023,24.72
2024,24.69
2025,25.17
2026,24.94
2027,24.93
2028,24.79
2029,24.81
2030,24.97
2031,24.89
2032,24.65
2033,24.86
2034,24.73
2035,24.86
2036,24.94
2037,24.84
2038,25.00
2039,25.00
2040,24.97
2041,25.00
2042,25.02
2043,24.70
2044,24.67
2045,25.08
2046,25.12
2047,24.99
2048,24.67
2049,24.68
2050,24.79
2051,24.90
2052,25.12
2053,24.92
2054,24.80
2055,25.08
2056,25.20
2057,24.84
2058,25.03
2059,25.26
2060,24.92
2061,24.94
2062,24.89
2063,24.83
2064,24.96
2065,24.60
2066,24.61
2067,25.02
2068,24.86
2069,24.88
2070,24.78
2071,24.98
2072,24.36
2073,24.63
2074,24.85
2075,24.83
2076,24.89
2077,24.64
2078,24.67
2079,24.80
2080,24.80
2081,24.64
2082,24.76
2083,24.99
2084,24.95
2085,24.91
2086,24.94
2087,24.55
2088,25.10
2089,24.87
2090,24.74
2091,24.81
2092,24.70
2093,24.69
2094,24.49
2095,24.46
2096,24.93
2097,24.73
2098,24.36
2099,24.70
2100,24.73
