Variable:,tas
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
2015,6.35,6.62,7.19,6.05,6.55,6.32,6.18,7.00,6.97,6.10,6.84,7.23,6.21,6.33,6.57,6.14,5.96
2016,6.79,6.93,7.72,6.43,7.06,6.94,6.56,7.43,7.50,6.85,7.30,7.78,6.85,7.07,7.16,7.02,6.63
2017,7.00,7.13,7.83,6.63,7.28,7.17,6.76,7.63,7.74,7.06,7.53,7.89,7.08,7.29,7.40,7.21,6.86
2018,7.33,7.63,8.13,6.93,7.64,7.42,7.15,7.97,8.02,7.15,7.89,8.17,7.29,7.40,7.69,7.19,6.99
2019,6.95,7.08,7.83,6.62,7.20,7.10,6.75,7.54,7.56,6.86,7.39,7.88,7.00,7.05,7.28,6.85,6.76
2020,7.09,7.45,8.06,6.59,7.38,7.13,6.90,7.88,7.83,6.82,7.70,8.11,6.99,7.06,7.41,6.83,6.67
2021,6.41,6.63,7.54,6.03,6.69,6.44,6.23,7.18,7.20,6.24,7.00,7.59,6.32,6.47,6.76,6.32,6.07
2022,7.10,7.25,7.95,6.79,7.37,7.21,6.89,7.75,7.85,7.00,7.65,8.00,7.10,7.24,7.47,7.07,6.84
2023,6.43,6.72,7.31,5.99,6.74,6.55,6.26,7.11,7.14,6.29,6.99,7.35,6.41,6.57,6.79,6.39,6.07
2024,7.02,7.16,7.90,6.63,7.31,7.17,6.77,7.70,7.81,7.04,7.59,7.96,7.08,7.26,7.41,7.15,6.86
2025,6.92,7.20,7.86,6.59,7.13,6.89,6.75,7.62,7.60,6.67,7.45,7.89,6.78,6.91,7.16,6.72,6.53
2026,6.69,6.80,7.47,6.45,6.83,6.74,6.50,7.25,7.24,6.61,7.07,7.53,6.68,6.73,6.87,6.61,6.53
