Variable:,tas
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
2015,27.92,27.85,26.99,26.44,28.23,25.93,25.72
2016,27.82,27.78,27.01,26.47,28.08,25.98,25.77
2017,28.16,28.07,27.20,26.63,28.47,26.12,25.90
2018,28.06,28.02,27.09,26.49,28.43,25.95,25.72
2019,28.28,28.23,27.45,26.91,28.53,26.42,26.21
2020,28.44,28.38,27.44,26.84,28.80,26.29,26.06
2021,28.36,28.26,27.39,26.73,28.58,26.12,25.87
2022,28.43,28.36,27.49,26.91,28.72,26.38,26.16
2023,28.36,28.24,27.44,26.88,28.59,26.37,26.15
2024,28.15,28.06,27.30,26.80,28.40,26.34,26.15
2025,28.42,28.30,27.54,27.04,28.61,26.58,26.39
2026,28.41,28.30,27.52,26.95,28.61,26.43,26.21
2027,28.21,28.11,27.26,26.72,28.53,26.24,26.03
2028,28.34,28.25,27.43,26.89,28.62,26.40,26.19
2029,28.38,28.31,27.38,26.83,28.75,26.32,26.11
2030,28.29,28.20,27.37,26.88,28.58,26.44,26.25
2031,28.60,28.54,27.69,27.06,28.88,26.49,26.25
2032,28.20,28.12,27.35,26.79,28.42,26.28,26.07
2033,28.35,28.28,27.49,26.95,28.61,26.46,26.25
2034,28.47,28.32,27.48,26.90,28.68,26.37,26.15
2035,28.62,28.52,27.74,27.16,28.85,26.63,26.41
2036,28.54,28.43,27.59,27.07,28.83,26.59,26.39
2037,28.41,28.33,27.56,27.02,28.64,26.53,26.32
2038,28.77,28.69,27.79,27.22,29.08,26.71,26.49
2039,28.67,28.51,27.78,27.20,28.77,26.68,26.46
2040,28.65,28.56,27.78,27.25,28.89,26.76,26.56
2041,28.92,28.81,27.98,27.42,29.18,26.91,26.69
2042,28.57,28.48,27.60,27.07,28.89,26.59,26.39
2043,28.37,28.22,27.32,26.84,28.64,26.41,26.23
2044,28.62,28.58,27.58,27.04,29.07,26.54,26.33
2045,28.80,28.69,27.80,27.24,29.13,26.73,26.52
2046,28.65,28.48,27.72,27.16,28.80,26.65,26.43
2047,28.69,28.62,27.70,27.17,29.06,26.69,26.49
2048,28.81,28.73,27.66,27.10,29.26,26.59,26.37
2049,28.60,28.51,27.70,27.13,28.87,26.62,26.40
2050,28.47,28.43,27.52,26.89,28.82,26.32,26.08
2051,28.67,28.56,27.71,27.13,28.96,26.59,26.37
2052,28.85,28.77,27.92,27.36,29.16,26.86,26.65
2053,28.64,28.54,27.69,27.14,28.91,26.64,26.43
2054,28.61,28.53,27.64,27.14,28.96,26.69,26.50
2055,28.57,28.48,27.62,27.08,28.86,26.58,26.37
2056,28.49,28.38,27.58,27.12,28.75,26.70,26.52
2057,28.53,28.46,27.54,27.02,28.93,26.54,26.34
2058,28.71,28.64,27.79,27.21,28.99,26.67,26.45
2059,28.70,28.59,27.75,27.25,28.97,26.79,26.60
2060,28.43,28.26,27.60,27.17,28.56,26.77,26.60
2061,28.54,28.44,27.63,27.11,28.82,26.63,26.43
2062,28.68,28.62,27.78,27.25,28.96,26.77,26.57
2063,28.60,28.58,27.56,27.03,29.07,26.54,26.34
2064,28.50,28.38,27.63,27.14,28.72,26.71,26.52
2065,28.25,28.16,27.27,26.69,28.56,26.16,25.94
2066,28.49,28.42,27.56,26.99,28.81,26.48,26.26
2067,28.80,28.80,27.91,27.34,29.13,26.82,26.60
2068,28.89,28.80,28.04,27.48,29.14,26.98,26.77
2069,28.62,28.57,27.63,27.05,28.97,26.51,26.29
2070,28.58,28.49,27.57,26.99,28.93,26.46,26.24
2071,28.54,28.52,27.67,27.11,28.90,26.60,26.38
2072,28.56,28.54,27.65,27.04,28.91,26.48,26.25
2073,28.33,28.27,27.45,26.90,28.63,26.40,26.19
2074,28.53,28.45,27.63,27.06,28.80,26.55,26.33
2075,28.57,28.48,27.63,27.05,28.84,26.52,26.30
2076,28.80,28.70,27.97,27.42,28.98,26.92,26.71
2077,28.70,28.64,27.77,27.19,29.02,26.65,26.43
2078,28.36,28.24,27.46,26.96,28.63,26.50,26.31
2079,28.42,28.32,27.47,26.93,28.73,26.44,26.23
2080,28.57,28.45,27.56,27.07,28.94,26.63,26.44
2081,28.26,28.17,27.29,26.75,28.59,26.26,26.05
2082,28.47,28.46,27.58,27.00,28.80,26.47,26.25
2083,28.61,28.51,27.75,27.23,28.83,26.77,26.57
2084,28.63,28.53,27.74,27.22,28.86,26.75,26.55
2085,28.42,28.34,27.52,26.98,28.70,26.49,26.28
2086,28.56,28.51,27.73,27.16,28.77,26.64,26.42
2087,28.51,28.45,27.56,27.04,28.88,26.56,26.36
2088,28.41,28.31,27.37,26.84,28.78,26.36,26.16
2089,28.32,28.23,27.45,26.89,28.55,26.39,26.18
2090,28.60,28.56,27.64,27.05,28.97,26.51,26.28
2091,28.41,28.30,27.49,27.03,28.69,26.61,26.43
2092,28.22,28.14,27.23,26.71,28.60,26.24,26.04
2093,28.35,28.24,27.41,26.78,28.59,26.20,25.96
2094,28.47,28.33,27.64,27.10,28.60,26.61,26.40
2095,28.33,28.22,27.33,26.71,28.62,26.14,25.90
2096,28.09,27.96,27.17,26.70,28.36,26.28,26.10
2097,28.45,28.35,27.53,26.99,28.73,26.51,26.30
2098,28.44,28.35,27.57,27.04,28.67,26.55,26.35
2099,28.38,28.27,27.48,26.97,28.61,26.50,26.30
2100,28.51,28.40,27.51,27.02,28.85,26.58,26.39
