Variable:,tas
,Iraq,Anbar,Basrah,Muthanna,Qadissiya,Najaf,Erbil,Kirkuk,Babil,Baghdad,Thi-Qar,Dahuk,Diyala,Kerbala,Missan,Ninewa,"Salah al-Din",Sulaymaniyah,Wassit
2015,22.93,21.95,26.03,25.28,24.92,24.25,21.17,23.61,24.62,24.04,25.65,19.41,24.35,23.96,25.73,21.29,23.36,21.90,25.09
2016,22.95,21.89,25.92,25.26,24.96,24.32,21.32,23.59,24.58,24.02,25.68,19.63,24.39,23.83,25.84,21.33,23.32,21.94,25.20
2017,22.91,22.00,26.00,25.38,24.94,24.43,21.11,23.49,24.60,24.03,25.65,19.34,24.31,23.95,25.68,21.16,23.35,21.77,25.09
2018,22.98,21.92,26.07,25.43,24.98,24.34,21.27,23.67,24.60,24.13,25.81,19.59,24.43,23.87,25.84,21.39,23.37,21.95,25.20
2019,22.94,21.87,25.90,25.27,24.95,24.32,21.38,23.70,24.62,24.09,25.59,19.76,24.38,23.94,25.68,21.41,23.41,22.01,25.08
2020,22.88,21.89,25.98,25.23,24.79,24.24,21.16,23.53,24.51,24.13,25.55,19.42,24.42,23.80,25.68,21.20,23.40,21.90,25.07
2021,23.28,22.22,26.30,25.73,25.36,24.72,21.53,23.91,24.98,24.51,26.04,19.68,24.84,24.27,26.11,21.52,23.74,22.26,25.54
2022,23.11,22.08,26.18,25.41,25.01,24.36,21.42,23.72,24.67,24.22,25.77,19.82,24.59,23.97,25.92,21.48,23.51,22.16,25.28
2023,23.18,22.12,26.36,25.63,25.19,24.59,21.45,23.86,24.82,24.30,25.93,19.66,24.65,24.09,26.07,21.41,23.60,22.27,25.40
2024,23.33,22.28,26.40,25.71,25.31,24.69,21.70,24.07,24.97,24.53,26.03,19.87,24.83,24.26,26.09,21.82,23.86,22.34,25.51
2025,23.92,22.84,27.02,26.36,25.94,25.35,22.27,24.60,25.64,25.12,26.61,20.43,25.45,24.95,26.68,22.27,24.38,22.95,26.15
2026,23.64,22.55,26.86,26.17,25.68,25.05,21.91,24.26,25.30,24.81,26.50,20.14,25.13,24.61,26.55,21.83,24.09,22.61,25.85
2027,23.58,22.46,26.67,25.86,25.43,24.79,22.10,24.46,25.17,24.66,26.20,20.37,25.11,24.34,26.33,21.97,24.07,22.86,25.65
2028,23.16,22.07,26.33,25.65,25.20,24.55,21.45,23.79,24.83,24.35,26.02,19.62,24.68,24.09,26.01,21.45,23.61,22.14,25.41
2029,23.54,22.44,26.63,25.88,25.47,24.83,21.80,24.17,25.16,24.66,26.26,20.12,25.03,24.46,26.48,21.93,23.96,22.56,25.79
2030,23.62,22.61,26.74,26.02,25.60,25.04,21.89,24.21,25.28,24.75,26.32,20.21,25.06,24.62,26.45,21.96,24.01,22.57,25.77
2031,23.34,22.28,26.45,25.82,25.37,24.73,21.64,23.95,25.07,24.54,26.08,19.97,24.82,24.30,26.17,21.58,23.72,22.34,25.60
2032,23.78,22.60,26.73,26.10,25.78,25.04,22.17,24.67,25.47,25.05,26.45,20.27,25.46,24.77,26.57,22.13,24.30,23.06,26.07
2033,23.36,22.33,26.57,25.83,25.26,24.74,21.68,24.05,24.91,24.59,26.10,19.92,24.85,24.29,26.18,21.69,23.80,22.41,25.43
2034,23.76,22.56,27.17,26.34,25.90,25.24,21.91,24.33,25.51,24.97,26.75,20.11,25.30,24.73,26.88,21.86,24.09,22.77,26.16
2035,23.72,22.71,26.95,26.25,25.76,25.19,21.95,24.27,25.40,24.77,26.53,20.32,25.10,24.73,26.51,21.98,24.02,22.67,25.90
