Variable:,tas
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
2015,13.25,14.84,13.96,13.96,15.92,15.14,14.29,13.05,13.21,13.90,12.99
2016,13.37,14.92,14.18,14.12,15.96,15.21,14.37,13.17,13.35,14.00,13.13
2017,13.28,14.84,14.06,14.01,15.91,15.14,14.26,13.11,13.23,13.87,13.02
2018,13.35,14.93,14.16,14.09,16.03,15.24,14.34,13.14,13.25,13.90,13.07
2019,13.27,14.83,14.05,14.00,15.89,15.13,14.26,13.06,13.24,13.89,13.02
2020,13.79,15.39,14.57,14.53,16.48,15.70,14.87,13.58,13.75,14.47,13.54
2021,13.44,15.08,14.27,14.22,16.20,15.39,14.48,13.20,13.36,14.05,13.17
2022,13.40,15.12,14.26,14.24,16.22,15.43,14.53,13.15,13.35,14.06,13.22
2023,13.52,15.03,14.29,14.23,16.08,15.33,14.46,13.33,13.47,14.09,13.25
2024,13.58,15.28,14.35,14.36,16.41,15.60,14.71,13.36,13.53,14.26,13.35
2025,13.58,15.16,14.41,14.33,16.23,15.46,14.56,13.35,13.49,14.12,13.32
2026,13.93,15.65,14.71,14.70,16.83,15.98,15.04,13.70,13.82,14.54,13.66
2027,13.52,15.21,14.30,14.30,16.33,15.52,14.66,13.31,13.52,14.26,13.30
2028,13.49,15.08,14.33,14.25,16.18,15.39,14.53,13.28,13.44,14.14,13.22
2029,13.85,15.37,14.66,14.57,16.43,15.66,14.75,13.63,13.74,14.34,13.55
2030,13.89,15.41,14.76,14.64,16.47,15.71,14.81,13.64,13.75,14.38,13.59
2031,13.93,15.63,14.73,14.74,16.74,15.94,15.02,13.70,13.90,14.59,13.72
2032,13.77,15.50,14.71,14.63,16.67,15.83,14.92,13.47,13.70,14.49,13.50
2033,13.87,15.52,14.68,14.66,16.60,15.82,14.98,13.63,13.85,14.58,13.65
2034,13.78,15.41,14.57,14.58,16.44,15.69,14.86,13.61,13.83,14.50,13.63
2035,14.12,15.81,14.99,14.94,16.95,16.12,15.12,13.86,13.98,14.62,13.85
2036,13.88,15.72,14.71,14.76,16.86,16.04,15.09,13.63,13.88,14.61,13.74
2037,13.91,15.65,14.72,14.72,16.80,15.97,15.09,13.69,13.90,14.66,13.69
2038,14.19,15.80,14.91,14.91,16.88,16.11,15.30,13.98,14.17,14.90,13.97
2039,14.14,15.72,14.99,14.94,16.76,16.01,15.19,13.89,14.08,14.78,13.92
2040,13.88,15.44,14.71,14.64,16.49,15.73,14.84,13.66,13.83,14.45,13.63
2041,13.95,15.55,14.78,14.73,16.61,15.84,14.95,13.76,13.87,14.50,13.72
2042,13.98,15.60,14.77,14.74,16.69,15.90,15.00,13.75,13.92,14.58,13.73
2043,13.81,15.44,14.59,14.56,16.55,15.75,14.90,13.59,13.78,14.50,13.56
2044,14.16,15.89,15.04,15.02,16.97,16.19,15.29,13.83,13.98,14.71,13.99
2045,14.31,15.93,15.17,15.12,17.00,16.23,15.36,14.08,14.19,14.87,14.09
2046,13.96,15.58,14.78,14.74,16.65,15.88,14.98,13.73,13.92,14.57,13.75
2047,14.28,15.92,15.06,15.05,16.99,16.22,15.24,14.04,14.20,14.77,14.08
2048,13.94,15.79,14.68,14.76,16.96,16.12,15.11,13.70,13.91,14.61,13.77
2049,13.76,15.44,14.57,14.54,16.58,15.76,14.87,13.52,13.71,14.46,13.49
2050,13.87,15.41,14.73,14.61,16.50,15.71,14.83,13.61,13.71,14.39,13.55
2051,14.15,15.90,14.94,14.96,17.03,16.21,15.33,13.92,14.13,14.89,13.95
2052,14.28,15.95,15.15,15.07,17.08,16.26,15.25,13.98,14.07,14.69,14.00
2053,13.91,15.54,14.77,14.69,16.66,15.85,14.91,13.65,13.79,14.46,13.61
2054,14.14,15.84,14.98,14.95,16.97,16.16,15.26,13.87,14.05,14.78,13.91
2055,14.26,15.88,15.18,15.09,16.97,16.19,15.20,14.03,14.14,14.72,14.02
2056,13.81,15.37,14.71,14.57,16.49,15.68,14.85,13.50,13.70,14.48,13.44
2057,13.68,15.30,14.51,14.44,16.41,15.61,14.72,13.44,13.60,14.29,13.40
2058,14.00,15.67,14.75,14.72,16.81,15.99,15.13,13.77,13.95,14.71,13.73
2059,14.01,15.64,14.83,14.83,16.71,15.93,14.98,13.73,13.83,14.44,13.77
2060,13.70,15.30,14.43,14.44,16.36,15.60,14.83,13.50,13.71,14.46,13.48
2061,13.91,15.59,14.69,14.69,16.71,15.90,15.00,13.68,13.84,14.54,13.68
2062,14.04,15.70,14.86,14.82,16.81,16.01,15.08,13.80,14.00,14.67,13.80
2063,13.72,15.38,14.51,14.49,16.50,15.69,14.87,13.48,13.74,14.53,13.46
2064,13.87,15.46,14.55,14.60,16.49,15.75,14.90,13.68,13.88,14.52,13.70
2065,13.91,15.66,14.72,14.73,16.80,15.98,15.07,13.67,13.87,14.60,13.72
2066,13.74,15.34,14.55,14.50,16.43,15.65,14.83,13.54,13.71,14.44,13.49
2067,13.99,15.76,14.77,14.79,16.92,16.09,15.20,13.75,13.94,14.73,13.78
2068,14.07,15.73,14.93,14.86,16.86,16.04,15.09,13.78,13.93,14.62,13.78
2069,13.96,15.61,14.78,14.74,16.72,15.92,15.00,13.75,13.91,14.58,13.71
2070,13.67,15.26,14.55,14.47,16.34,15.56,14.65,13.45,13.59,14.23,13.41
