Variable:,tas
,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
2015,18.34,18.28,17.99,18.97,18.54,15.38,18.32,18.80,21.82,22.38,17.62,17.76,19.37,17.14,17.90,16.91
2016,18.34,18.19,17.75,19.05,18.68,15.25,18.32,18.93,22.06,22.53,17.79,17.88,19.50,17.12,17.86,16.79
2017,18.47,18.54,18.13,18.96,18.53,15.65,18.33,18.80,21.96,22.56,17.67,17.80,19.59,17.27,17.89,17.05
2018,18.54,18.47,18.11,19.08,18.63,15.55,18.52,19.00,22.25,22.63,17.79,17.90,19.70,17.32,18.06,17.03
2019,18.64,18.46,18.14,19.31,18.88,15.71,18.66,19.22,22.27,22.77,18.04,18.12,19.70,17.38,18.28,17.30
2020,18.67,18.60,18.17,19.33,18.85,15.71,18.65,19.20,22.25,22.63,17.99,18.19,19.82,17.52,18.17,17.28
2021,18.65,18.74,18.22,19.21,18.78,15.74,18.42,18.99,22.25,22.63,18.00,17.92,19.86,17.51,17.89,17.06
2022,19.13,19.12,18.76,19.68,19.14,16.41,18.98,19.30,22.60,23.04,18.46,18.44,20.25,18.08,18.48,17.74
2023,18.61,18.63,18.30,19.12,18.73,15.67,18.57,19.00,22.22,22.85,17.81,17.98,19.70,17.31,18.12,17.10
2024,18.77,18.72,18.43,19.28,18.82,15.78,18.51,18.99,22.45,22.81,18.02,18.11,19.91,17.59,18.02,17.26
2025,19.17,19.10,18.93,19.54,19.13,16.33,18.96,19.42,22.75,23.28,18.33,18.36,20.29,17.90,18.56,17.80
