Variable:,tas
,"Myanmar (Burma)",Rakhine,Chin,Ayeyawaddy,Kachin,Kayin,Kayar,Magway,Mandalay,Mon,Sagaing,Taninthayi,Yangon,"Bago (E)","Bago (W)","Shan (E)","Shan (N)","Shan (S)"
2015,23.62,26.61,23.48,27.31,21.30,26.78,25.31,25.00,26.35,27.38,23.02,27.23,27.50,27.19,26.75,22.75,22.46,23.36
2016,23.60,26.52,23.37,27.32,21.14,26.83,25.41,24.94,26.31,27.38,22.91,27.04,27.59,27.31,26.72,22.76,22.49,23.45
2017,23.60,26.66,23.51,27.41,21.10,26.84,25.26,24.90,26.29,27.41,22.97,27.28,27.60,27.24,26.76,22.75,22.45,23.34
2018,23.83,26.79,23.63,27.46,21.38,27.03,25.55,25.19,26.63,27.55,23.17,27.33,27.67,27.47,26.93,22.96,22.74,23.66
2019,23.66,26.63,23.41,27.44,21.15,27.01,25.52,24.99,26.34,27.56,22.86,27.32,27.68,27.43,26.81,22.86,22.54,23.51
2020,23.92,26.79,23.67,27.63,21.45,27.20,25.76,25.27,26.73,27.69,23.25,27.45,27.85,27.66,27.13,23.09,22.77,23.73
2021,23.83,26.78,23.54,27.59,21.35,27.12,25.68,25.21,26.55,27.63,23.04,27.39,27.85,27.67,27.04,23.01,22.72,23.58
2022,23.73,26.70,23.52,27.38,21.24,26.99,25.42,25.06,26.48,27.52,23.02,27.37,27.58,27.38,26.78,22.99,22.61,23.55
2023,23.89,26.84,23.61,27.65,21.34,27.25,25.80,25.24,26.71,27.73,23.12,27.49,27.86,27.71,27.12,23.20,22.70,23.83
2024,23.88,26.83,23.71,27.59,21.45,27.04,25.57,25.25,26.66,27.62,23.23,27.34,27.83,27.61,27.04,22.99,22.75,23.64
2025,24.00,27.00,23.75,27.76,21.57,27.23,25.74,25.34,26.77,27.81,23.27,27.59,28.00,27.75,27.26,23.21,22.81,23.82
2026,24.10,27.05,23.87,27.72,21.66,27.35,25.86,25.54,26.91,27.81,23.45,27.64,28.00,27.80,27.23,23.20,22.95,23.86
2027,23.93,26.77,23.81,27.41,21.69,26.97,25.57,25.19,26.61,27.46,23.48,27.19,27.65,27.47,26.86,23.07,22.81,23.65
