Variable:,tas
,"Northern Mariana Islands","Administrative unit not available"
2015,27.62,27.56
2016,27.48,27.42
2017,27.41,27.37
2018,27.63,27.56
2019,27.55,27.49
2020,27.51,27.45
2021,27.66,27.58
2022,27.48,27.46
2023,27.49,27.43
2024,27.76,27.70
2025,27.77,27.71
2026,27.68,27.65
2027,27.80,27.75
2028,27.76,27.69
2029,27.91,27.86
2030,27.83,27.77
2031,27.85,27.81
2032,27.79,27.74
2033,27.74,27.69
2034,27.70,27.63
2035,27.80,27.74
2036,27.89,27.83
2037,27.87,27.80
2038,27.94,27.89
2039,28.05,27.99
2040,27.81,27.79
2041,27.92,27.88
2042,27.96,27.89
2043,27.78,27.74
2044,27.77,27.72
2045,28.01,27.93
2046,27.92,27.87
2047,27.92,27.88
2048,27.97,27.92
2049,27.98,27.91
2050,27.91,27.85
2051,27.84,27.78
2052,27.89,27.82
2053,27.84,27.80
2054,27.97,27.92
2055,27.82,27.79
2056,27.95,27.91
2057,27.84,27.78
2058,27.86,27.81
2059,28.02,27.96
2060,28.08,28.01
2061,27.87,27.82
2062,27.91,27.86
2063,27.81,27.75
2064,27.82,27.77
2065,27.74,27.71
2066,27.68,27.62
2067,27.89,27.82
2068,27.98,27.91
2069,27.85,27.77
2070,27.77,27.71
2071,27.87,27.81
2072,27.96,27.86
2073,27.72,27.69
2074,27.90,27.82
2075,27.89,27.83
2076,27.76,27.68
2077,27.77,27.74
2078,27.86,27.81
2079,27.71,27.67
2080,27.81,27.75
2081,27.92,27.84
2082,27.67,27.60
2083,27.78,27.73
2084,27.93,27.86
2085,27.64,27.57
2086,27.66,27.61
2087,27.76,27.71
2088,27.80,27.76
2089,27.68,27.61
2090,27.57,27.51
2091,27.65,27.60
2092,27.70,27.65
2093,27.83,27.77
2094,27.72,27.66
2095,27.69,27.65
2096,27.75,27.71
2097,27.70,27.62
2098,27.65,27.61
2099,27.68,27.61
2100,27.78,27.73
