Variable:,tas
,Mozambique,"Cabo Delgado",Gaza,Inhambane,Manica,Nampula,Niassa,Sofala,Tete,Zambezia,Maputo,"Lago niassa"
2015,24.46,25.15,23.89,24.19,22.60,25.06,23.53,24.53,24.71,24.97,23.14,22.63
2016,24.31,25.23,23.42,23.91,22.22,24.96,23.50,24.31,24.40,24.89,22.78,22.49
2017,24.62,25.37,23.89,24.31,22.67,25.11,23.67,24.70,24.96,25.16,23.01,22.69
2018,24.65,25.43,23.96,24.34,22.79,25.22,23.72,24.74,24.88,25.18,23.09,22.80
2019,24.47,25.07,24.01,24.45,22.68,24.98,23.44,24.64,24.60,25.01,23.05,22.50
2020,24.80,25.51,24.11,24.50,22.93,25.30,23.90,24.94,25.03,25.40,23.35,22.89
2021,24.63,25.50,23.99,24.34,22.60,25.24,23.72,24.63,24.78,25.14,23.15,22.70
2022,24.72,25.57,24.03,24.44,22.86,25.21,23.87,24.82,24.89,25.19,23.17,22.84
2023,24.75,25.70,24.00,24.34,22.74,25.43,23.92,24.70,24.85,25.26,23.20,22.93
2024,24.70,25.50,24.12,24.48,22.86,25.24,23.76,24.82,24.85,25.12,23.26,22.83
2025,24.84,25.66,24.07,24.52,22.89,25.42,23.93,24.97,24.97,25.48,23.12,22.94
2026,24.98,25.65,24.42,24.87,23.11,25.51,24.04,25.08,25.13,25.50,23.49,23.06
2027,24.70,25.39,24.05,24.36,22.85,25.15,23.77,24.86,25.03,25.30,23.09,22.90
2028,24.83,25.67,24.00,24.54,22.78,25.39,24.00,24.84,25.11,25.29,23.21,22.90
2029,24.90,25.54,24.28,24.70,23.19,25.28,23.82,25.14,25.23,25.51,23.43,22.93
2030,24.90,25.62,24.40,24.72,23.22,25.33,23.94,25.07,25.16,25.35,23.56,23.06
2031,24.84,25.68,24.31,24.77,23.11,25.21,23.85,25.01,24.95,25.23,23.54,22.94
2032,24.76,25.47,24.29,24.60,22.90,25.34,23.74,24.84,24.98,25.21,23.25,22.83
2033,24.92,25.66,24.36,24.69,23.16,25.48,24.01,25.10,25.00,25.43,23.34,23.05
2034,24.77,25.64,24.09,24.50,22.78,25.29,23.90,24.82,24.98,25.17,23.18,22.92
2035,24.97,25.61,24.48,24.99,23.23,25.36,23.96,25.13,25.22,25.37,23.54,23.03
2036,25.00,25.80,24.32,24.82,23.33,25.50,24.04,25.23,25.17,25.44,23.29,23.06
2037,24.83,25.73,24.20,24.52,22.82,25.35,24.02,24.79,24.96,25.29,23.41,23.08
2038,25.12,25.98,24.17,24.75,23.18,25.73,24.34,25.21,25.31,25.66,23.43,23.34
2039,25.01,25.63,24.10,24.53,23.18,25.56,24.08,25.24,25.44,25.68,23.56,23.16
2040,25.11,25.92,24.44,24.79,23.25,25.64,24.21,25.20,25.34,25.60,23.51,23.20
2041,25.16,25.86,24.59,24.98,23.39,25.60,24.20,25.33,25.44,25.62,23.63,23.27
2042,24.95,25.79,24.21,24.49,23.03,25.58,24.11,24.99,25.20,25.52,23.45,23.15
2043,24.74,25.55,24.16,24.50,22.75,25.24,23.83,24.78,24.97,25.23,23.45,22.92
2044,24.81,25.74,24.15,24.49,22.82,25.41,24.01,24.74,24.91,25.20,23.33,23.01
2045,25.13,25.92,24.56,24.89,23.26,25.63,24.26,25.18,25.35,25.60,23.55,23.28
2046,25.17,25.91,24.50,24.87,23.39,25.68,24.24,25.40,25.49,25.68,23.47,23.42
2047,25.06,25.68,24.50,24.76,23.21,25.57,24.10,25.15,25.45,25.64,23.59,23.22
2048,25.07,26.02,24.11,24.47,23.13,25.74,24.19,25.23,25.25,25.72,23.23,23.13
2049,25.03,25.89,24.20,24.62,23.12,25.63,24.25,25.03,25.22,25.60,23.32,23.28
2050,25.17,25.85,24.52,24.88,23.32,25.68,24.25,25.36,25.48,25.68,23.66,23.25
2051,24.98,25.79,24.35,24.69,23.08,25.46,24.12,25.04,25.24,25.43,23.37,23.31
2052,24.94,25.70,24.05,24.64,23.20,25.54,23.99,25.20,25.19,25.42,23.28,23.02
2053,24.98,25.81,24.46,24.85,23.16,25.51,24.05,25.14,25.07,25.37,23.46,23.12
2054,25.02,25.84,24.40,24.80,23.10,25.47,24.12,25.06,25.32,25.47,23.58,23.16
2055,25.04,25.75,24.48,24.86,23.24,25.55,24.05,25.21,25.31,25.47,23.70,23.05
2056,24.77,25.77,24.16,24.60,22.83,25.33,23.86,24.78,24.76,25.17,23.30,22.83
2057,24.83,25.76,24.13,24.55,22.80,25.37,24.00,24.78,24.93,25.22,23.49,23.05
2058,25.05,25.97,24.37,24.66,23.12,25.65,24.20,25.09,25.16,25.55,23.54,23.17
2059,25.06,25.73,24.44,24.96,23.24,25.53,24.07,25.22,25.27,25.55,23.67,23.13
2060,25.12,25.86,24.47,24.86,23.42,25.50,24.18,25.32,25.40,25.56,23.53,23.20
2061,24.96,25.79,24.13,24.47,23.13,25.60,24.16,25.01,25.23,25.51,23.34,23.20
2062,24.99,25.65,24.39,24.82,23.16,25.50,24.06,25.15,25.23,25.52,23.58,23.15
2063,25.04,25.86,24.32,24.68,23.16,25.60,24.17,25.16,25.20,25.57,23.44,23.07
2064,24.72,25.47,24.28,24.47,22.77,25.21,23.78,24.72,24.92,25.20,23.45,22.81
2065,24.65,25.35,23.76,24.33,22.88,25.12,23.73,24.86,24.93,25.31,23.08,22.70
2066,24.80,25.66,24.01,24.43,22.85,25.37,23.98,24.91,24.98,25.30,23.20,23.00
2067,24.81,25.75,24.05,24.46,22.86,25.39,23.96,24.87,24.91,25.25,23.18,22.98
2068,25.01,25.74,24.23,24.70,23.12,25.66,24.16,25.13,25.19,25.58,23.36,23.24
2069,24.88,25.63,24.31,24.63,23.10,25.32,23.96,25.04,25.09,25.39,23.33,22.97
2070,24.77,25.57,23.93,24.38,22.87,25.31,23.96,24.89,25.04,25.29,22.99,22.90
2071,25.06,25.90,24.43,24.82,23.30,25.52,24.26,25.15,25.14,25.53,23.27,23.20
2072,24.69,25.54,23.97,24.42,22.79,25.23,23.83,24.79,24.87,25.12,23.25,22.89
2073,24.78,25.44,24.02,24.37,22.84,25.36,23.91,24.91,25.15,25.42,23.35,22.97
2074,24.98,25.72,24.78,25.10,23.19,25.43,23.96,25.18,24.95,25.35,23.52,22.80
2075,24.89,25.54,24.41,24.77,23.16,25.36,23.88,25.07,25.15,25.37,23.54,22.89
2076,24.79,25.56,23.99,24.47,22.76,25.43,23.97,24.77,24.96,25.34,23.19,22.99
2077,25.00,25.73,24.27,24.72,23.25,25.45,24.02,25.17,25.43,25.46,23.47,23.02
2078,24.90,25.78,24.25,24.59,23.15,25.47,23.87,25.10,25.12,25.34,23.35,22.91
2079,24.71,25.40,24.24,24.55,22.90,25.18,23.74,24.81,24.93,25.20,23.19,22.89
2080,24.94,25.78,24.44,24.72,23.13,25.52,23.95,25.06,25.12,25.29,23.71,22.95
2081,24.74,25.52,24.09,24.39,22.94,25.17,23.80,24.95,24.96,25.29,23.34,22.80
2082,24.85,25.74,24.02,24.44,22.84,25.52,24.02,24.84,25.08,25.34,23.28,23.07
2083,25.02,25.71,24.31,24.72,23.27,25.53,24.11,25.21,25.27,25.52,23.39,23.15
2084,24.86,25.66,24.13,24.50,23.04,25.43,23.99,24.97,25.17,25.33,23.31,23.06
2085,24.64,25.38,24.06,24.39,22.70,25.25,23.79,24.69,24.77,25.17,23.13,22.75
2086,24.89,25.64,24.37,24.63,23.01,25.32,24.13,24.95,25.02,25.36,23.56,23.03
2087,25.05,25.80,24.73,25.02,23.31,25.31,24.05,25.23,25.27,25.39,23.74,23.13
2088,24.97,25.68,24.33,24.82,23.17,25.46,24.06,25.13,25.19,25.42,23.17,23.09
2089,24.54,25.48,23.70,24.15,22.45,25.17,23.74,24.53,24.62,25.08,22.86,22.76
2090,24.93,25.72,24.39,24.71,22.98,25.52,24.08,24.90,25.15,25.35,23.44,23.10
2091,24.92,25.70,24.42,24.67,23.13,25.45,24.00,25.15,24.99,25.35,23.56,22.91
2092,24.91,25.66,24.16,24.45,22.94,25.49,24.10,25.07,25.14,25.54,23.47,23.16
2093,24.70,25.49,23.90,24.33,22.83,25.25,23.83,24.78,24.91,25.30,23.03,22.78
2094,24.98,25.88,24.14,24.60,23.01,25.60,24.16,25.03,25.18,25.50,23.20,23.11
2095,24.80,25.58,24.38,24.61,22.94,25.32,23.88,24.88,24.98,25.15,23.55,22.97
2096,24.88,25.76,24.27,24.66,23.08,25.43,23.89,25.05,24.94,25.36,23.24,22.87
2097,24.54,25.52,23.89,24.22,22.51,25.16,23.71,24.48,24.60,24.97,23.05,22.68
2098,24.56,25.42,23.72,24.36,22.66,25.15,23.67,24.61,24.80,24.97,23.02,22.72
2099,24.73,25.61,23.94,24.16,22.74,25.32,24.00,24.72,24.94,25.33,23.05,23.04
2100,24.87,25.69,23.92,24.33,23.01,25.47,23.95,25.16,25.22,25.42,23.52,23.09
