Variable:,tas
,Mauritania,Adrar,Assaba,Brakna,Dakhlet-Nouadhibou,Gorgol,Guidimakha,"Hodh Ech Chargi","Hodh El Gharbi",Inchiri,Nouakchott,Tagant,Tiris-Zemmour,Trarza
2015,28.66,29.09,30.33,29.95,23.80,30.24,30.27,30.00,30.10,26.96,25.68,30.13,27.01,27.91
2016,28.49,28.93,29.84,29.74,23.87,29.86,29.84,29.58,29.51,27.10,25.79,29.78,27.08,27.92
2017,28.67,29.09,30.28,30.14,23.96,30.28,30.27,29.82,29.96,27.31,25.91,30.03,27.09,28.28
2018,28.82,29.25,30.21,30.12,24.22,30.26,30.22,29.92,29.93,27.35,25.91,30.09,27.41,28.18
2019,28.87,29.34,30.38,30.25,24.21,30.40,30.41,29.91,30.04,27.42,26.01,30.23,27.38,28.32
2020,29.09,29.50,30.86,30.60,24.21,30.82,30.84,30.36,30.53,27.60,26.31,30.63,27.36,28.61
2021,29.01,29.49,30.67,30.41,24.13,30.63,30.58,30.21,30.31,27.40,26.14,30.49,27.36,28.43
2022,29.21,29.65,30.72,30.50,24.34,30.61,30.54,30.37,30.39,27.66,26.15,30.63,27.71,28.49
2023,29.10,29.59,30.59,30.44,24.34,30.59,30.56,30.29,30.31,27.59,26.22,30.45,27.56,28.46
2024,29.04,29.55,30.42,30.30,24.25,30.37,30.30,30.21,30.12,27.52,26.17,30.48,27.48,28.40
2025,29.51,30.05,30.74,30.70,24.60,30.72,30.54,30.56,30.43,27.91,26.55,30.77,28.13,28.74
2026,29.31,29.76,30.83,30.64,24.42,30.79,30.65,30.44,30.46,27.75,26.36,30.70,27.81,28.64
2027,29.16,29.54,30.58,30.26,24.42,30.54,30.57,30.38,30.27,27.55,26.17,30.46,27.74,28.32
2028,28.98,29.42,30.51,30.24,24.15,30.52,30.59,30.13,30.20,27.29,26.04,30.28,27.56,28.26
2029,29.12,29.53,30.62,30.38,24.20,30.58,30.60,30.37,30.33,27.41,26.03,30.48,27.65,28.34
2030,29.25,29.67,30.45,30.39,24.50,30.46,30.40,30.38,30.32,27.75,26.37,30.45,27.95,28.56
2031,29.40,29.83,30.97,30.66,24.34,30.91,30.86,30.72,30.70,27.62,26.12,30.79,27.85,28.43
2032,28.96,29.37,30.39,30.26,24.26,30.40,30.29,30.05,30.10,27.44,26.17,30.32,27.52,28.38
2033,29.04,29.45,30.52,30.36,24.35,30.56,30.44,30.19,30.12,27.52,26.23,30.31,27.60,28.43
2034,29.17,29.59,30.76,30.49,24.26,30.74,30.74,30.47,30.49,27.56,26.13,30.57,27.57,28.45
2035,29.37,29.80,30.95,30.65,24.28,30.80,30.81,30.65,30.77,27.59,26.27,30.93,27.78,28.62
2036,29.36,29.82,30.84,30.59,24.49,30.81,30.75,30.54,30.54,27.76,26.46,30.66,27.91,28.64
2037,29.10,29.53,30.52,30.41,24.40,30.53,30.47,30.23,30.23,27.52,26.19,30.44,27.69,28.44
2038,29.34,29.72,31.07,30.61,24.53,31.01,31.11,30.68,30.83,27.65,26.31,30.86,27.73,28.53
2039,29.38,29.86,30.94,30.77,24.51,31.08,30.93,30.43,30.47,27.84,26.48,30.75,27.94,28.77
2040,29.39,29.80,30.93,30.75,24.55,30.92,30.84,30.51,30.59,27.91,26.46,30.78,27.92,28.73
2041,29.54,29.90,31.36,31.11,24.55,31.33,31.27,30.90,31.04,27.92,26.46,31.06,27.85,28.86
2042,29.37,29.79,30.87,30.61,24.45,30.85,30.83,30.42,30.55,27.76,26.43,30.65,28.07,28.67
2043,29.02,29.40,30.70,30.65,24.12,30.87,30.74,30.12,30.29,27.23,26.19,30.46,27.56,28.58
2044,29.29,29.79,30.91,30.63,24.29,30.88,30.93,30.64,30.66,27.63,26.17,30.77,27.60,28.53
2045,29.53,29.89,31.18,30.87,24.53,31.13,31.16,30.83,30.93,27.94,26.55,30.96,27.99,28.83
2046,29.40,29.70,31.03,30.78,24.48,31.04,30.99,30.64,30.70,27.71,26.44,30.77,27.97,28.70
2047,29.37,29.78,31.02,30.74,24.53,30.98,30.98,30.68,30.71,27.72,26.42,30.82,27.76,28.67
2048,29.21,29.53,31.14,30.78,24.29,31.19,31.21,30.54,30.79,27.71,26.27,30.62,27.56,28.68
2049,29.18,29.59,30.83,30.51,24.24,30.78,30.83,30.45,30.58,27.54,26.17,30.60,27.62,28.49
2050,29.18,29.48,30.74,30.40,24.23,30.65,30.63,30.52,30.52,27.39,26.05,30.62,27.72,28.28
2051,29.36,29.70,31.11,30.64,24.25,31.01,31.11,30.66,30.89,27.53,26.19,30.79,27.87,28.48
2052,29.43,29.90,31.04,30.86,24.59,31.04,30.96,30.58,30.66,27.80,26.60,30.81,27.90,28.90
2053,29.30,29.75,30.80,30.67,24.58,30.85,30.74,30.38,30.47,27.87,26.47,30.61,27.85,28.74
2054,29.21,29.57,30.98,30.59,24.43,30.96,31.01,30.57,30.77,27.67,26.31,30.65,27.57,28.54
2055,29.42,29.87,30.78,30.47,24.37,30.72,30.74,30.57,30.47,27.50,26.10,30.71,28.11,28.40
2056,29.36,29.78,30.82,30.55,24.41,30.73,30.72,30.38,30.47,27.69,26.26,30.61,28.10,28.56
2057,29.30,29.65,30.95,30.61,24.34,30.86,30.83,30.58,30.73,27.53,26.33,30.76,27.79,28.55
2058,29.55,30.02,31.04,30.81,24.57,30.97,30.86,30.74,30.79,27.90,26.56,30.92,28.05,28.80
2059,29.72,30.12,31.18,30.75,24.61,31.09,31.04,30.89,30.91,27.87,26.57,31.05,28.42,28.80
2060,29.17,29.61,30.47,30.34,24.60,30.47,30.41,30.23,30.20,27.80,26.49,30.48,27.76,28.65
2061,29.26,29.68,30.62,30.61,24.42,30.60,30.51,30.32,30.35,27.68,26.28,30.62,27.89,28.62
2062,29.19,29.54,30.85,30.62,24.31,30.86,30.90,30.31,30.47,27.53,26.27,30.57,27.78,28.56
2063,29.32,29.78,30.92,30.73,24.46,30.94,30.89,30.53,30.54,27.77,26.35,30.72,27.73,28.63
2064,29.41,29.84,30.74,30.50,24.38,30.60,30.62,30.60,30.56,27.65,26.31,30.75,28.04,28.55
2065,28.89,29.24,30.53,30.21,24.12,30.51,30.52,30.05,30.35,27.17,25.84,30.27,27.44,28.07
2066,28.90,29.34,30.36,30.30,24.12,30.54,30.51,30.01,30.02,27.36,26.07,30.13,27.50,28.29
2067,29.53,30.03,30.97,30.79,24.66,30.94,30.89,30.72,30.82,28.03,26.55,30.93,27.96,28.84
2068,29.24,29.63,30.96,30.68,24.51,30.95,30.93,30.47,30.64,27.73,26.40,30.70,27.62,28.65
2069,29.35,29.76,30.94,30.66,24.48,30.89,30.91,30.67,30.73,27.68,26.25,30.78,27.76,28.57
2070,29.36,29.79,31.02,30.66,24.36,30.97,31.06,30.66,30.80,27.62,26.28,30.76,27.82,28.57
2071,29.14,29.55,30.74,30.48,24.46,30.76,30.81,30.21,30.37,27.56,26.23,30.41,27.79,28.44
2072,28.95,29.27,30.70,30.55,24.25,30.72,30.64,30.15,30.43,27.42,26.20,30.36,27.39,28.49
2073,29.02,29.45,30.44,30.27,24.23,30.49,30.53,30.19,30.23,27.55,26.15,30.38,27.57,28.38
2074,29.20,29.54,30.84,30.56,24.37,30.79,30.75,30.50,30.58,27.58,26.28,30.63,27.62,28.55
2075,29.16,29.54,30.71,30.47,24.25,30.74,30.70,30.36,30.37,27.43,26.26,30.58,27.72,28.45
2076,29.35,29.80,30.86,30.83,24.53,30.86,30.85,30.44,30.52,27.86,26.67,30.69,27.86,29.02
2077,29.23,29.66,30.85,30.64,24.38,30.85,30.81,30.49,30.56,27.64,26.24,30.71,27.60,28.55
2078,29.19,29.70,30.67,30.36,24.19,30.61,30.72,30.40,30.39,27.49,26.17,30.55,27.70,28.41
2079,29.11,29.52,30.62,30.34,24.38,30.62,30.65,30.26,30.38,27.64,26.24,30.42,27.66,28.44
2080,29.29,29.68,30.94,30.70,24.13,31.00,31.00,30.56,30.70,27.37,26.15,30.63,27.77,28.57
2081,29.03,29.46,30.53,30.34,24.28,30.43,30.45,30.24,30.46,27.50,26.22,30.39,27.48,28.46
2082,29.06,29.39,30.70,30.35,24.37,30.58,30.59,30.32,30.51,27.60,26.26,30.45,27.49,28.48
2083,29.32,29.73,30.91,30.84,24.51,30.94,30.88,30.55,30.60,27.77,26.51,30.82,27.71,28.79
2084,29.24,29.66,31.01,30.70,24.36,31.03,31.05,30.41,30.70,27.58,26.22,30.60,27.74,28.59
2085,29.07,29.37,30.57,30.22,24.51,30.56,30.57,30.24,30.32,27.64,26.24,30.36,27.70,28.37
2086,29.13,29.48,30.64,30.54,24.68,30.70,30.67,30.25,30.32,27.78,26.51,30.49,27.66,28.65
2087,29.00,29.40,30.59,30.51,24.26,30.59,30.58,30.17,30.28,27.55,26.30,30.40,27.45,28.56
2088,29.29,29.70,30.81,30.54,24.44,30.75,30.80,30.42,30.47,27.61,26.27,30.57,27.93,28.57
2089,29.28,29.76,30.88,30.51,24.43,30.76,30.61,30.23,30.56,27.64,26.19,30.67,27.89,28.43
2090,29.22,29.65,30.78,30.52,24.27,30.76,30.79,30.43,30.55,27.56,26.16,30.60,27.72,28.47
2091,29.28,29.66,30.77,30.63,24.56,30.75,30.65,30.54,30.56,27.69,26.39,30.77,27.73,28.53
2092,28.75,29.07,30.40,30.17,24.24,30.43,30.41,29.92,30.15,27.31,26.07,29.99,27.32,28.20
2093,29.05,29.43,30.54,30.42,24.43,30.60,30.59,30.29,30.40,27.65,26.19,30.34,27.54,28.46
2094,29.06,29.40,30.88,30.46,24.12,30.78,30.84,30.46,30.63,27.38,26.06,30.62,27.33,28.40
2095,28.89,29.31,30.45,30.11,24.08,30.44,30.52,30.20,30.26,27.25,25.82,30.23,27.32,28.07
2096,28.99,29.38,30.37,30.31,24.27,30.37,30.28,30.01,30.03,27.30,26.01,30.32,27.72,28.26
2097,29.08,29.54,30.55,30.27,24.28,30.57,30.60,30.25,30.27,27.46,26.15,30.39,27.63,28.37
2098,28.73,29.07,30.37,30.22,24.13,30.47,30.47,29.92,30.04,27.34,26.15,30.04,27.21,28.36
2099,29.01,29.49,30.58,30.36,24.33,30.60,30.66,30.19,30.27,27.59,26.27,30.47,27.39,28.50
2100,29.24,29.67,30.97,30.66,24.23,30.92,30.91,30.50,30.71,27.49,26.21,30.69,27.60,28.62
