Variable:,tas
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
2015,26.62,27.04,27.04,27.04,27.04,27.04,27.04,27.04
2016,26.33,26.74,26.74,26.74,26.74,26.74,26.74,26.74
2017,26.48,26.94,26.94,26.94,26.94,26.94,26.94,26.94
2018,26.56,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2019,26.55,26.94,26.94,26.94,26.94,26.94,26.94,26.94
2020,26.94,27.34,27.34,27.34,27.34,27.34,27.34,27.34
2021,26.62,27.07,27.07,27.07,27.07,27.07,27.07,27.07
2022,26.68,27.10,27.10,27.10,27.10,27.10,27.10,27.10
2023,26.64,27.12,27.12,27.12,27.12,27.12,27.12,27.12
2024,26.76,27.17,27.17,27.17,27.17,27.17,27.17,27.17
2025,26.64,27.12,27.12,27.12,27.12,27.12,27.12,27.12
2026,26.78,27.27,27.27,27.27,27.27,27.27,27.27,27.27
2027,26.82,27.26,27.26,27.26,27.26,27.26,27.26,27.26
2028,26.71,27.15,27.15,27.15,27.15,27.15,27.15,27.15
2029,26.82,27.24,27.24,27.24,27.24,27.24,27.24,27.24
2030,26.59,27.05,27.05,27.05,27.05,27.05,27.05,27.05
2031,26.71,27.18,27.18,27.18,27.18,27.18,27.18,27.18
2032,26.74,27.18,27.18,27.18,27.18,27.18,27.18,27.18
2033,26.64,27.05,27.05,27.05,27.05,27.05,27.05,27.05
2034,26.80,27.22,27.22,27.22,27.22,27.22,27.22,27.22
2035,26.88,27.33,27.33,27.33,27.33,27.33,27.33,27.33
2036,26.75,27.23,27.23,27.23,27.23,27.23,27.23,27.23
2037,26.81,27.25,27.25,27.25,27.25,27.25,27.25,27.25
2038,26.80,27.22,27.22,27.22,27.22,27.22,27.22,27.22
2039,26.86,27.27,27.27,27.27,27.27,27.27,27.27,27.27
2040,26.92,27.34,27.34,27.34,27.34,27.34,27.34,27.34
2041,26.95,27.40,27.40,27.40,27.40,27.40,27.40,27.40
2042,26.85,27.21,27.21,27.21,27.21,27.21,27.21,27.21
2043,26.59,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2044,26.88,27.30,27.30,27.30,27.30,27.30,27.30,27.30
2045,26.90,27.33,27.33,27.33,27.33,27.33,27.33,27.33
2046,26.85,27.26,27.26,27.26,27.26,27.26,27.26,27.26
2047,27.07,27.51,27.51,27.51,27.51,27.51,27.51,27.51
2048,26.76,27.13,27.13,27.13,27.13,27.13,27.13,27.13
2049,26.83,27.26,27.26,27.26,27.26,27.26,27.26,27.26
2050,26.81,27.17,27.17,27.17,27.17,27.17,27.17,27.17
2051,26.69,27.17,27.17,27.17,27.17,27.17,27.17,27.17
2052,26.88,27.27,27.27,27.27,27.27,27.27,27.27,27.27
2053,26.91,27.30,27.30,27.30,27.30,27.30,27.30,27.30
2054,26.90,27.31,27.31,27.31,27.31,27.31,27.31,27.31
2055,26.74,27.19,27.19,27.19,27.19,27.19,27.19,27.19
2056,26.86,27.26,27.26,27.26,27.26,27.26,27.26,27.26
2057,27.03,27.43,27.43,27.43,27.43,27.43,27.43,27.43
2058,26.80,27.19,27.19,27.19,27.19,27.19,27.19,27.19
2059,26.88,27.25,27.25,27.25,27.25,27.25,27.25,27.25
2060,26.82,27.23,27.23,27.23,27.23,27.23,27.23,27.23
2061,26.71,27.11,27.11,27.11,27.11,27.11,27.11,27.11
