Variable:,tas
,Niger,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
2015,28.22,27.74,28.62,29.39,28.46,29.71,29.89,29.74,28.63
2016,27.90,27.41,28.25,29.21,28.22,29.46,29.67,29.55,28.31
2017,28.30,27.77,28.70,29.77,28.74,29.94,30.05,29.97,28.83
2018,28.12,27.60,28.47,29.56,28.52,29.88,29.89,29.91,28.56
2019,27.86,27.40,28.29,29.19,28.02,29.45,29.51,29.52,28.12
2020,28.82,28.32,29.19,30.10,29.10,30.36,30.60,30.47,29.24
2021,28.55,28.04,28.85,29.91,28.95,30.10,30.40,30.21,28.94
2022,28.26,27.70,28.50,29.91,28.77,30.10,30.28,30.21,28.67
2023,28.64,28.18,28.90,30.01,28.89,30.31,30.43,30.32,28.96
2024,28.65,28.24,29.04,29.62,28.61,29.96,30.24,30.13,28.91
2025,28.76,28.31,29.13,29.98,28.98,30.23,30.40,30.25,29.16
2026,28.79,28.31,29.14,29.88,29.13,30.17,30.53,30.32,29.24
2027,28.57,28.00,28.95,30.00,28.94,30.44,30.50,30.52,29.08
2028,28.43,27.89,28.78,29.92,28.90,30.15,30.27,30.31,28.95
2029,28.77,28.28,29.19,30.09,28.96,30.35,30.43,30.52,29.16
2030,28.89,28.44,29.25,30.10,29.13,30.41,30.53,30.50,29.19
2031,28.86,28.40,29.04,30.15,29.07,30.36,30.70,30.59,29.19
2032,28.37,27.88,28.65,29.64,28.69,29.94,30.15,30.06,28.78
2033,28.58,28.12,28.83,29.91,28.89,30.16,30.26,30.26,28.97
2034,28.76,28.26,29.16,30.05,29.01,30.26,30.48,30.39,29.20
2035,28.98,28.51,29.48,30.16,29.22,30.33,30.59,30.46,29.39
2036,28.58,28.16,28.83,29.95,28.71,30.16,30.23,30.27,28.82
2037,28.66,28.10,29.10,30.20,29.18,30.53,30.43,30.50,29.14
2038,28.88,28.40,29.28,30.01,29.15,30.22,30.67,30.32,29.36
2039,28.94,28.43,29.35,30.25,29.22,30.57,30.70,30.60,29.36
2040,28.92,28.46,29.20,30.24,29.27,30.51,30.62,30.62,29.31
2041,28.85,28.28,29.12,30.55,29.43,30.90,30.84,30.97,29.27
2042,28.64,28.10,28.97,29.99,29.15,30.35,30.48,30.35,29.27
2043,28.59,28.14,28.86,29.81,28.85,30.06,30.35,30.18,28.95
2044,28.97,28.49,29.32,30.33,29.25,30.60,30.65,30.59,29.45
2045,29.12,28.62,29.51,30.36,29.46,30.46,30.88,30.64,29.60
2046,28.80,28.36,29.12,29.97,28.98,30.16,30.51,30.36,29.14
2047,29.11,28.59,29.55,30.29,29.33,30.58,30.90,30.74,29.57
2048,29.07,28.51,29.50,30.35,29.65,30.73,30.93,30.84,29.65
