Variable:,tas
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2015,21.11,22.98,18.69,23.14,16.51,25.35,26.92,19.94,4.22
2016,21.15,23.06,18.44,23.19,16.28,25.38,27.11,19.87,4.26
2017,21.13,22.95,18.52,23.32,16.36,25.55,26.84,20.04,4.21
2018,21.18,23.06,18.44,23.10,16.30,25.41,27.21,19.89,4.28
2019,21.16,23.16,18.65,22.91,16.39,25.29,27.03,19.81,4.15
2020,21.49,23.40,18.71,23.11,16.54,25.70,27.47,19.92,4.63
2021,21.24,23.03,18.73,23.38,16.67,25.51,27.15,20.16,4.43
2022,21.22,23.03,18.75,23.55,16.57,25.55,27.06,20.20,4.25
2023,21.62,23.46,19.16,23.22,17.03,25.81,27.44,20.26,4.88
2024,21.59,23.52,19.10,23.30,16.94,25.71,27.44,20.12,4.88
2025,21.88,23.75,19.24,23.99,17.15,26.16,27.73,20.66,4.86
2026,21.71,23.53,18.99,23.61,16.91,26.04,27.55,20.50,4.88
2027,21.81,23.63,19.11,23.86,17.01,26.19,27.64,20.63,4.96
2028,21.40,23.20,18.71,23.41,16.59,25.68,27.44,20.14,4.61
2029,21.69,23.61,18.87,23.72,16.74,26.02,27.68,20.39,4.51
2030,21.93,23.74,19.41,23.89,17.22,26.23,27.81,20.75,5.09
2031,21.82,23.70,19.45,24.12,17.13,26.07,27.65,20.54,4.78
2032,21.64,23.46,19.14,23.59,16.96,25.94,27.47,20.39,4.72
2033,21.44,23.33,18.80,23.41,16.67,25.69,27.29,20.23,4.54
2034,22.09,23.87,19.59,24.23,17.44,26.39,27.85,20.98,5.30
2035,21.69,23.54,18.95,23.87,16.81,26.05,27.61,20.50,4.66
2036,21.90,23.78,19.43,23.97,17.22,26.21,27.70,20.69,4.83
2037,21.97,23.79,19.33,24.15,17.19,26.37,27.71,20.87,4.99
2038,22.07,23.93,19.49,24.07,17.26,26.35,28.07,20.69,5.01
2039,22.05,23.78,19.78,24.25,17.43,26.58,27.74,20.96,5.01
2040,21.70,23.50,19.01,23.70,17.01,25.94,27.66,20.49,4.98
2041,22.35,24.11,19.71,24.56,17.69,26.74,28.14,21.28,5.40
2042,21.76,23.51,19.27,23.97,17.21,25.96,27.48,20.87,5.35
2043,21.96,23.82,19.32,23.61,17.12,26.36,27.89,20.45,4.75
2044,21.62,23.46,19.00,23.49,16.80,25.92,27.56,20.26,4.68
2045,21.97,23.74,19.68,24.26,17.26,26.43,27.66,20.86,4.86
2046,22.22,24.05,19.72,24.34,17.52,26.59,27.96,21.03,5.17
2047,22.05,23.80,19.43,24.03,17.30,26.37,27.82,20.92,5.49
2048,22.06,23.77,19.67,24.12,17.48,26.53,27.83,20.80,5.22
2049,21.98,23.77,19.50,24.15,17.33,26.37,27.76,20.80,5.02
2050,21.74,23.54,19.13,23.85,16.96,26.17,27.57,20.56,4.87
2051,22.10,23.93,19.65,24.09,17.26,26.37,27.96,20.87,5.26
2052,21.90,23.71,19.45,23.90,17.28,26.27,27.65,20.73,5.07
2053,22.05,23.87,19.43,24.37,17.38,26.36,27.90,21.09,5.06
2054,21.94,23.85,19.06,23.92,17.14,26.08,27.81,20.71,5.19
2055,22.40,24.12,20.11,24.89,17.92,26.80,28.02,21.52,5.52
2056,22.03,23.74,19.72,24.54,17.60,26.44,27.57,21.20,5.18
2057,22.05,23.87,19.53,24.19,17.31,26.40,27.85,20.87,5.07
2058,21.66,23.54,18.87,23.66,16.85,25.95,27.55,20.46,4.78
2059,22.07,23.89,19.60,24.01,17.15,26.51,27.94,20.73,4.86
2060,21.84,23.69,19.30,23.93,17.04,26.14,27.54,20.71,4.99
2061,21.86,23.68,19.28,24.00,17.08,26.33,27.64,20.66,4.73
2062,22.16,24.01,19.48,24.27,17.45,26.44,27.84,20.93,5.37
2063,22.18,23.95,19.73,24.53,17.67,26.54,27.92,21.23,5.30
2064,22.27,24.08,19.92,24.36,17.65,26.60,27.89,21.16,5.38
2065,21.58,23.28,19.05,23.67,16.96,25.95,27.48,20.43,4.73
2066,21.49,23.39,18.96,23.49,16.79,25.75,27.21,20.25,4.67
2067,22.20,24.07,19.90,24.34,17.76,26.44,27.77,21.02,5.33
2068,21.73,23.53,19.22,23.88,17.00,26.07,27.74,20.61,4.56
2069,22.12,23.87,19.84,24.26,17.57,26.61,27.75,20.96,4.99
2070,22.02,24.00,19.33,24.12,17.19,26.26,27.90,20.72,4.89
2071,21.91,23.75,19.53,24.19,17.19,26.20,27.68,20.77,5.05
2072,21.81,23.57,19.53,24.27,17.32,26.15,27.49,20.89,5.01
2073,21.95,23.73,19.50,24.47,17.36,26.29,27.59,21.13,5.10
2074,21.77,23.58,19.11,24.24,17.06,26.15,27.58,20.87,4.76
2075,21.63,23.50,19.17,23.68,17.05,25.95,27.38,20.50,4.59
2076,21.88,23.66,19.09,23.96,17.01,26.32,27.91,20.60,4.82
2077,22.19,23.94,19.80,24.70,17.62,26.60,27.82,21.31,5.23
2078,21.63,23.30,19.09,23.81,17.10,26.11,27.52,20.62,4.72
2079,21.81,23.56,19.38,24.14,17.28,26.19,27.63,20.81,4.80
2080,21.50,23.21,18.67,23.81,16.76,25.89,27.48,20.55,4.66
2081,21.74,23.52,18.94,23.72,16.94,26.13,27.62,20.46,4.81
2082,21.89,23.60,19.48,24.08,17.49,26.18,27.61,20.89,5.29
2083,21.87,23.61,19.43,24.24,17.29,26.43,27.53,20.83,4.88
2084,21.78,23.66,19.38,23.98,17.16,26.04,27.53,20.68,4.77
2085,21.74,23.57,19.25,23.93,17.13,26.09,27.47,20.57,4.84
2086,21.68,23.51,19.12,23.81,17.05,25.97,27.58,20.49,4.72
2087,21.81,23.73,19.22,23.82,17.00,26.18,27.64,20.52,4.63
2088,21.88,23.65,19.51,24.02,17.25,26.20,27.71,20.73,5.06
2089,21.62,23.41,19.34,23.95,17.21,25.94,27.20,20.72,4.93
2090,21.41,23.29,18.82,23.28,16.71,25.78,27.17,20.13,4.35
2091,21.72,23.64,18.99,23.63,16.85,26.05,27.49,20.43,4.63
2092,21.88,23.68,19.70,24.32,17.51,26.12,27.49,21.04,5.17
2093,22.04,23.79,19.59,24.28,17.48,26.42,27.78,21.00,5.16
2094,21.95,23.83,19.49,23.98,17.18,26.34,27.67,20.56,4.87
2095,21.88,23.72,19.35,23.89,17.15,26.18,27.80,20.55,4.83
2096,21.94,23.75,19.44,24.08,17.29,26.28,27.69,20.83,4.98
2097,21.56,23.43,18.96,23.57,16.87,25.86,27.32,20.38,4.64
2098,21.28,23.13,18.58,23.26,16.43,25.54,27.34,20.01,4.30
2099,21.84,23.72,19.36,23.95,17.11,26.26,27.60,20.60,4.67
2100,21.91,23.76,19.33,24.19,17.03,26.34,27.64,20.77,4.82
