Variable:,tas
,"Papua New Guinea",Central,Chimbu,"East New Britain","East Sepik","Eastern Highlands",Enga,Gulf,Madang,Manus,"Milne Bay",Morobe,"National Capital District","New Ireland",Northern,"Northern Solomons","Southern Highlands","West New Britain","West Sepik",Western,"Western Highlands"
2015,25.42,26.49,24.69,26.26,24.29,25.21,22.54,26.94,23.35,27.33,26.25,24.18,26.67,26.48,25.52,27.03,26.15,26.60,25.65,27.12,22.53
2016,25.38,26.42,24.55,26.23,24.28,25.05,22.47,26.87,23.29,27.44,26.14,24.04,26.59,26.53,25.44,27.04,26.09,26.58,25.64,27.14,22.40
2017,25.42,26.40,24.62,26.11,24.33,25.14,22.54,26.96,23.36,27.35,26.10,24.12,26.57,26.42,25.43,26.98,26.21,26.51,25.70,27.26,22.47
2018,25.53,26.73,24.78,26.31,24.39,25.27,22.65,27.14,23.44,27.36,26.38,24.28,26.90,26.49,25.73,27.09,26.26,26.67,25.78,27.31,22.61
2019,25.47,26.40,24.66,26.35,24.35,25.18,22.54,26.96,23.40,27.52,26.13,24.21,26.57,26.61,25.47,27.18,26.13,26.72,25.71,27.18,22.50
2020,25.51,26.58,24.72,26.38,24.47,25.22,22.58,27.01,23.42,27.43,26.27,24.23,26.79,26.61,25.61,27.20,26.17,26.74,25.85,27.19,22.53
2021,25.55,26.59,24.74,26.36,24.47,25.25,22.67,27.01,23.52,27.47,26.25,24.24,26.76,26.59,25.61,27.16,26.18,26.70,25.87,27.32,22.60
2022,25.50,26.51,24.68,26.33,24.46,25.14,22.63,26.94,23.48,27.42,26.20,24.18,26.69,26.59,25.54,27.17,26.18,26.68,25.82,27.20,22.56
2023,25.57,26.54,24.81,26.37,24.52,25.29,22.75,27.01,23.58,27.50,26.26,24.27,26.73,26.66,25.57,27.22,26.32,26.70,25.87,27.33,22.69
2024,25.58,26.57,24.69,26.47,24.48,25.19,22.64,27.07,23.49,27.64,26.31,24.26,26.74,26.74,25.61,27.35,26.26,26.82,25.87,27.38,22.57
2025,25.64,26.63,24.82,26.52,24.53,25.33,22.70,27.09,23.58,27.64,26.39,24.34,26.82,26.76,25.69,27.28,26.31,26.85,25.90,27.41,22.67
2026,25.69,26.69,24.89,26.48,24.61,25.40,22.79,27.17,23.65,27.57,26.45,24.43,26.86,26.69,25.73,27.31,26.38,26.87,25.97,27.44,22.75
2027,25.61,26.77,24.80,26.44,24.47,25.31,22.64,27.14,23.48,27.59,26.48,24.30,27.01,26.70,25.79,27.27,26.28,26.79,25.91,27.38,22.62
2028,25.66,26.76,24.87,26.46,24.53,25.42,22.72,27.18,23.62,27.59,26.48,24.42,26.94,26.72,25.80,27.30,26.36,26.83,25.89,27.44,22.70
2029,25.73,26.74,24.98,26.54,24.60,25.48,22.83,27.24,23.71,27.70,26.50,24.44,26.91,26.84,25.77,27.32,26.46,26.87,25.96,27.51,22.81
2030,25.74,26.74,24.95,26.57,24.66,25.42,22.84,27.22,23.68,27.72,26.45,24.42,26.93,26.83,25.78,27.38,26.44,26.94,26.02,27.50,22.80
2031,25.81,26.78,25.00,26.62,24.74,25.46,22.97,27.25,23.77,27.69,26.49,24.48,26.95,26.85,25.79,27.42,26.56,26.96,26.12,27.64,22.90
2032,25.63,26.61,24.76,26.51,24.53,25.19,22.71,27.10,23.49,27.60,26.36,24.27,26.76,26.78,25.65,27.27,26.40,26.91,25.96,27.47,22.63
2033,25.72,26.73,24.90,26.56,24.64,25.42,22.78,27.20,23.65,27.66,26.46,24.44,26.90,26.80,25.76,27.34,26.39,26.93,26.02,27.45,22.74
2034,25.78,26.79,24.99,26.63,24.69,25.51,22.87,27.25,23.72,27.86,26.44,24.53,26.97,26.94,25.83,27.48,26.47,26.93,26.05,27.52,22.82
2035,25.84,26.90,25.04,26.62,24.71,25.54,22.95,27.40,23.76,27.67,26.65,24.56,27.09,26.77,25.94,27.40,26.57,27.01,26.09,27.66,22.88
2036,25.83,27.00,25.05,26.62,24.70,25.56,22.90,27.42,23.73,27.64,26.62,24.61,27.17,26.78,26.04,27.41,26.56,26.98,26.04,27.66,22.86
2037,25.79,26.77,24.88,26.57,24.74,25.37,22.90,27.19,23.74,27.70,26.54,24.47,26.92,26.86,25.87,27.45,26.48,26.94,26.12,27.55,22.80
2038,25.84,26.91,25.07,26.58,24.76,25.57,22.93,27.38,23.74,27.74,26.65,24.53,27.07,26.87,25.94,27.42,26.56,26.89,26.12,27.66,22.90
2039,25.80,26.64,24.99,26.67,24.73,25.51,22.95,27.20,23.76,27.76,26.35,24.49,26.79,26.88,25.74,27.41,26.54,26.95,26.14,27.56,22.85
2040,25.77,26.79,24.99,26.62,24.68,25.48,22.89,27.24,23.73,27.71,26.51,24.47,26.99,26.85,25.81,27.46,26.47,26.96,26.04,27.52,22.84
2041,25.91,26.95,25.11,26.72,24.79,25.65,22.93,27.49,23.83,27.74,26.63,24.64,27.10,26.92,26.01,27.44,26.58,27.08,26.18,27.71,22.91
