Variable:,tas
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
2015,6.81,6.95,12.05,10.48,4.36,11.42,9.95,11.07,7.41,12.04,9.94,3.01
2016,6.81,6.94,12.11,10.43,4.43,11.52,9.97,11.22,7.36,12.22,10.00,2.98
2017,6.69,6.81,11.74,10.20,4.43,11.13,9.73,10.85,7.17,11.82,9.68,3.04
2018,6.69,6.87,11.96,10.33,4.24,11.31,9.90,11.02,7.18,12.03,9.79,2.95
2019,6.75,6.83,11.91,10.18,4.54,11.27,9.82,10.97,7.23,12.01,9.75,3.12
2020,6.72,6.77,11.91,10.22,4.52,11.21,9.66,10.88,7.24,11.99,9.67,3.12
2021,6.89,7.13,12.10,10.45,4.49,11.46,9.94,11.10,7.39,12.02,10.01,3.15
2022,7.08,7.36,12.16,10.60,4.65,11.49,10.19,11.18,7.54,12.07,10.07,3.44
2023,6.65,6.77,11.97,10.28,4.25,11.33,9.84,11.03,7.18,12.04,9.83,2.91
2024,7.26,7.44,12.32,10.69,5.02,11.66,10.33,11.35,7.75,12.33,10.22,3.60
2025,7.59,7.76,12.76,11.12,5.22,12.15,10.72,11.86,8.05,12.78,10.72,3.95
2026,7.36,7.43,12.61,10.97,4.99,11.97,10.52,11.66,7.92,12.69,10.45,3.64
2027,7.08,7.25,12.35,10.65,4.76,11.65,10.28,11.34,7.58,12.41,10.12,3.36
2028,7.16,7.28,12.33,10.71,4.85,11.72,10.32,11.43,7.68,12.39,10.27,3.43
2029,7.32,7.57,12.40,10.84,4.91,11.79,10.47,11.50,7.82,12.39,10.40,3.62
2030,7.35,7.53,12.57,10.96,4.92,11.91,10.50,11.62,7.90,12.63,10.43,3.64
2031,7.53,7.70,12.79,11.19,5.13,12.14,10.72,11.81,7.99,12.78,10.60,3.80
2032,7.53,7.66,12.71,11.12,5.23,12.06,10.61,11.74,8.04,12.77,10.52,3.86
2033,7.66,7.75,12.87,11.26,5.38,12.25,10.75,11.91,8.14,12.90,10.69,3.97
2034,7.52,7.72,12.70,11.11,5.09,12.09,10.69,11.79,8.08,12.76,10.63,3.79
2035,7.93,8.00,13.09,11.45,5.69,12.50,11.01,12.20,8.43,13.22,10.98,4.27
2036,7.61,7.76,12.87,11.15,5.19,12.26,10.82,11.96,8.16,12.93,10.76,3.92
2037,7.74,7.96,12.99,11.29,5.26,12.35,10.96,12.07,8.29,13.06,10.90,4.05
2038,7.83,8.04,13.02,11.46,5.39,12.41,11.00,12.08,8.34,13.01,10.96,4.10
2039,7.82,8.06,12.84,11.30,5.46,12.20,10.94,11.96,8.39,12.89,10.87,4.19
2040,7.73,7.84,12.98,11.38,5.35,12.38,10.90,12.07,8.28,13.07,10.86,4.03
2041,7.92,8.11,13.32,11.61,5.44,12.71,11.20,12.38,8.35,13.39,11.13,4.11
2042,7.57,7.67,12.66,11.13,5.28,12.06,10.67,11.75,8.11,12.77,10.58,3.87
2043,7.82,8.02,13.10,11.40,5.39,12.48,11.12,12.20,8.30,13.19,10.99,4.02
2044,7.57,7.64,12.75,11.14,5.28,12.09,10.77,11.85,8.06,12.78,10.71,3.81
2045,7.64,7.87,13.11,11.28,5.16,12.49,11.06,12.20,8.03,13.22,10.92,3.69
2046,7.71,7.85,12.87,11.34,5.28,12.25,10.78,11.96,8.31,12.90,10.84,4.03
2047,7.42,7.55,12.55,10.88,5.15,11.92,10.63,11.67,7.88,12.68,10.48,3.75
2048,7.66,7.80,12.78,11.28,5.32,12.16,10.82,11.89,8.16,12.86,10.73,3.89
2049,7.93,8.09,12.90,11.26,5.68,12.29,10.96,12.04,8.42,13.00,10.89,4.38
2050,7.78,8.00,12.97,11.22,5.42,12.35,11.02,12.07,8.28,13.09,10.87,4.06
2051,7.85,8.00,13.11,11.38,5.40,12.43,10.94,12.17,8.41,13.27,10.96,4.22
2052,8.01,8.15,13.06,11.55,5.69,12.50,11.08,12.19,8.54,13.11,11.05,4.33
2053,7.49,7.58,12.74,11.08,5.17,12.12,10.81,11.89,7.98,12.96,10.56,3.79
2054,7.71,7.81,13.02,11.50,5.25,12.40,10.84,12.07,8.29,13.08,10.88,3.91
2055,7.93,8.07,13.16,11.50,5.56,12.52,11.13,12.24,8.44,13.26,11.03,4.24
2056,7.47,7.61,12.78,11.15,5.03,12.18,10.77,11.91,8.00,12.86,10.71,3.68
2057,7.94,8.07,13.20,11.53,5.60,12.53,11.07,12.20,8.47,13.22,11.00,4.27
2058,7.80,7.96,13.06,11.40,5.42,12.41,10.97,12.11,8.34,13.11,10.92,4.10
2059,7.69,7.74,12.96,11.28,5.39,12.33,10.88,12.03,8.19,13.10,10.76,3.96
2060,7.49,7.66,12.74,11.01,5.09,12.09,10.68,11.80,8.03,12.88,10.57,3.75
2061,7.68,7.81,12.85,11.26,5.30,12.23,10.80,11.94,8.21,12.97,10.74,4.06
2062,7.77,7.97,12.78,11.32,5.29,12.19,10.82,11.91,8.46,12.80,10.85,4.08
2063,7.60,7.78,12.79,11.15,5.23,12.16,10.78,11.88,8.08,12.88,10.67,3.92
2064,7.48,7.60,12.82,11.06,5.14,12.19,10.77,11.89,7.91,12.95,10.65,3.71
2065,7.59,7.78,12.79,11.05,5.24,12.17,10.73,11.87,8.06,12.90,10.65,3.92
2066,7.48,7.69,12.80,11.08,5.05,12.19,10.70,11.86,7.94,12.84,10.66,3.61
2067,7.58,7.72,12.86,11.28,5.19,12.23,10.74,11.91,8.13,12.93,10.71,3.77
2068,7.84,8.04,13.03,11.47,5.38,12.40,11.09,12.15,8.43,13.11,11.01,4.05
2069,7.48,7.53,12.52,10.99,5.24,11.88,10.49,11.58,8.11,12.56,10.44,3.89
2070,7.65,7.74,12.80,11.34,5.32,12.17,10.69,11.83,8.23,12.77,10.68,3.92
2071,7.37,7.34,12.74,11.13,5.12,12.09,10.49,11.75,7.86,12.81,10.48,3.55
2072,7.42,7.57,12.62,10.97,4.99,11.99,10.59,11.72,7.98,12.70,10.56,3.65
2073,7.31,7.27,12.77,10.98,5.06,12.11,10.49,11.79,7.74,12.93,10.43,3.64
