Variable:,tas
,"West Bank and Gaza","Deir al Balah",Gaza,Jabalya,"Khan Yunis",Rafah,"Al Khalil (Hebron)","Al Quds (Jerusalem)","Ariha (Jericho)",Bethlehem,Jenin,Nablus,Qalqiliya,Ramallah,Salfit,Tubas,Tulkarm,"Administrative unit not available"
2015,20.53,21.37,21.37,21.37,21.37,21.37,21.33,21.32,20.94,21.32,20.46,20.46,20.66,21.08,20.49,20.46,20.46,20.46
2016,20.26,21.01,21.01,21.01,21.01,21.01,20.98,20.97,20.63,20.97,20.19,20.19,20.39,20.75,20.22,20.19,20.19,20.19
2017,20.53,21.39,21.39,21.39,21.39,21.39,21.30,21.28,20.92,21.28,20.46,20.46,20.66,21.05,20.49,20.46,20.46,20.46
2018,20.50,21.43,21.43,21.43,21.43,21.43,21.34,21.32,20.92,21.32,20.41,20.41,20.61,21.06,20.44,20.41,20.41,20.41
2019,20.30,21.27,21.27,21.27,21.27,21.27,21.13,21.10,20.71,21.10,20.22,20.22,20.44,20.85,20.25,20.22,20.22,20.22
2020,20.50,21.46,21.46,21.46,21.46,21.46,21.40,21.38,20.95,21.38,20.40,20.40,20.60,21.10,20.43,20.40,20.40,20.40
2021,20.68,21.53,21.53,21.53,21.53,21.53,21.65,21.68,21.19,21.68,20.57,20.57,20.75,21.36,20.59,20.57,20.57,20.57
2022,20.70,21.44,21.44,21.44,21.44,21.44,21.57,21.60,21.16,21.60,20.60,20.60,20.77,21.31,20.62,20.60,20.60,20.60
2023,20.82,21.79,21.79,21.79,21.79,21.79,21.71,21.69,21.26,21.69,20.72,20.72,20.93,21.41,20.75,20.72,20.72,20.72
2024,20.72,21.57,21.57,21.57,21.57,21.57,21.54,21.53,21.13,21.53,20.63,20.63,20.82,21.27,20.66,20.63,20.63,20.63
2025,20.91,21.67,21.67,21.67,21.67,21.67,21.70,21.71,21.32,21.71,20.83,20.83,21.02,21.46,20.86,20.83,20.83,20.83
2026,20.93,21.89,21.89,21.89,21.89,21.89,21.78,21.75,21.35,21.75,20.84,20.84,21.04,21.49,20.87,20.84,20.84,20.84
2027,20.96,21.91,21.91,21.91,21.91,21.91,21.85,21.83,21.41,21.83,20.88,20.88,21.07,21.56,20.90,20.88,20.88,20.88
2028,20.50,21.49,21.49,21.49,21.49,21.49,21.35,21.32,20.92,21.32,20.41,20.41,20.63,21.06,20.44,20.41,20.41,20.41
2029,20.96,21.92,21.92,21.92,21.92,21.92,21.85,21.83,21.41,21.83,20.87,20.87,21.06,21.56,20.89,20.87,20.87,20.87
2030,21.00,21.80,21.80,21.80,21.80,21.80,21.79,21.79,21.40,21.79,20.91,20.91,21.09,21.54,20.93,20.91,20.91,20.91
2031,21.04,21.98,21.98,21.98,21.98,21.98,21.90,21.88,21.48,21.88,20.96,20.96,21.16,21.62,20.99,20.96,20.96,20.96
2032,20.91,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.34,21.74,20.83,20.83,21.02,21.48,20.86,20.83,20.83,20.83
2033,20.73,21.60,21.60,21.60,21.60,21.60,21.55,21.54,21.14,21.54,20.64,20.64,20.85,21.28,20.67,20.64,20.64,20.64
2034,20.93,21.76,21.76,21.76,21.76,21.76,21.73,21.72,21.34,21.72,20.85,20.85,21.05,21.47,20.88,20.85,20.85,20.85
2035,21.25,21.90,21.90,21.90,21.90,21.90,21.96,21.98,21.63,21.98,21.18,21.18,21.36,21.75,21.20,21.18,21.18,21.18
2036,20.95,21.86,21.86,21.86,21.86,21.86,21.84,21.83,21.39,21.83,20.84,20.84,21.05,21.55,20.87,20.84,20.84,20.84
2037,21.02,21.96,21.96,21.96,21.96,21.96,21.92,21.91,21.48,21.91,20.93,20.93,21.14,21.63,20.96,20.93,20.93,20.93
2038,21.08,21.95,21.95,21.95,21.95,21.95,21.91,21.90,21.50,21.90,20.98,20.98,21.18,21.64,21.01,20.98,20.98,20.98
2039,20.87,21.86,21.86,21.86,21.86,21.86,21.81,21.80,21.35,21.80,20.77,20.77,20.98,21.51,20.80,20.77,20.77,20.77
2040,20.95,21.84,21.84,21.84,21.84,21.84,21.77,21.75,21.36,21.75,20.87,20.87,21.08,21.50,20.90,20.87,20.87,20.87
2041,20.82,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.19,21.54,20.75,20.75,20.94,21.32,20.77,20.75,20.75,20.75
2042,20.80,21.62,21.62,21.62,21.62,21.62,21.66,21.67,21.25,21.67,20.71,20.71,20.90,21.40,20.73,20.71,20.71,20.71
2043,20.79,21.69,21.69,21.69,21.69,21.69,21.64,21.63,21.22,21.63,20.70,20.70,20.90,21.37,20.73,20.70,20.70,20.70
2044,20.99,21.86,21.86,21.86,21.86,21.86,21.88,21.88,21.45,21.88,20.90,20.90,21.09,21.60,20.92,20.90,20.90,20.90
2045,21.09,21.97,21.97,21.97,21.97,21.97,21.99,22.00,21.56,22.00,20.99,20.99,21.17,21.71,21.01,20.99,20.99,20.99
2046,20.91,21.81,21.81,21.81,21.81,21.81,21.73,21.71,21.32,21.71,20.82,20.82,21.03,21.46,20.85,20.82,20.82,20.82
2047,21.20,22.15,22.15,22.15,22.15,22.15,22.17,22.17,21.70,22.17,21.10,21.10,21.28,21.86,21.12,21.10,21.10,21.10
2048,21.02,21.87,21.87,21.87,21.87,21.87,21.89,21.90,21.47,21.90,20.92,20.92,21.11,21.62,20.94,20.92,20.92,20.92
2049,20.97,21.88,21.88,21.88,21.88,21.88,21.82,21.81,21.41,21.81,20.89,20.89,21.09,21.55,20.92,20.89,20.89,20.89
2050,21.07,21.83,21.83,21.83,21.83,21.83,21.90,21.92,21.51,21.92,20.98,20.98,21.16,21.65,21.00,20.98,20.98,20.98
2051,21.02,21.92,21.92,21.92,21.92,21.92,21.94,21.95,21.49,21.95,20.91,20.91,21.11,21.65,20.94,20.91,20.91,20.91
2052,20.68,21.62,21.62,21.62,21.62,21.62,21.56,21.55,21.13,21.55,20.59,20.59,20.80,21.28,20.62,20.59,20.59,20.59
2053,21.16,22.07,22.07,22.07,22.07,22.07,22.04,22.03,21.61,22.03,21.07,21.07,21.26,21.76,21.09,21.07,21.07,21.07
2054,20.94,21.80,21.80,21.80,21.80,21.80,21.86,21.87,21.41,21.87,20.83,20.83,21.02,21.57,20.86,20.83,20.83,20.83
2055,21.05,21.90,21.90,21.90,21.90,21.90,21.88,21.88,21.48,21.88,20.97,20.97,21.16,21.62,21.00,20.97,20.97,20.97
