Variable:,tas
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
2015,27.82,27.99,27.99,27.99,27.99,27.96,27.99,27.99,27.99,27.99
2016,27.76,28.02,28.02,28.02,28.02,27.97,28.02,28.02,28.02,28.02
2017,28.13,28.32,28.32,28.32,28.32,28.28,28.32,28.32,28.32,28.32
2018,28.03,28.34,28.34,28.34,28.34,28.28,28.34,28.34,28.34,28.34
2019,28.00,28.22,28.22,28.22,28.22,28.18,28.22,28.22,28.22,28.22
2020,28.16,28.28,28.28,28.28,28.28,28.26,28.28,28.28,28.28,28.28
2021,28.16,28.30,28.30,28.30,28.30,28.27,28.30,28.30,28.30,28.30
2022,28.02,28.10,28.10,28.10,28.10,28.09,28.10,28.10,28.10,28.10
2023,28.17,28.33,28.33,28.33,28.33,28.30,28.33,28.33,28.33,28.33
2024,28.06,28.26,28.26,28.26,28.26,28.22,28.26,28.26,28.26,28.26
2025,28.20,28.37,28.37,28.37,28.37,28.34,28.37,28.37,28.37,28.37
2026,28.20,28.39,28.39,28.39,28.39,28.35,28.39,28.39,28.39,28.39
2027,28.10,28.22,28.22,28.22,28.22,28.20,28.22,28.22,28.22,28.22
2028,28.37,28.52,28.52,28.52,28.52,28.49,28.52,28.52,28.52,28.52
2029,28.24,28.31,28.31,28.31,28.31,28.30,28.31,28.31,28.31,28.31
2030,28.14,28.35,28.35,28.35,28.35,28.31,28.35,28.35,28.35,28.35
2031,28.37,28.59,28.59,28.59,28.59,28.55,28.59,28.59,28.59,28.59
2032,28.21,28.32,28.32,28.32,28.32,28.30,28.32,28.32,28.32,28.32
2033,28.36,28.50,28.50,28.50,28.50,28.47,28.50,28.50,28.50,28.50
2034,28.25,28.43,28.43,28.43,28.43,28.40,28.43,28.43,28.43,28.43
2035,28.39,28.47,28.47,28.47,28.47,28.46,28.47,28.47,28.47,28.47
2036,28.47,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45
2037,28.34,28.49,28.49,28.49,28.49,28.46,28.49,28.49,28.49,28.49
2038,28.53,28.69,28.69,28.69,28.69,28.66,28.69,28.69,28.69,28.69
2039,28.42,28.63,28.63,28.63,28.63,28.59,28.63,28.63,28.63,28.63
2040,28.54,28.74,28.74,28.74,28.74,28.70,28.74,28.74,28.74,28.74
2041,28.61,28.81,28.81,28.81,28.81,28.77,28.81,28.81,28.81,28.81
2042,28.23,28.40,28.40,28.40,28.40,28.37,28.40,28.40,28.40,28.40
2043,28.17,28.41,28.41,28.41,28.41,28.37,28.41,28.41,28.41,28.41
2044,28.47,28.62,28.62,28.62,28.62,28.59,28.62,28.62,28.62,28.62
2045,28.59,28.75,28.75,28.75,28.75,28.72,28.75,28.75,28.75,28.75
2046,28.46,28.65,28.65,28.65,28.65,28.61,28.65,28.65,28.65,28.65
