Variable:,tas
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
2015,20.82,18.53,19.38,17.99,18.47
2016,20.49,18.29,19.15,17.76,18.34
2017,20.70,18.49,19.27,17.91,18.40
2018,20.84,18.65,19.50,18.12,18.64
2019,20.74,18.53,19.34,17.98,18.48
2020,21.06,18.84,19.67,18.32,18.85
2021,20.78,18.54,19.35,17.97,18.51
2022,20.83,18.54,19.35,17.95,18.46
2023,20.95,18.78,19.59,18.26,18.76
2024,20.95,18.74,19.54,18.19,18.69
2025,20.86,18.68,19.50,18.15,18.67
2026,21.08,18.82,19.66,18.33,18.85
2027,20.82,18.61,19.44,18.08,18.61
2028,20.93,18.72,19.54,18.18,18.64
2029,21.17,18.95,19.76,18.35,18.94
2030,21.24,19.04,19.83,18.49,18.98
2031,21.25,19.00,19.81,18.44,18.93
2032,20.94,18.72,19.54,18.18,18.70
2033,21.08,18.91,19.73,18.40,18.84
2034,20.91,18.73,19.52,18.17,18.75
2035,21.29,19.13,19.94,18.60,19.12
2036,20.93,18.71,19.54,18.19,18.72
2037,21.10,18.84,19.68,18.28,18.76
2038,21.23,19.00,19.84,18.53,19.01
2039,21.36,19.15,19.98,18.62,19.12
2040,21.25,19.06,19.84,18.49,18.97
2041,21.33,19.13,19.89,18.59,19.01
2042,21.17,18.94,19.76,18.42,18.95
2043,21.17,18.97,19.79,18.46,18.97
2044,21.10,18.92,19.76,18.44,18.96
2045,21.22,19.02,19.82,18.51,19.03
2046,21.11,18.88,19.68,18.34,18.83
2047,21.27,19.09,19.86,18.55,19.03
2048,20.99,18.83,19.67,18.32,18.88
2049,21.06,18.87,19.72,18.36,18.86
2050,21.40,19.19,19.98,18.63,19.15
2051,21.07,18.89,19.70,18.39,18.90
2052,21.09,18.99,19.84,18.60,19.01
2053,21.13,18.96,19.76,18.46,18.98
2054,21.36,19.18,19.98,18.65,19.10
2055,21.36,19.08,19.92,18.56,19.08
2056,21.11,19.02,19.83,18.50,18.99
2057,21.13,18.84,19.65,18.28,18.76
2058,21.25,19.05,19.86,18.53,18.98
2059,21.37,19.16,20.02,18.65,19.18
2060,21.22,18.99,19.77,18.37,18.83
2061,21.04,18.82,19.65,18.30,18.79
2062,21.34,19.17,19.89,18.56,18.99
2063,21.12,18.88,19.69,18.34,18.80
2064,21.14,18.95,19.78,18.42,19.00
2065,21.00,18.94,19.77,18.45,18.98
2066,20.99,18.81,19.62,18.26,18.77
2067,20.94,18.73,19.58,18.22,18.81
2068,21.14,18.99,19.81,18.51,19.03
2069,21.02,18.82,19.62,18.29,18.78
2070,20.78,18.68,19.50,18.19,18.73
2071,21.07,18.92,19.69,18.34,18.84
2072,21.02,18.85,19.66,18.34,18.80
2073,21.12,18.96,19.81,18.45,19.08
2074,21.26,19.10,19.90,18.51,18.99
2075,21.20,18.97,19.74,18.39,18.90
2076,21.04,18.86,19.69,18.34,18.88
2077,21.27,19.13,19.98,18.66,19.15
2078,21.07,18.86,19.69,18.34,18.84
2079,20.90,18.72,19.53,18.20,18.69
2080,21.43,19.20,19.96,18.56,18.98
2081,21.04,18.83,19.61,18.26,18.73
2082,20.98,18.80,19.60,18.26,18.78
2083,21.13,18.94,19.72,18.38,18.95
2084,21.04,18.86,19.66,18.34,18.82
2085,20.86,18.67,19.46,18.09,18.66
2086,21.26,19.05,19.85,18.49,19.01
2087,21.38,19.13,19.93,18.63,19.08
2088,20.97,18.84,19.60,18.28,18.69
2089,20.59,18.34,19.22,17.84,18.41
2090,21.14,18.92,19.71,18.36,18.94
2091,21.26,19.09,19.90,18.56,19.02
2092,21.14,18.93,19.73,18.36,18.86
2093,20.78,18.56,19.39,18.04,18.56
2094,20.90,18.69,19.52,18.14,18.65
2095,21.17,18.92,19.73,18.37,18.87
2096,20.98,18.80,19.62,18.29,18.80
2097,20.72,18.50,19.31,17.97,18.49
2098,20.88,18.79,19.60,18.31,18.79
2099,20.68,18.46,19.30,17.93,18.51
2100,21.29,19.06,19.88,18.54,19.01
