Variable:,tas
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
2015,20.81,19.21,19.20,18.47,17.53,22.10,21.88,16.16,18.65,18.63,22.87,16.68,19.73,17.70,19.64,21.88,19.27,20.80,20.36,17.76,19.49,23.26,22.66,19.20,18.37
2016,20.37,18.82,18.79,18.06,17.14,21.63,21.42,15.77,18.30,18.24,22.36,16.30,19.35,17.30,19.26,21.40,18.87,20.43,19.96,17.39,19.09,22.70,22.21,18.79,17.97
2017,20.54,19.01,19.00,18.30,17.38,21.79,21.53,15.99,18.36,18.33,22.53,16.46,19.46,17.54,19.37,21.58,19.07,20.52,20.04,17.54,19.23,22.96,22.35,19.00,18.20
2018,20.74,19.08,19.06,18.33,17.48,21.99,21.73,16.16,18.61,18.56,22.80,16.66,19.60,17.63,19.50,21.82,19.14,20.74,20.28,17.73,19.34,23.23,22.61,19.06,18.28
2019,20.75,19.27,19.27,18.47,17.62,22.05,21.84,16.25,18.59,18.62,22.91,16.74,19.64,17.79,19.55,21.67,19.33,20.69,20.30,17.79,19.44,23.14,22.78,19.27,18.46
2020,20.62,18.98,18.97,18.16,17.24,21.90,21.72,15.97,18.44,18.49,22.76,16.52,19.54,17.42,19.45,21.69,19.04,20.61,20.14,17.50,19.28,23.12,22.62,18.97,18.11
2021,21.10,19.46,19.46,18.70,17.85,22.43,22.22,16.50,18.79,18.86,23.17,16.96,19.85,18.01,19.76,22.33,19.53,20.99,20.62,18.00,19.64,23.63,23.04,19.46,18.66
2022,21.21,19.59,19.64,18.81,18.10,22.54,22.26,16.76,19.13,19.16,23.31,17.28,20.14,18.27,20.05,22.32,19.69,21.12,20.75,18.31,19.91,23.68,23.14,19.64,18.88
2023,21.17,19.51,19.54,18.67,17.89,22.42,22.17,16.58,19.05,19.02,23.20,17.11,20.10,18.06,20.02,22.31,19.59,21.23,20.74,18.14,19.86,23.65,22.99,19.54,18.73
2024,20.96,19.34,19.39,18.50,17.76,22.26,21.98,16.49,18.84,18.81,23.02,16.95,19.90,17.94,19.81,22.06,19.44,20.97,20.51,17.99,19.67,23.41,22.80,19.39,18.59
2025,21.28,19.72,19.71,19.00,18.16,22.57,22.36,16.75,19.18,19.17,23.32,17.27,20.20,18.32,20.11,22.28,19.77,21.34,20.89,18.36,19.96,23.65,23.17,19.71,18.94
2026,21.24,19.48,19.50,18.63,17.88,22.62,22.31,16.59,19.02,19.10,23.42,17.14,20.00,18.06,19.91,22.44,19.56,21.13,20.77,18.15,19.77,23.90,23.20,19.50,18.71
