Variable:,tas
,Angola,Bengo,Benguela,Bie,Cabinda,"Cuando Cubango","Cuanza Sul",Cunene,Huambo,Huila,"Kuanza Norte",Luanda,"Lunda Norte","Lunda Sul",Malanje,Moxico,Namibe,Uige,Zaire
2015,22.15,24.88,21.52,20.26,25.57,22.69,21.42,21.19,19.61,20.46,23.43,25.06,22.61,22.43,21.49,22.45,19.70,22.82,24.86
2016,22.09,24.77,21.44,20.16,25.62,22.64,21.44,21.14,19.51,20.36,23.43,24.92,22.55,22.30,21.48,22.37,19.63,22.85,24.82
2017,22.21,24.89,21.57,20.29,25.55,22.82,21.57,21.35,19.70,20.56,23.56,24.96,22.70,22.42,21.60,22.40,19.61,22.91,24.86
2018,22.32,25.03,21.64,20.42,25.74,23.02,21.61,21.45,19.73,20.64,23.64,25.20,22.74,22.49,21.68,22.58,19.81,23.00,25.00
2019,22.37,25.02,21.72,20.45,25.73,23.01,21.65,21.47,19.82,20.67,23.63,25.17,22.83,22.60,21.75,22.62,19.88,23.01,25.00
2020,22.33,25.11,21.74,20.41,25.88,22.93,21.68,21.41,19.84,20.66,23.72,25.24,22.74,22.52,21.65,22.54,19.91,23.08,25.12
2021,22.34,25.09,21.77,20.44,25.78,22.86,21.73,21.41,19.86,20.69,23.69,25.26,22.85,22.58,21.74,22.51,19.91,23.06,25.05
2022,22.35,25.10,21.71,20.42,25.76,22.93,21.69,21.28,19.81,20.66,23.74,25.25,22.78,22.53,21.73,22.68,19.87,23.05,25.01
2023,22.41,25.06,21.73,20.50,25.86,22.98,21.71,21.45,19.93,20.65,23.72,25.17,22.90,22.65,21.79,22.68,19.88,23.19,25.12
2024,22.56,25.20,21.86,20.64,25.95,23.26,21.86,21.60,20.02,20.86,23.81,25.33,22.98,22.79,21.89,22.84,20.08,23.24,25.21
2025,22.53,25.17,21.84,20.59,25.94,23.28,21.80,21.65,19.91,20.81,23.73,25.36,23.00,22.75,21.83,22.82,20.05,23.14,25.16
2026,22.56,25.18,21.86,20.67,25.95,23.33,21.81,21.66,19.99,20.85,23.81,25.34,22.98,22.74,21.89,22.80,20.01,23.24,25.20
2027,22.58,25.20,21.91,20.66,25.88,23.21,21.83,21.78,20.04,20.95,23.82,25.37,22.96,22.77,21.86,22.93,20.06,23.20,25.15
2028,22.60,25.32,22.01,20.64,26.03,23.11,21.96,21.68,20.02,20.92,23.96,25.43,23.12,22.84,22.00,22.84,20.24,23.32,25.31
2029,22.58,25.36,21.93,20.68,26.06,23.08,21.89,21.73,20.04,20.88,23.94,25.52,23.11,22.84,21.99,22.77,20.20,23.33,25.33
2030,22.59,25.15,21.85,20.64,25.95,23.28,21.79,21.68,20.01,20.90,23.77,25.29,23.03,22.84,21.88,22.89,20.06,23.23,25.16
2031,22.60,25.39,21.96,20.59,26.11,23.16,21.95,21.70,20.01,20.92,23.99,25.53,23.12,22.83,22.03,22.78,20.10,23.39,25.34
2032,22.66,25.35,21.99,20.70,26.04,23.32,21.87,21.94,20.05,21.05,23.98,25.51,23.00,22.82,21.96,22.95,20.22,23.38,25.35
2033,22.74,25.25,21.91,20.86,26.05,23.37,21.92,21.77,20.19,21.02,23.93,25.38,23.20,23.07,22.09,23.11,20.06,23.38,25.29
2034,22.69,25.40,22.01,20.81,26.15,23.31,21.96,21.75,20.14,20.99,24.01,25.53,23.17,22.97,22.05,22.95,20.21,23.39,25.40
2035,22.78,25.37,22.06,20.89,26.08,23.46,21.97,22.00,20.18,21.09,23.92,25.55,23.24,23.01,22.08,23.09,20.27,23.38,25.34
2036,22.78,25.43,22.09,20.89,26.11,23.37,22.02,21.78,20.22,20.99,24.03,25.65,23.25,23.07,22.10,23.08,20.32,23.49,25.42
2037,22.88,25.50,22.24,20.86,26.18,23.62,22.08,22.14,20.28,21.32,24.11,25.65,23.29,23.06,22.14,23.12,20.40,23.48,25.46
2038,22.78,25.42,22.06,20.88,26.13,23.39,22.01,21.83,20.19,21.02,24.05,25.59,23.28,23.00,22.12,23.08,20.29,23.45,25.41
2039,22.91,25.53,22.18,21.03,26.23,23.50,22.16,21.98,20.36,21.18,24.20,25.65,23.37,23.17,22.26,23.24,20.29,23.58,25.50
2040,22.76,25.38,22.00,20.83,26.12,23.43,21.97,21.85,20.08,20.98,24.01,25.55,23.20,23.00,22.12,23.12,20.22,23.42,25.36
2041,22.78,25.34,22.04,20.82,26.07,23.50,22.01,21.92,20.15,21.04,23.96,25.48,23.27,23.04,22.13,23.04,20.21,23.43,25.36
2042,22.90,25.43,22.17,20.93,26.20,23.68,22.09,22.11,20.30,21.25,24.10,25.57,23.33,23.09,22.18,23.15,20.35,23.59,25.47
2043,23.02,25.62,22.29,21.10,26.37,23.75,22.20,22.18,20.47,21.39,24.24,25.74,23.54,23.21,22.34,23.23,20.45,23.67,25.63
2044,22.79,25.52,22.18,20.77,26.20,23.41,22.04,21.97,20.20,21.18,24.13,25.66,23.29,23.00,22.11,22.97,20.40,23.57,25.47
2045,22.85,25.52,22.15,20.90,26.22,23.52,22.11,21.99,20.25,21.13,24.20,25.66,23.34,23.04,22.21,23.06,20.29,23.57,25.51
2046,22.97,25.65,22.25,21.02,26.29,23.51,22.28,22.06,20.44,21.27,24.26,25.79,23.53,23.16,22.33,23.17,20.43,23.73,25.60
2047,22.95,25.55,22.22,20.94,26.26,23.70,22.20,22.20,20.29,21.30,24.20,25.71,23.38,23.13,22.25,23.21,20.51,23.59,25.54
2048,22.90,25.61,22.29,20.87,26.36,23.57,22.20,22.05,20.28,21.21,24.20,25.79,23.37,23.08,22.26,23.11,20.62,23.66,25.60
