Variable:,tas
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
2015,12.73,16.59,13.60,17.55,14.22,13.60,17.38,15.18,17.71,15.67,14.61,10.92,17.38,14.61,14.61,17.38,17.71,12.29,17.38,17.38,13.63,17.64,15.67,17.56,15.00,15.53,17.38,14.61,14.45,13.95,18.02,16.11,14.61,16.80,16.71,12.74,17.71
2016,12.77,16.63,13.68,17.62,14.30,13.68,17.50,15.25,17.74,15.74,14.68,10.85,17.50,14.68,14.68,17.50,17.74,12.30,17.50,17.50,13.71,17.69,15.71,17.59,15.09,15.63,17.50,14.68,14.52,13.96,18.09,16.17,14.68,16.84,16.83,12.71,17.74
2017,12.80,16.64,13.66,17.62,14.29,13.66,17.47,15.24,17.75,15.75,14.69,10.99,17.47,14.69,14.69,17.47,17.75,12.35,17.47,17.47,13.69,17.69,15.78,17.60,15.07,15.61,17.47,14.69,14.53,14.04,18.10,16.22,14.69,16.85,16.80,12.82,17.75
2018,12.73,16.66,13.64,17.60,14.33,13.64,17.42,15.23,17.76,15.75,14.71,10.78,17.42,14.71,14.71,17.42,17.76,12.24,17.42,17.42,13.67,17.69,15.57,17.61,15.04,15.57,17.42,14.71,14.54,13.87,18.07,16.05,14.71,16.86,16.75,12.61,17.76
2019,12.47,16.41,13.36,17.37,14.05,13.36,17.20,14.97,17.51,15.51,14.46,10.54,17.20,14.46,14.46,17.20,17.51,11.98,17.20,17.20,13.39,17.45,15.38,17.36,14.78,15.32,17.20,14.46,14.29,13.65,17.84,15.85,14.46,16.61,16.52,12.39,17.51
2020,12.93,16.78,13.82,17.73,14.42,13.82,17.58,15.38,17.91,15.86,14.80,11.10,17.58,14.80,14.80,17.58,17.91,12.49,17.58,17.58,13.85,17.84,15.81,17.76,15.21,15.74,17.58,14.80,14.65,14.12,18.19,16.27,14.80,17.00,16.92,12.90,17.91
2021,12.88,16.80,13.70,17.83,14.53,13.70,17.50,15.32,17.86,15.98,14.94,11.02,17.50,14.94,14.94,17.50,17.86,12.39,17.50,17.50,13.73,17.79,15.72,17.71,15.11,15.64,17.50,14.94,14.75,14.03,18.31,16.18,14.94,17.00,16.83,12.82,17.86
2022,12.85,16.77,13.73,17.69,14.46,13.73,17.53,15.33,17.86,15.87,14.84,10.95,17.53,14.84,14.84,17.53,17.86,12.37,17.53,17.53,13.76,17.79,15.77,17.71,15.14,15.67,17.53,14.84,14.67,14.03,18.14,16.23,14.84,16.97,16.86,12.80,17.86
2023,13.16,17.02,14.05,17.92,14.72,14.05,17.73,15.61,18.11,16.12,15.11,11.27,17.73,15.11,15.11,17.73,18.11,12.69,17.73,17.73,14.08,18.03,16.00,17.96,15.41,15.93,17.73,15.11,14.94,14.30,18.36,16.45,15.11,17.23,17.08,13.08,18.11
2024,13.13,16.94,14.01,17.94,14.59,14.01,17.77,15.56,18.05,16.04,14.97,11.30,17.77,14.97,14.97,17.77,18.05,12.68,17.77,17.77,14.04,17.99,16.00,17.90,15.40,15.93,17.77,14.97,14.82,14.31,18.43,16.46,14.97,17.14,17.11,13.10,18.05
2025,13.50,17.24,14.40,18.18,14.95,14.40,18.04,15.91,18.33,16.36,15.33,11.67,18.04,15.33,15.33,18.04,18.33,13.06,18.04,18.04,14.43,18.27,16.30,18.18,15.75,16.26,18.04,15.33,15.18,14.64,18.64,16.75,15.33,17.45,17.40,13.44,18.33
