Variable:,tas
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
2015,10.96,12.49,11.28
2016,10.95,12.44,11.27
2017,11.12,12.60,11.42
2018,10.90,12.42,11.23
2019,10.69,12.30,11.06
2020,11.18,12.68,11.49
2021,11.07,12.56,11.38
2022,10.94,12.48,11.28
2023,11.30,12.77,11.61
2024,11.27,12.73,11.56
2025,11.59,13.11,11.91
2026,11.25,12.80,11.60
2027,11.17,12.70,11.51
2028,11.43,12.93,11.76
2029,11.36,12.88,11.69
2030,11.62,13.11,11.94
2031,11.08,12.74,11.49
2032,11.16,12.72,11.52
2033,11.32,12.80,11.59
2034,11.56,13.12,11.92
2035,11.41,12.96,11.75
2036,11.57,13.11,11.90
2037,11.45,12.99,11.78
2038,11.53,13.04,11.84
2039,11.57,13.06,11.88
2040,11.57,13.05,11.90
2041,11.60,13.14,11.92
2042,11.44,12.96,11.77
2043,11.81,13.31,12.12
2044,11.58,13.12,11.92
2045,11.65,13.21,12.00
2046,11.95,13.44,12.25
2047,11.56,13.13,11.92
2048,11.87,13.39,12.19
2049,12.02,13.47,12.32
2050,11.64,13.16,11.96
2051,11.80,13.28,12.11
2052,12.30,13.70,12.57
2053,12.05,13.57,12.38
2054,11.76,13.25,12.06
2055,11.69,13.25,12.03
2056,11.85,13.39,12.20
2057,12.09,13.60,12.39
2058,12.08,13.59,12.40
2059,11.85,13.41,12.18
2060,11.98,13.55,12.32
2061,12.18,13.73,12.52
2062,12.08,13.55,12.37
2063,11.79,13.33,12.14
2064,12.04,13.50,12.34
2065,11.82,13.27,12.10
2066,11.88,13.39,12.22
2067,12.07,13.54,12.37
2068,12.03,13.62,12.39
2069,12.49,13.95,12.76
2070,11.70,13.27,12.04
2071,11.95,13.38,12.22
2072,11.82,13.39,12.17
2073,11.78,13.28,12.09
2074,11.67,13.18,12.01
2075,12.33,13.75,12.62
2076,12.00,13.46,12.30
2077,11.88,13.40,12.23
2078,12.14,13.60,12.42
2079,12.07,13.51,12.35
2080,12.02,13.52,12.32
2081,11.82,13.33,12.15
2082,12.08,13.52,12.36
2083,11.77,13.31,12.10
2084,11.87,13.39,12.21
2085,12.12,13.63,12.43
2086,12.27,13.81,12.62
2087,11.84,13.30,12.14
2088,11.76,13.27,12.08
2089,11.90,13.45,12.23
2090,12.35,13.73,12.60
2091,11.89,13.38,12.19
2092,12.07,13.46,12.32
2093,12.10,13.63,12.43
2094,11.96,13.48,12.26
2095,11.83,13.34,12.15
2096,11.77,13.26,12.08
2097,11.68,13.18,12.02
2098,12.09,13.56,12.39
2099,12.13,13.61,12.44
2100,11.97,13.45,12.28
