Variable:,tas
,Belize,Belize,Cayo,Corozal,"Orange Walk","Stann Creek",Toledo
2015,25.86,25.14,25.63,26.05,25.52,25.82,25.65
2016,25.90,25.19,25.64,26.08,25.57,25.83,25.63
2017,25.89,25.18,25.63,26.10,25.56,25.79,25.60
2018,25.99,25.25,25.71,26.19,25.64,25.93,25.72
2019,26.01,25.29,25.77,26.17,25.66,25.99,25.81
2020,26.10,25.39,25.86,26.31,25.78,26.04,25.85
2021,26.06,25.32,25.81,26.27,25.71,26.01,25.85
2022,26.07,25.40,25.76,26.30,25.78,25.88,25.66
2023,26.14,25.44,25.88,26.39,25.84,26.03,25.83
2024,26.22,25.52,25.99,26.45,25.92,26.15,25.97
2025,26.11,25.40,25.89,26.32,25.80,26.07,25.90
2026,26.31,25.61,26.08,26.49,26.00,26.29,26.07
2027,26.26,25.57,26.02,26.47,25.96,26.20,26.01
2028,26.33,25.63,26.05,26.57,26.01,26.19,26.00
2029,26.30,25.61,26.06,26.51,26.01,26.22,26.03
2030,26.25,25.50,25.98,26.51,25.91,26.16,25.99
2031,26.39,25.68,26.16,26.58,26.07,26.37,26.17
2032,26.43,25.75,26.27,26.62,26.16,26.46,26.29
2033,26.49,25.81,26.23,26.71,26.21,26.40,26.17
2034,26.40,25.71,26.15,26.64,26.10,26.29,26.11
2035,26.48,25.82,26.28,26.69,26.20,26.42,26.25
2036,26.44,25.70,26.18,26.70,26.09,26.36,26.19
2037,26.55,25.85,26.30,26.73,26.22,26.49,26.30
2038,26.55,25.91,26.35,26.69,26.26,26.54,26.34
2039,26.61,25.92,26.36,26.82,26.33,26.50,26.30
2040,26.49,25.84,26.31,26.68,26.26,26.43,26.25
2041,26.51,25.81,26.29,26.79,26.23,26.45,26.27
2042,26.61,25.90,26.38,26.79,26.26,26.60,26.41
2043,26.55,25.83,26.34,26.78,26.24,26.52,26.35
2044,26.54,25.82,26.33,26.76,26.22,26.52,26.37
2045,26.52,25.79,26.26,26.70,26.20,26.45,26.25
2046,26.67,25.95,26.39,26.84,26.30,26.58,26.41
2047,26.60,25.91,26.37,26.78,26.30,26.52,26.34
2048,26.67,25.99,26.47,26.91,26.41,26.59,26.42
2049,26.74,26.05,26.49,26.92,26.41,26.70,26.50
2050,26.84,26.14,26.59,27.06,26.52,26.82,26.60
2051,26.67,26.04,26.54,26.82,26.45,26.69,26.51
2052,26.59,25.90,26.32,26.78,26.27,26.49,26.29
2053,26.52,25.82,26.31,26.71,26.21,26.46,26.32
2054,26.60,25.92,26.41,26.82,26.33,26.59,26.41
2055,26.59,25.92,26.38,26.75,26.28,26.59,26.40
2056,26.72,26.07,26.53,26.97,26.47,26.70,26.50
2057,26.66,25.99,26.46,26.82,26.36,26.65,26.47
2058,26.81,26.09,26.59,26.98,26.48,26.79,26.61
2059,26.68,25.95,26.41,26.97,26.35,26.60,26.41
2060,26.77,26.07,26.52,26.96,26.43,26.75,26.55
2061,26.70,25.97,26.37,26.95,26.34,26.57,26.35
2062,26.88,26.23,26.66,27.13,26.62,26.82,26.61
2063,26.69,25.99,26.46,26.91,26.39,26.65,26.45
2064,26.65,25.92,26.42,26.83,26.31,26.63,26.45
2065,26.74,26.05,26.56,27.07,26.49,26.74,26.56
2066,26.76,26.16,26.65,26.94,26.55,26.80,26.62
2067,26.78,26.14,26.57,27.03,26.52,26.70,26.53
2068,26.73,26.00,26.50,26.94,26.39,26.69,26.53
2069,26.77,26.06,26.56,26.98,26.47,26.73,26.56
2070,26.74,26.01,26.58,26.90,26.41,26.79,26.65
2071,26.76,26.03,26.49,26.99,26.42,26.70,26.49
2072,26.67,26.00,26.45,26.91,26.39,26.58,26.41
2073,26.80,26.11,26.62,27.01,26.50,26.83,26.64
2074,26.79,26.04,26.52,27.06,26.46,26.70,26.51
2075,26.72,25.98,26.48,26.97,26.38,26.67,26.51
2076,26.67,26.00,26.47,26.81,26.35,26.65,26.48
2077,26.80,26.11,26.60,27.00,26.49,26.79,26.62
2078,26.73,26.01,26.54,26.90,26.40,26.78,26.61
2079,26.82,26.14,26.64,26.99,26.54,26.83,26.66
2080,26.65,25.87,26.45,26.85,26.30,26.69,26.55
2081,26.70,26.00,26.51,26.81,26.38,26.70,26.54
2082,26.70,25.95,26.40,26.91,26.31,26.59,26.42
2083,26.60,25.91,26.41,26.84,26.32,26.54,26.40
2084,26.79,26.04,26.50,27.02,26.43,26.73,26.51
2085,26.49,25.79,26.25,26.68,26.17,26.43,26.25
2086,26.83,26.12,26.58,27.11,26.53,26.73,26.55
2087,26.76,26.06,26.57,26.97,26.46,26.75,26.58
2088,26.86,26.17,26.61,27.05,26.53,26.83,26.61
2089,26.64,25.94,26.38,26.91,26.34,26.52,26.34
2090,26.63,25.92,26.45,26.82,26.34,26.65,26.48
2091,26.74,25.99,26.53,26.94,26.39,26.80,26.62
2092,26.55,25.80,26.28,26.79,26.20,26.46,26.30
2093,26.67,25.96,26.44,26.85,26.35,26.65,26.45
2094,26.53,25.84,26.31,26.75,26.22,26.48,26.32
2095,26.64,25.92,26.41,26.81,26.30,26.61,26.44
2096,26.66,25.94,26.41,26.86,26.32,26.59,26.41
2097,26.61,25.89,26.37,26.82,26.28,26.50,26.35
2098,26.65,25.93,26.42,26.84,26.31,26.65,26.46
2099,26.69,26.02,26.47,26.91,26.40,26.64,26.44
2100,26.65,25.93,26.45,26.81,26.32,26.61,26.48
