Variable:,tas
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
2015,25.80,26.14,25.86,26.78,27.09,24.77,27.05,23.75,23.76,25.50,27.54,26.32,25.14,23.26,27.07,25.53,20.54,25.89,27.42,22.82,26.87,19.67,26.38,26.61,19.03,22.46,25.46,27.34,27.34,24.10,24.10,24.10
2016,25.84,26.14,25.94,26.86,27.04,24.98,27.11,24.00,23.80,25.67,27.60,26.37,25.08,23.33,27.10,25.53,20.58,25.94,27.57,22.84,26.87,19.56,26.44,26.60,19.12,22.46,25.57,27.47,27.47,24.23,24.23,24.23
2017,25.81,26.06,25.92,26.79,27.03,24.93,27.09,23.80,23.75,25.56,27.62,26.30,25.17,23.23,27.11,25.57,20.55,25.96,27.51,22.79,26.87,19.71,26.30,26.57,19.12,22.45,25.56,27.41,27.41,24.16,24.16,24.16
2018,25.86,26.15,26.11,26.87,27.14,25.08,27.21,23.83,23.80,25.55,27.69,26.35,24.95,23.28,27.14,25.68,20.43,26.09,27.63,22.74,26.99,19.54,26.42,26.69,18.98,22.40,25.72,27.45,27.45,24.21,24.21,24.21
2019,25.97,26.28,26.17,27.04,27.26,25.02,27.30,24.04,23.75,25.72,27.77,26.44,25.14,23.30,27.33,25.79,20.62,26.14,27.66,22.80,27.09,19.67,26.53,26.89,19.14,22.52,25.79,27.54,27.54,24.37,24.37,24.37
2020,26.01,26.38,26.13,27.00,27.33,25.09,27.18,23.96,23.83,25.74,27.69,26.51,25.19,23.46,27.39,25.72,20.64,26.09,27.60,22.86,27.01,19.61,26.62,26.93,19.13,22.63,25.79,27.56,27.56,24.39,24.39,24.39
2021,26.03,26.39,26.11,27.07,27.35,25.04,27.23,24.04,23.90,25.76,27.72,26.53,25.34,23.47,27.31,25.74,20.72,26.08,27.59,22.89,27.07,19.80,26.64,26.96,19.22,22.62,25.76,27.60,27.60,24.37,24.37,24.37
2022,26.03,26.35,26.07,27.05,27.28,25.08,27.17,24.07,23.99,25.80,27.74,26.56,25.26,23.50,27.43,25.69,20.73,26.03,27.57,22.89,26.99,19.80,26.67,26.88,19.21,22.59,25.67,27.54,27.54,24.20,24.20,24.20
2023,26.04,26.43,26.23,27.09,27.32,25.21,27.28,24.06,23.86,25.75,27.78,26.55,25.31,23.37,27.37,25.81,20.65,26.21,27.70,22.82,27.11,19.72,26.72,26.99,19.16,22.50,25.90,27.61,27.61,24.40,24.40,24.40
2024,26.31,26.64,26.30,27.29,27.64,25.32,27.42,24.49,24.19,26.18,27.99,26.89,25.65,23.81,27.59,25.89,20.90,26.26,27.90,23.15,27.17,19.93,26.97,27.22,19.33,22.88,25.94,27.88,27.88,24.59,24.59,24.59
2025,26.19,26.61,26.33,27.26,27.48,25.19,27.37,24.18,24.06,25.91,27.87,26.76,25.54,23.60,27.50,25.85,20.93,26.23,27.76,23.09,27.16,19.99,26.88,27.08,19.45,22.83,25.97,27.73,27.73,24.53,24.53,24.53
2026,26.18,26.57,26.25,27.17,27.49,25.19,27.39,24.23,24.02,25.92,27.83,26.79,25.67,23.55,27.43,25.88,20.99,26.25,27.75,23.04,27.18,20.01,26.93,26.99,19.40,22.80,25.91,27.68,27.68,24.58,24.58,24.58
2027,26.21,26.53,26.19,27.24,27.49,25.16,27.39,24.15,23.90,25.98,27.89,26.81,25.62,23.54,27.57,25.92,20.88,26.21,27.72,23.01,27.23,20.06,26.89,27.11,19.44,22.86,25.85,27.73,27.73,24.47,24.47,24.47
2028,26.21,26.55,26.27,27.20,27.46,25.23,27.42,24.19,24.04,25.95,28.01,26.79,25.54,23.61,27.53,25.85,20.86,26.25,27.88,23.08,27.12,19.84,26.88,27.14,19.33,22.80,25.91,27.76,27.76,24.37,24.37,24.37
2029,26.27,26.66,26.32,27.24,27.58,25.25,27.47,24.26,24.01,26.03,28.05,26.90,25.71,23.58,27.62,25.93,20.90,26.29,27.85,22.97,27.28,19.85,27.00,27.07,19.29,22.79,25.90,27.83,27.83,24.47,24.47,24.47
2030,26.21,26.66,26.23,27.02,27.53,25.19,27.36,24.21,24.02,25.95,28.04,26.83,25.51,23.53,27.50,25.81,20.95,26.21,27.81,23.18,27.12,20.03,26.91,27.01,19.43,22.77,25.87,27.84,27.84,24.50,24.50,24.50
2031,26.39,26.78,26.35,27.34,27.74,25.32,27.51,24.45,24.10,26.14,28.09,26.98,25.73,23.78,27.68,25.97,21.09,26.35,27.97,23.18,27.32,20.07,27.15,27.36,19.53,23.02,26.01,27.92,27.92,24.47,24.47,24.47
