Variable:,tas
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
2015,26.38,26.74,26.68,24.88,26.74
2016,26.44,26.76,26.71,24.90,26.76
2017,26.45,26.83,26.76,24.94,26.83
2018,26.51,26.87,26.81,25.04,26.87
2019,26.61,26.96,26.90,25.15,26.96
2020,26.62,26.98,26.92,25.11,26.98
2021,26.59,26.95,26.89,25.12,26.95
2022,26.62,26.97,26.91,25.13,26.97
2023,26.65,27.00,26.94,25.15,27.00
2024,26.78,27.12,27.06,25.26,27.12
2025,26.68,27.03,26.97,25.20,27.03
2026,26.82,27.13,27.08,25.35,27.13
2027,26.69,27.03,26.97,25.19,27.03
2028,26.70,27.03,26.97,25.22,27.03
2029,26.84,27.15,27.10,25.35,27.15
2030,26.76,27.07,27.02,25.28,27.07
2031,26.75,27.06,27.01,25.27,27.06
2032,26.83,27.19,27.13,25.29,27.19
2033,26.86,27.20,27.14,25.39,27.20
2034,26.94,27.22,27.17,25.48,27.22
2035,26.90,27.25,27.19,25.37,27.25
2036,26.91,27.22,27.17,25.41,27.22
2037,26.95,27.29,27.23,25.49,27.29
2038,26.89,27.21,27.16,25.41,27.21
2039,26.96,27.28,27.23,25.43,27.28
2040,26.94,27.27,27.21,25.49,27.27
2041,26.86,27.21,27.15,25.38,27.21
2042,26.97,27.30,27.24,25.48,27.30
2043,27.10,27.42,27.37,25.55,27.42
2044,27.01,27.36,27.30,25.53,27.36
2045,26.96,27.33,27.27,25.49,27.33
2046,27.12,27.45,27.39,25.68,27.45
2047,26.98,27.35,27.29,25.51,27.35
2048,27.03,27.37,27.31,25.56,27.37
2049,27.10,27.44,27.38,25.62,27.44
2050,27.22,27.54,27.49,25.72,27.54
2051,27.17,27.59,27.52,25.68,27.59
2052,27.14,27.48,27.42,25.63,27.48
2053,27.07,27.46,27.39,25.58,27.46
2054,27.07,27.37,27.32,25.54,27.37
2055,27.10,27.43,27.37,25.59,27.43
2056,27.07,27.39,27.33,25.58,27.39
2057,27.05,27.36,27.31,25.59,27.36
2058,27.11,27.46,27.40,25.61,27.46
2059,27.11,27.43,27.38,25.65,27.43
2060,27.29,27.62,27.56,25.80,27.62
2061,27.11,27.47,27.41,25.64,27.47
2062,27.16,27.48,27.43,25.66,27.48
2063,27.08,27.42,27.36,25.59,27.42
2064,27.28,27.62,27.56,25.79,27.62
2065,27.01,27.35,27.29,25.54,27.35
2066,27.26,27.56,27.51,25.75,27.56
2067,27.19,27.52,27.46,25.73,27.52
2068,27.19,27.53,27.47,25.75,27.53
2069,27.13,27.47,27.41,25.68,27.47
2070,27.16,27.51,27.45,25.71,27.51
2071,27.17,27.52,27.46,25.66,27.52
2072,27.22,27.57,27.51,25.68,27.57
2073,27.22,27.52,27.47,25.72,27.52
2074,27.26,27.56,27.51,25.76,27.56
2075,27.13,27.48,27.42,25.65,27.48
2076,27.10,27.45,27.39,25.63,27.45
2077,27.16,27.47,27.42,25.72,27.47
2078,27.11,27.45,27.39,25.61,27.45
2079,27.26,27.58,27.53,25.77,27.58
2080,27.13,27.47,27.41,25.61,27.47
2081,27.14,27.50,27.44,25.66,27.50
2082,27.27,27.58,27.53,25.78,27.58
2083,27.24,27.56,27.51,25.71,27.56
2084,27.19,27.52,27.46,25.69,27.52
2085,27.11,27.47,27.41,25.64,27.47
2086,27.14,27.43,27.38,25.72,27.43
2087,27.12,27.47,27.41,25.64,27.47
2088,27.17,27.45,27.40,25.69,27.45
2089,27.06,27.36,27.31,25.51,27.36
2090,27.04,27.38,27.32,25.52,27.38
2091,27.23,27.55,27.49,25.69,27.55
2092,27.08,27.44,27.38,25.60,27.44
2093,27.11,27.43,27.38,25.60,27.43
2094,27.19,27.52,27.46,25.73,27.52
2095,27.13,27.43,27.38,25.68,27.43
2096,27.02,27.39,27.33,25.50,27.39
2097,27.18,27.50,27.45,25.70,27.50
2098,27.07,27.42,27.36,25.62,27.42
2099,27.18,27.52,27.46,25.71,27.52
2100,27.10,27.48,27.41,25.62,27.48
