Variable:,tas
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2015,7.40,8.55,6.31,6.31,9.58,9.58,6.42,6.74,10.59,7.56,8.31,9.76,7.79,10.45,5.81,5.73,6.79,8.28,7.60,9.57,7.10,6.72,5.73,5.70,9.50,8.28,8.28
2016,6.92,8.00,5.89,5.89,9.00,9.00,5.90,6.26,10.13,7.12,7.88,9.17,7.25,9.92,5.34,5.26,6.36,7.73,7.07,8.99,6.63,6.26,5.26,5.23,9.03,7.73,7.73
2017,6.95,8.10,5.88,5.88,9.09,9.09,5.93,6.27,10.15,7.10,7.84,9.28,7.33,9.99,5.33,5.25,6.35,7.83,7.14,9.08,6.66,6.25,5.25,5.23,9.04,7.83,7.83
2018,7.14,8.28,6.13,6.13,9.23,9.23,6.05,6.37,10.27,7.32,8.07,9.41,7.50,10.10,5.52,5.44,6.60,8.02,7.33,9.22,6.89,6.44,5.44,5.36,9.16,8.02,8.02
2019,6.89,8.05,5.76,5.76,9.02,9.02,5.90,6.25,10.11,7.04,7.78,9.20,7.29,9.94,5.33,5.25,6.25,7.79,7.11,9.01,6.58,6.24,5.25,5.22,9.02,7.79,7.79
2020,7.11,8.25,6.06,6.06,9.24,9.24,6.04,6.35,10.22,7.29,8.07,9.41,7.47,10.08,5.47,5.39,6.54,7.98,7.29,9.23,6.83,6.39,5.39,5.32,9.12,7.98,7.98
2021,7.22,8.37,6.15,6.15,9.38,9.38,6.20,6.51,10.36,7.36,8.07,9.55,7.60,10.21,5.61,5.53,6.62,8.10,7.42,9.37,6.93,6.51,5.53,5.48,9.27,8.10,8.10
2022,6.98,8.11,5.89,5.89,9.02,9.02,6.00,6.37,10.20,7.17,7.94,9.21,7.36,10.01,5.46,5.38,6.38,7.86,7.20,9.01,6.68,6.37,5.38,5.34,9.11,7.86,7.86
2023,7.36,8.47,6.36,6.36,9.42,9.42,6.27,6.60,10.45,7.53,8.27,9.60,7.69,10.30,5.71,5.63,6.82,8.21,7.52,9.41,7.10,6.63,5.63,5.58,9.36,8.21,8.21
2024,7.22,8.37,6.23,6.23,9.30,9.30,6.13,6.44,10.31,7.43,8.20,9.49,7.58,10.18,5.55,5.47,6.70,8.12,7.41,9.29,6.99,6.50,5.47,5.43,9.21,8.12,8.12
2025,7.62,8.75,6.53,6.53,9.70,9.70,6.60,6.95,10.78,7.79,8.57,9.87,7.99,10.60,6.02,5.94,7.02,8.50,7.82,9.69,7.32,6.94,5.94,5.91,9.69,8.50,8.50
2026,7.30,8.40,6.32,6.32,9.33,9.33,6.23,6.59,10.46,7.47,8.20,9.52,7.63,10.28,5.64,5.56,6.78,8.15,7.46,9.32,7.06,6.56,5.56,5.55,9.36,8.15,8.15
2027,7.21,8.32,6.18,6.18,9.27,9.27,6.19,6.53,10.36,7.38,8.11,9.46,7.57,10.20,5.61,5.53,6.65,8.07,7.39,9.26,6.94,6.53,5.53,5.52,9.27,8.07,8.07
2028,7.39,8.54,6.36,6.36,9.47,9.47,6.32,6.62,10.45,7.59,8.36,9.64,7.76,10.31,5.76,5.68,6.84,8.29,7.60,9.46,7.14,6.69,5.68,5.62,9.36,8.29,8.29
2029,7.32,8.45,6.25,6.25,9.42,9.42,6.33,6.70,10.58,7.51,8.29,9.61,7.70,10.40,5.75,5.67,6.73,8.19,7.52,9.41,7.03,6.67,5.67,5.66,9.48,8.19,8.19
2030,7.47,8.59,6.41,6.41,9.61,9.61,6.43,6.76,10.64,7.61,8.35,9.79,7.82,10.49,5.79,5.71,6.88,8.32,7.63,9.60,7.18,6.72,5.71,5.72,9.53,8.32,8.32
