Variable:,tas
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
2015,9.05,12.29,10.98,11.00,6.68,11.86,12.48,12.78,5.92,12.08,12.61,9.91,14.95,16.14,10.48,13.72
2016,9.03,12.21,10.91,10.98,6.76,11.85,12.44,12.76,6.01,12.09,12.56,9.87,14.83,15.95,10.40,13.64
2017,9.14,12.28,11.01,11.13,6.88,11.90,12.59,12.91,6.12,12.18,12.75,10.00,14.88,16.12,10.51,13.86
2018,9.19,12.36,11.12,11.16,6.86,12.05,12.69,13.07,6.07,12.39,12.84,9.98,14.91,16.16,10.59,13.93
2019,9.23,12.45,11.18,11.26,6.88,12.09,12.73,13.06,6.01,12.36,12.82,10.06,15.12,16.39,10.63,13.92
2020,9.27,12.55,11.12,11.29,6.98,12.00,12.67,12.84,6.21,12.17,12.65,10.08,15.15,16.34,10.63,13.81
2021,9.22,12.43,11.06,11.23,6.86,11.91,12.64,12.90,6.20,12.21,12.66,9.96,15.05,16.24,10.52,13.79
2022,9.27,12.50,11.12,11.36,6.91,12.01,12.75,13.01,6.13,12.29,12.84,10.05,15.10,16.34,10.58,13.96
2023,9.32,12.48,11.27,11.30,7.09,12.16,12.81,13.13,6.17,12.39,12.88,10.15,15.09,16.32,10.74,14.04
2024,9.46,12.74,11.35,11.41,7.08,12.28,12.88,13.21,6.28,12.53,13.02,10.25,15.40,16.58,10.81,14.12
2025,9.31,12.64,11.13,11.36,6.84,12.03,12.80,12.98,6.17,12.28,12.82,10.00,15.29,16.50,10.60,13.94
2026,9.50,12.75,11.38,11.53,7.11,12.28,12.96,13.29,6.28,12.57,13.09,10.24,15.35,16.58,10.87,14.20
2027,9.40,12.56,11.26,11.50,7.09,12.20,12.93,13.17,6.24,12.52,12.99,10.19,15.17,16.34,10.73,14.06
2028,9.37,12.67,11.25,11.32,6.96,12.15,12.78,13.04,6.27,12.39,12.86,10.11,15.33,16.53,10.68,13.98
2029,9.50,12.80,11.32,11.54,7.04,12.25,12.94,13.21,6.30,12.55,13.09,10.20,15.43,16.64,10.79,14.14
2030,9.40,12.68,11.26,11.41,6.97,12.18,12.83,13.16,6.22,12.48,12.97,10.11,15.35,16.58,10.68,14.07
