Variable:,tas
,"Congo (Republic of the)",Bouenza,Cuvette,Cuvette-Ouest,Lekoumou,Likouala,Niari,Plateaux,Sangha,Pool,Brazzaville,Kouilou,Point-Noire
2015,25.08,25.12,25.68,24.87,24.90,25.25,25.50,24.52,24.90,24.74,24.62,25.60,25.56
2016,25.03,25.15,25.65,24.81,24.88,25.18,25.55,24.50,24.83,24.68,24.61,25.63,25.59
2017,25.10,25.13,25.75,24.91,24.92,25.22,25.52,24.63,24.88,24.79,24.70,25.57,25.54
2018,25.14,25.26,25.72,24.90,24.98,25.29,25.61,24.60,24.97,24.86,24.78,25.77,25.74
2019,25.22,25.27,25.80,24.98,25.05,25.39,25.67,24.70,25.04,24.90,24.77,25.74,25.71
2020,25.33,25.34,25.95,25.13,25.11,25.49,25.78,24.80,25.18,24.98,24.81,25.88,25.85
2021,25.29,25.34,25.89,25.06,25.10,25.46,25.72,24.73,25.11,24.96,24.86,25.80,25.75
2022,25.23,25.30,25.83,25.02,25.08,25.36,25.70,24.70,25.04,24.95,24.80,25.79,25.75
2023,25.32,25.44,25.89,25.08,25.19,25.47,25.79,24.79,25.12,25.04,24.96,25.85,25.81
2024,25.50,25.59,26.10,25.27,25.36,25.62,25.97,25.00,25.30,25.24,25.17,25.96,25.91
2025,25.44,25.43,26.05,25.22,25.26,25.63,25.85,24.92,25.27,25.05,25.00,25.96,25.93
2026,25.46,25.57,26.07,25.24,25.32,25.58,25.93,24.97,25.24,25.19,25.12,25.97,25.93
2027,25.38,25.43,26.00,25.14,25.17,25.55,25.77,24.90,25.20,25.05,24.91,25.90,25.89
2028,25.52,25.62,26.12,25.30,25.34,25.68,25.96,24.98,25.34,25.23,25.16,26.03,25.98
2029,25.57,25.58,26.16,25.32,25.37,25.73,25.99,25.05,25.40,25.24,25.16,26.06,26.03
2030,25.52,25.46,26.14,25.29,25.29,25.72,25.89,24.99,25.34,25.13,25.04,25.96,25.94
2031,25.66,25.63,26.22,25.43,25.43,25.88,26.03,25.08,25.51,25.28,25.28,26.11,26.06
2032,25.55,25.62,26.14,25.28,25.37,25.75,25.96,24.99,25.35,25.30,25.28,26.05,26.01
2033,25.62,25.64,26.19,25.40,25.43,25.78,26.05,25.12,25.40,25.34,25.26,26.08,26.03
2034,25.64,25.66,26.25,25.42,25.45,25.81,26.05,25.17,25.43,25.28,25.21,26.15,26.11
2035,25.58,25.64,26.18,25.37,25.38,25.73,26.01,25.07,25.38,25.30,25.23,26.11,26.09
2036,25.67,25.71,26.26,25.45,25.47,25.82,26.09,25.18,25.45,25.38,25.30,26.13,26.09
2037,25.75,25.80,26.36,25.51,25.57,25.93,26.16,25.22,25.55,25.44,25.36,26.20,26.16
2038,25.69,25.73,26.30,25.46,25.47,25.86,26.14,25.19,25.51,25.37,25.25,26.15,26.10
2039,25.81,25.81,26.42,25.57,25.62,25.98,26.18,25.32,25.61,25.47,25.34,26.20,26.17
2040,25.65,25.68,26.29,25.41,25.43,25.81,26.04,25.10,25.46,25.32,25.28,26.12,26.10
2041,25.75,25.72,26.38,25.46,25.51,25.96,26.08,25.19,25.57,25.39,25.30,26.10,26.06
2042,25.79,25.81,26.43,25.57,25.57,25.94,26.17,25.30,25.61,25.45,25.37,26.22,26.17
2043,25.91,25.95,26.52,25.67,25.73,26.05,26.32,25.46,25.69,25.63,25.48,26.34,26.31
2044,25.71,25.75,26.30,25.50,25.50,25.84,26.12,25.25,25.51,25.41,25.33,26.22,26.19
2045,25.76,25.83,26.32,25.52,25.59,25.95,26.17,25.27,25.53,25.48,25.33,26.25,26.20
2046,25.94,25.99,26.53,25.69,25.83,26.09,26.35,25.46,25.72,25.69,25.68,26.32,26.27
2047,25.81,25.85,26.42,25.59,25.66,25.95,26.21,25.35,25.60,25.52,25.39,26.30,26.26
2048,25.85,25.86,26.48,25.62,25.64,25.99,26.26,25.35,25.65,25.57,25.56,26.34,26.30
2049,25.94,25.95,26.57,25.69,25.68,26.13,26.27,25.36,25.74,25.67,25.46,26.29,26.24
2050,25.94,25.95,26.56,25.71,25.73,26.11,26.31,25.45,25.73,25.64,25.55,26.30,26.25
2051,25.98,25.97,26.60,25.76,25.75,26.16,26.34,25.48,25.78,25.68,25.63,26.38,26.34
2052,25.86,25.88,26.47,25.58,25.69,25.98,26.27,25.42,25.62,25.60,25.50,26.31,26.27
2053,25.86,25.84,26.47,25.64,25.60,26.06,26.20,25.34,25.69,25.47,25.34,26.31,26.28
2054,25.80,25.72,26.38,25.50,25.52,26.03,26.11,25.32,25.58,25.43,25.30,26.19,26.16
2055,25.83,25.83,26.42,25.57,25.61,26.01,26.19,25.36,25.62,25.51,25.43,26.23,26.20
2056,25.89,26.02,26.51,25.62,25.79,26.00,26.33,25.46,25.65,25.62,25.52,26.32,26.27
2057,25.84,25.90,26.48,25.61,25.69,25.97,26.27,25.41,25.61,25.53,25.40,26.37,26.34
2058,25.91,25.90,26.55,25.69,25.67,26.10,26.31,25.36,25.76,25.49,25.41,26.41,26.36
2059,26.00,25.86,26.62,25.82,25.73,26.20,26.23,25.53,25.83,25.64,25.44,26.28,26.24
2060,26.03,26.08,26.64,25.76,25.88,26.18,26.45,25.60,25.79,25.73,25.60,26.48,26.44
2061,25.94,25.98,26.55,25.67,25.72,26.14,26.28,25.40,25.74,25.65,25.60,26.27,26.22
2062,25.84,25.86,26.50,25.61,25.64,25.95,26.20,25.44,25.58,25.58,25.49,26.31,26.28
2063,25.86,25.80,26.48,25.62,25.55,26.08,26.25,25.30,25.70,25.45,25.36,26.36,26.32
2064,26.09,25.96,26.73,25.83,25.78,26.31,26.35,25.61,25.91,25.70,25.61,26.35,26.31
2065,25.84,25.84,26.41,25.55,25.62,26.06,26.24,25.34,25.65,25.50,25.43,26.33,26.29
2066,26.08,26.01,26.66,25.81,25.82,26.29,26.39,25.59,25.92,25.72,25.49,26.43,26.38
2067,26.02,25.94,26.66,25.79,25.70,26.29,26.32,25.45,25.85,25.64,25.57,26.32,26.27
2068,25.93,25.97,26.50,25.65,25.73,26.13,26.34,25.37,25.75,25.63,25.66,26.39,26.33
2069,25.98,25.93,26.58,25.72,25.72,26.18,26.26,25.52,25.75,25.65,25.48,26.32,26.28
2070,26.01,25.88,26.63,25.74,25.72,26.24,26.31,25.49,25.85,25.62,25.55,26.37,26.31
2071,26.00,25.98,26.66,25.79,25.76,26.16,26.30,25.49,25.81,25.70,25.63,26.35,26.30
2072,25.89,25.90,26.45,25.61,25.72,26.05,26.28,25.45,25.67,25.65,25.49,26.30,26.25
2073,25.92,25.92,26.52,25.64,25.66,26.14,26.28,25.34,25.76,25.58,25.45,26.36,26.32
2074,26.08,26.00,26.69,25.84,25.80,26.29,26.45,25.55,25.89,25.63,25.50,26.49,26.45
2075,25.93,25.84,26.60,25.75,25.66,26.10,26.24,25.46,25.76,25.55,25.31,26.30,26.24
