Variable:,tas
,"Christmas Island","Administrative unit not available"
2015,26.73,26.78
2016,26.70,26.74
2017,26.74,26.82
2018,26.77,26.85
2019,26.91,27.00
2020,26.86,26.91
2021,26.91,26.96
2022,26.91,26.98
2023,26.97,27.05
2024,27.04,27.11
2025,26.99,27.06
2026,27.01,27.07
2027,27.04,27.10
2028,27.00,27.03
2029,27.05,27.10
2030,27.08,27.11
2031,27.01,27.09
2032,27.08,27.10
2033,27.09,27.16
2034,27.12,27.21
2035,27.13,27.22
2036,27.12,27.20
2037,27.16,27.21
2038,27.14,27.19
2039,27.19,27.19
2040,27.22,27.25
2041,27.17,27.25
2042,27.19,27.28
2043,27.20,27.33
2044,27.26,27.28
2045,27.16,27.22
2046,27.21,27.30
2047,27.26,27.34
2048,27.23,27.23
2049,27.29,27.36
2050,27.20,27.26
2051,27.34,27.39
2052,27.31,27.36
2053,27.25,27.31
2054,27.37,27.46
2055,27.24,27.26
2056,27.25,27.31
2057,27.21,27.28
2058,27.30,27.33
2059,27.34,27.42
2060,27.36,27.45
2061,27.36,27.44
2062,27.34,27.40
2063,27.29,27.35
2064,27.48,27.54
2065,27.33,27.40
2066,27.43,27.42
2067,27.28,27.37
2068,27.29,27.38
2069,27.25,27.33
2070,27.32,27.42
2071,27.27,27.32
2072,27.33,27.47
2073,27.27,27.32
2074,27.42,27.46
2075,27.33,27.41
2076,27.35,27.41
2077,27.31,27.37
2078,27.23,27.34
2079,27.29,27.35
2080,27.42,27.49
2081,27.43,27.50
2082,27.33,27.43
2083,27.44,27.48
2084,27.46,27.48
2085,27.29,27.36
2086,27.27,27.36
2087,27.22,27.28
2088,27.37,27.46
2089,27.41,27.47
2090,27.19,27.28
2091,27.24,27.32
2092,27.31,27.38
2093,27.26,27.32
2094,27.32,27.42
2095,27.16,27.24
2096,27.21,27.32
2097,27.38,27.42
2098,27.23,27.29
2099,27.31,27.37
2100,27.26,27.29
