Variable:,tas
,Germany,Baden-Wuerttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen
2015,10.17,9.81,8.64,10.88,10.59,10.42,10.39,10.68,10.40,10.25,10.81,10.98,11.16,9.68,9.93,10.28,9.62
2016,9.82,9.27,8.25,10.52,10.26,10.15,10.14,10.20,10.07,10.04,10.53,10.49,10.66,9.33,9.66,10.01,9.21
2017,10.09,9.45,8.37,10.94,10.63,10.59,10.52,10.53,10.41,10.33,10.74,10.79,10.95,9.60,9.94,10.31,9.50
2018,9.93,9.54,8.51,10.66,10.39,10.08,10.09,10.40,10.11,9.95,10.49,10.67,10.88,9.52,9.71,9.96,9.41
2019,9.77,9.29,8.22,10.50,10.21,10.10,10.06,10.21,10.09,9.89,10.36,10.50,10.66,9.23,9.51,10.01,9.17
2020,10.12,9.60,8.56,10.88,10.59,10.43,10.41,10.58,10.43,10.23,10.66,10.80,10.99,9.62,9.89,10.32,9.56
2021,10.10,9.64,8.59,10.88,10.57,10.47,10.38,10.47,10.35,10.21,10.65,10.76,10.95,9.65,9.86,10.29,9.51
2022,9.80,9.34,8.32,10.53,10.24,10.08,10.08,10.17,10.11,9.92,10.40,10.44,10.64,9.28,9.53,9.95,9.21
2023,10.26,9.84,8.85,10.99,10.68,10.42,10.35,10.74,10.40,10.29,10.88,10.99,11.16,9.84,10.00,10.27,9.74
2024,10.23,9.74,8.69,10.98,10.70,10.40,10.40,10.66,10.46,10.32,10.91,10.91,11.08,9.83,10.05,10.25,9.71
2025,10.39,10.07,8.95,11.04,10.79,10.55,10.54,10.89,10.56,10.43,11.01,11.17,11.36,9.88,10.10,10.45,9.80
2026,10.10,9.74,8.72,10.73,10.46,10.23,10.23,10.54,10.33,10.08,10.68,10.78,10.94,9.58,9.79,10.16,9.54
2027,10.04,9.67,8.58,10.62,10.38,10.33,10.24,10.52,10.25,10.14,10.69,10.81,11.00,9.52,9.74,10.16,9.46
2028,10.17,9.77,8.74,10.72,10.49,10.37,10.30,10.74,10.32,10.23,10.91,10.99,11.16,9.70,9.86,10.22,9.64
2029,10.21,9.70,8.66,10.99,10.71,10.48,10.40,10.66,10.42,10.31,10.87,10.92,11.12,9.82,10.03,10.27,9.67
2030,10.37,9.94,8.92,11.01,10.74,10.55,10.54,10.95,10.48,10.42,11.03,11.24,11.46,9.95,10.15,10.36,9.89
2031,10.01,9.63,8.60,10.63,10.40,10.23,10.15,10.46,10.18,10.05,10.67,10.76,10.98,9.54,9.79,10.05,9.46
2032,9.91,9.57,8.48,10.49,10.25,10.20,10.10,10.38,10.15,9.98,10.58,10.74,10.95,9.36,9.63,9.97,9.34
2033,10.39,9.88,8.93,11.06,10.76,10.73,10.65,10.90,10.58,10.50,11.02,11.17,11.38,9.82,10.15,10.47,9.85
2034,10.34,10.02,8.96,11.01,10.74,10.57,10.54,10.78,10.54,10.39,10.94,11.08,11.31,9.87,10.06,10.36,9.78
2035,10.30,9.92,8.83,11.11,10.80,10.52,10.49,10.79,10.48,10.33,10.93,11.11,11.33,9.87,10.12,10.29,9.71
2036,10.35,10.04,8.95,11.01,10.72,10.53,10.45,10.85,10.46,10.33,10.94,11.21,11.41,9.89,10.08,10.43,9.81
2037,10.54,10.19,9.13,11.21,10.91,10.62,10.64,11.12,10.58,10.56,11.20,11.33,11.52,10.12,10.31,10.45,10.09
2038,10.41,10.08,8.91,11.01,10.77,10.66,10.56,10.94,10.58,10.51,11.10,11.31,11.48,9.94,10.20,10.47,9.89
2039,10.55,10.06,9.03,11.31,11.05,10.81,10.79,10.90,10.87,10.63,11.09,11.24,11.54,10.13,10.34,10.68,9.97
2040,10.26,9.81,8.80,10.97,10.69,10.32,10.36,10.77,10.49,10.26,10.88,11.10,11.32,9.77,10.01,10.29,9.70
2041,10.33,9.87,8.87,11.13,10.78,10.70,10.62,10.80,10.47,10.48,10.97,11.10,11.24,9.89,10.03,10.40,9.78
2042,10.55,10.04,9.05,11.33,11.06,10.67,10.67,11.04,10.81,10.58,11.20,11.28,11.44,10.19,10.40,10.50,10.03
2043,10.59,10.28,9.20,11.40,11.06,10.67,10.70,11.10,10.73,10.55,11.20,11.38,11.58,10.15,10.32,10.53,10.05
2044,10.55,10.24,9.16,11.12,10.86,10.81,10.65,11.12,10.65,10.57,11.27,11.45,11.62,10.02,10.21,10.57,9.99
2045,10.51,10.32,9.28,11.15,10.89,10.46,10.48,11.01,10.51,10.44,11.10,11.25,11.47,10.21,10.29,10.30,10.04
2046,10.72,10.37,9.32,11.41,11.15,10.83,10.85,11.21,10.87,10.73,11.34,11.54,11.74,10.26,10.45,10.72,10.13
2047,10.40,10.11,8.96,11.08,10.77,10.60,10.55,10.91,10.55,10.45,11.09,11.25,11.46,9.91,10.11,10.44,9.79
2048,10.57,10.22,9.19,11.33,11.04,10.55,10.60,11.04,10.77,10.51,11.17,11.33,11.53,10.17,10.35,10.45,10.07
2049,10.77,10.38,9.29,11.49,11.24,10.97,10.97,11.20,11.03,10.76,11.33,11.49,11.71,10.34,10.49,10.91,10.19
2050,10.67,10.39,9.34,11.19,10.93,10.86,10.79,11.24,10.69,10.71,11.37,11.62,11.87,10.18,10.38,10.64,10.16
2051,10.64,10.32,9.23,11.28,11.03,10.76,10.74,11.15,10.78,10.65,11.29,11.43,11.63,10.26,10.38,10.57,10.15
2052,10.77,10.37,9.32,11.57,11.25,10.91,10.91,11.29,10.93,10.82,11.37,11.50,11.68,10.36,10.61,10.70,10.26
2053,10.75,10.52,9.45,11.35,11.07,10.78,10.76,11.26,10.82,10.73,11.38,11.57,11.78,10.34,10.48,10.58,10.30
2054,10.51,10.19,9.13,11.08,10.81,10.61,10.61,11.10,10.65,10.51,11.18,11.37,11.54,9.94,10.19,10.54,9.96
2055,10.56,10.07,9.02,11.35,11.07,10.81,10.88,10.98,10.91,10.63,11.02,11.21,11.40,10.10,10.37,10.70,9.99
2056,10.49,10.11,9.01,11.14,10.86,10.78,10.75,10.93,10.74,10.59,11.10,11.23,11.43,9.94,10.27,10.63,9.90
2057,10.66,10.30,9.35,11.27,11.01,10.97,10.83,11.11,10.79,10.72,11.28,11.44,11.65,10.17,10.39,10.66,10.11
2058,10.77,10.34,9.26,11.55,11.23,10.90,11.05,11.21,11.05,10.82,11.34,11.50,11.68,10.25,10.51,10.91,10.16
2059,10.76,10.50,9.33,11.40,11.12,10.99,10.98,11.23,10.95,10.79,11.36,11.60,11.85,10.25,10.46,10.90,10.17
2060,10.68,10.42,9.35,11.27,11.03,10.81,10.77,11.19,10.79,10.69,11.31,11.50,11.70,10.23,10.42,10.63,10.16
2061,10.81,10.49,9.46,11.51,11.20,10.86,10.88,11.32,10.94,10.78,11.48,11.58,11.81,10.34,10.54,10.70,10.34
2062,10.60,10.16,9.11,11.34,11.05,10.93,10.85,11.00,10.88,10.70,11.17,11.28,11.51,10.10,10.32,10.73,9.98
2063,10.74,10.33,9.26,11.40,11.11,10.94,10.96,11.25,10.90,10.85,11.49,11.52,11.70,10.22,10.55,10.85,10.19
2064,10.55,10.18,9.09,11.22,10.99,10.85,10.76,10.99,10.74,10.60,11.09,11.38,11.59,10.15,10.25,10.57,9.90
2065,10.67,10.22,9.18,11.36,11.08,10.96,10.93,11.12,10.86,10.78,11.28,11.44,11.64,10.20,10.49,10.82,10.11
2066,10.62,10.31,9.23,11.34,11.07,10.76,10.76,11.09,10.81,10.61,11.19,11.39,11.63,10.22,10.33,10.62,10.02
2067,10.96,10.65,9.60,11.60,11.30,11.07,11.05,11.55,10.96,11.01,11.61,11.82,12.03,10.57,10.71,10.90,10.51
2068,10.86,10.54,9.38,11.61,11.29,11.05,11.04,11.37,11.07,10.93,11.42,11.53,11.67,10.29,10.57,10.94,10.34
2069,11.21,10.90,9.88,11.89,11.62,11.21,11.24,11.76,11.30,11.15,11.79,12.03,12.19,10.83,10.99,11.05,10.74
2070,10.81,10.44,9.37,11.53,11.23,11.15,11.06,11.29,10.94,10.93,11.43,11.52,11.71,10.35,10.59,10.85,10.25
2071,10.70,10.29,9.25,11.43,11.13,11.06,11.01,11.06,11.03,10.78,11.20,11.35,11.56,10.14,10.45,10.88,10.10
2072,10.58,10.26,9.09,11.27,11.01,10.72,10.72,11.09,10.75,10.62,11.21,11.42,11.62,10.14,10.34,10.62,10.04
2073,10.80,10.37,9.23,11.26,11.07,11.18,11.20,11.27,11.03,11.04,11.53,11.58,11.79,10.22,10.62,10.94,10.25
2074,10.67,10.14,9.06,11.40,11.15,10.97,10.91,11.12,10.93,10.78,11.29,11.38,11.57,10.23,10.46,10.83,10.11
2075,10.94,10.49,9.46,11.82,11.49,11.05,11.12,11.31,11.19,10.96,11.43,11.58,11.82,10.55,10.79,11.02,10.42
2076,10.86,10.41,9.48,11.55,11.28,11.03,11.00,11.33,11.04,10.88,11.45,11.60,11.75,10.38,10.59,10.88,10.32
2077,10.75,10.31,9.31,11.54,11.20,11.05,10.94,11.14,11.00,10.80,11.31,11.39,11.58,10.26,10.44,10.88,10.15
2078,10.77,10.46,9.29,11.67,11.31,10.84,10.85,11.27,10.92,10.73,11.32,11.57,11.75,10.37,10.55,10.79,10.23
2079,10.89,10.52,9.45,11.52,11.23,11.09,11.09,11.45,11.05,10.95,11.57,11.74,11.91,10.37,10.58,10.95,10.33
2080,10.76,10.33,9.37,11.40,11.14,10.96,10.95,11.26,10.92,10.81,11.40,11.47,11.64,10.27,10.53,10.80,10.23
2081,10.90,10.58,9.47,11.63,11.28,11.00,10.99,11.50,11.02,10.91,11.53,11.76,11.92,10.42,10.67,10.85,10.43
2082,10.79,10.49,9.40,11.51,11.24,10.97,10.88,11.21,10.94,10.79,11.22,11.47,11.69,10.40,10.56,10.85,10.25
2083,10.65,10.21,9.22,11.36,11.09,10.85,10.77,11.14,10.77,10.71,11.23,11.39,11.58,10.24,10.42,10.68,10.16
2084,10.72,10.28,9.25,11.43,11.16,10.85,10.88,11.19,10.94,10.74,11.28,11.45,11.64,10.30,10.54,10.77,10.23
2085,10.78,10.37,9.32,11.59,11.29,10.94,10.92,11.22,10.98,10.83,11.34,11.48,11.69,10.36,10.61,10.78,10.25
2086,10.89,10.73,9.64,11.46,11.17,10.98,10.85,11.49,10.89,10.84,11.56,11.88,12.06,10.41,10.53,10.70,10.42
2087,10.58,10.14,9.11,11.37,11.04,10.76,10.77,11.01,10.85,10.59,11.10,11.27,11.40,10.06,10.33,10.68,10.03
2088,10.68,10.23,9.16,11.34,11.09,10.88,10.82,11.22,10.89,10.73,11.35,11.53,11.74,10.23,10.48,10.73,10.18
2089,10.71,10.24,9.26,11.50,11.17,11.03,11.00,11.08,11.00,10.84,11.31,11.35,11.57,10.12,10.45,10.82,10.08
2090,10.82,10.63,9.48,11.57,11.26,10.86,10.94,11.31,10.94,10.74,11.35,11.68,11.92,10.40,10.55,10.71,10.28
2091,10.58,10.20,9.14,11.24,10.96,10.82,10.69,11.11,10.77,10.58,11.19,11.34,11.50,10.12,10.26,10.66,10.05
2092,10.63,10.29,9.16,11.33,11.05,10.88,10.78,11.11,10.81,10.70,11.29,11.39,11.52,10.19,10.31,10.66,10.03
2093,10.84,10.46,9.39,11.65,11.33,11.08,11.06,11.27,11.05,10.93,11.42,11.59,11.83,10.38,10.65,10.84,10.26
2094,10.74,10.40,9.30,11.35,11.09,10.99,10.95,11.26,10.97,10.79,11.36,11.50,11.66,10.20,10.45,10.81,10.21
2095,10.43,10.16,9.10,11.05,10.75,10.50,10.45,11.03,10.53,10.39,11.14,11.29,11.45,9.92,10.09,10.29,9.91
2096,10.66,10.14,9.10,11.42,11.14,11.01,10.98,11.02,11.05,10.74,11.20,11.21,11.38,10.15,10.37,10.93,10.02
2097,10.65,10.41,9.25,11.14,10.88,10.71,10.70,11.41,10.68,10.57,11.37,11.73,11.91,10.12,10.31,10.66,10.15
2098,10.78,10.43,9.33,11.57,11.26,10.91,10.89,11.20,10.98,10.81,11.34,11.45,11.62,10.37,10.50,10.81,10.23
2099,10.84,10.52,9.43,11.44,11.23,11.00,10.93,11.35,10.97,10.84,11.42,11.64,11.84,10.47,10.59,10.82,10.31
2100,10.54,10.12,9.16,11.23,10.94,10.76,10.69,10.97,10.77,10.56,11.08,11.18,11.39,10.00,10.22,10.65,9.94
