Variable:,tas
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
2015,12.36,10.28,14.09,11.35,12.55,12.05,13.15,12.74,12.27,16.00,11.43,12.10,12.61,13.56,13.05,11.41,12.76,12.03,13.48,12.57,14.16,14.63,11.36,26.21,26.39,26.59,26.72,23.56,24.12,26.88,26.83,26.67,26.95
2016,11.81,9.68,13.47,10.74,12.01,11.51,12.72,12.04,11.76,15.59,10.86,11.45,12.01,13.07,12.37,10.88,12.17,11.46,12.88,11.99,13.45,14.42,10.90,26.29,26.45,26.63,26.74,23.64,24.22,26.91,26.87,26.71,26.99
2017,12.07,9.85,13.81,11.04,12.35,11.76,12.91,12.43,12.04,15.82,11.02,11.81,12.39,13.33,12.71,11.16,12.53,11.67,13.23,12.31,13.81,14.43,11.01,26.15,26.33,26.62,26.72,23.68,24.26,26.93,26.89,26.73,27.01
2018,12.11,9.90,14.04,11.26,12.16,11.78,12.87,12.44,11.91,15.85,11.10,11.57,12.24,13.50,12.92,11.11,12.76,11.59,13.20,12.10,13.95,14.60,11.20,26.31,26.49,26.72,26.86,23.78,24.34,26.95,26.91,26.75,27.03
2019,11.88,9.69,13.76,10.97,12.02,11.50,12.81,12.15,11.63,15.75,10.84,11.47,12.00,13.31,12.58,10.83,12.45,11.49,12.98,11.92,13.61,14.42,10.94,26.43,26.75,26.74,26.89,23.70,24.27,27.04,27.00,26.84,27.12
2020,12.13,9.99,13.88,11.12,12.36,11.82,13.03,12.50,12.11,15.80,11.08,11.81,12.41,13.29,12.81,11.23,12.53,11.75,13.34,12.29,13.91,14.46,11.10,26.42,26.63,26.75,26.85,23.82,24.38,27.06,27.01,26.85,27.13
2021,12.14,10.03,13.94,11.12,12.23,11.85,12.93,12.44,12.08,15.87,11.18,11.76,12.40,13.38,12.79,11.23,12.65,11.79,13.21,12.33,13.88,14.53,11.17,26.49,26.73,26.81,26.85,23.76,24.32,27.10,27.06,26.90,27.18
2022,11.96,9.70,13.78,11.05,12.03,11.64,12.71,12.22,11.83,15.82,10.97,11.56,12.13,13.39,12.66,10.96,12.58,11.58,12.97,12.10,13.62,14.49,11.06,26.53,26.76,26.85,26.87,23.81,24.38,27.13,27.08,26.92,27.20
2023,12.24,10.18,13.99,11.28,12.35,11.92,12.93,12.55,12.17,16.04,11.26,11.91,12.45,13.52,12.94,11.40,12.78,11.82,13.28,12.41,13.89,14.65,11.24,26.53,26.79,26.75,26.92,23.79,24.35,27.03,26.99,26.83,27.11
2024,12.28,10.06,13.99,11.24,12.53,11.93,13.15,12.68,12.20,15.99,11.20,12.07,12.59,13.52,12.95,11.31,12.66,11.93,13.51,12.50,14.08,14.69,11.25,26.57,26.87,26.95,27.05,23.96,24.53,27.21,27.16,27.00,27.29
