Variable:,tas
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
2015,15.15,14.41,16.88,17.92,12.37,18.93,17.20,14.04,19.17,17.75,15.84,14.93,17.52,19.15
2016,15.23,14.41,17.00,18.01,12.53,19.00,17.28,14.13,19.20,17.80,15.93,15.05,17.59,19.24
2017,15.33,14.71,17.09,18.07,12.42,19.01,17.27,14.22,19.21,17.94,16.04,15.03,17.72,19.30
2018,15.19,14.41,16.94,17.95,12.52,18.93,17.25,14.06,19.14,17.78,15.89,15.00,17.59,19.25
2019,14.90,14.06,16.68,17.74,12.13,18.77,17.00,13.69,19.05,17.52,15.63,14.67,17.44,19.09
2020,15.31,14.55,17.00,18.05,12.63,19.02,17.37,14.21,19.20,17.81,15.99,15.17,17.66,19.27
2021,15.42,14.70,17.20,18.19,12.62,19.17,17.50,14.24,19.36,18.05,16.15,15.25,17.83,19.45
2022,15.38,14.69,17.07,18.02,12.65,18.94,17.35,14.31,19.18,17.82,16.05,15.19,17.84,19.36
2023,15.54,14.75,17.26,18.24,12.88,19.15,17.57,14.46,19.40,18.11,16.25,15.37,17.86,19.41
2024,15.55,14.75,17.27,18.32,12.84,19.30,17.62,14.45,19.36,18.08,16.27,15.39,17.85,19.49
2025,15.84,15.06,17.49,18.51,13.18,19.46,17.83,14.82,19.69,18.29,16.51,15.67,18.10,19.71
2026,15.68,15.02,17.41,18.41,12.90,19.35,17.70,14.53,19.55,18.22,16.40,15.46,17.99,19.61
2027,15.59,14.86,17.34,18.32,12.87,19.28,17.66,14.47,19.48,18.13,16.32,15.44,17.94,19.53
2028,15.65,14.97,17.36,18.39,12.93,19.38,17.71,14.52,19.52,18.17,16.34,15.44,18.07,19.61
2029,15.64,14.96,17.30,18.37,12.92,19.32,17.67,14.54,19.50,18.15,16.29,15.44,18.03,19.57
2030,15.94,15.30,17.53,18.64,13.32,19.61,18.02,14.98,19.57,18.36,16.57,15.81,18.11,19.69
2031,15.65,14.94,17.34,18.36,12.91,19.38,17.71,14.61,19.49,18.12,16.34,15.49,18.01,19.57
2032,15.48,14.69,17.22,18.28,12.74,19.31,17.65,14.31,19.56,18.09,16.15,15.30,17.99,19.63
2033,15.57,14.86,17.32,18.29,12.81,19.34,17.57,14.45,19.61,18.12,16.25,15.35,17.99,19.62
2034,15.81,15.08,17.56,18.50,13.08,19.50,17.84,14.72,19.66,18.33,16.52,15.63,18.09,19.65
2035,15.83,15.14,17.56,18.59,13.09,19.57,17.93,14.72,19.67,18.36,16.54,15.63,18.25,19.79
2036,15.80,14.99,17.55,18.59,13.17,19.56,17.91,14.66,19.61,18.37,16.55,15.63,18.06,19.70
2037,15.65,14.96,17.35,18.40,12.94,19.41,17.73,14.54,19.54,18.18,16.34,15.46,18.05,19.62
2038,15.66,14.80,17.36,18.51,13.00,19.50,17.82,14.54,19.45,18.25,16.39,15.57,17.95,19.57
2039,15.64,14.80,17.34,18.47,12.98,19.43,17.76,14.54,19.50,18.21,16.36,15.50,17.91,19.62
2040,15.85,15.00,17.56,18.57,13.21,19.46,17.87,14.76,19.70,18.29,16.59,15.76,18.18,19.80
2041,15.87,15.15,17.52,18.59,13.30,19.48,17.89,14.74,19.62,18.33,16.59,15.77,18.14,19.70
2042,15.79,15.00,17.45,18.43,13.23,19.42,17.86,14.75,19.62,18.25,16.45,15.65,18.09,19.69
2043,15.91,15.21,17.49,18.66,13.34,19.69,18.08,14.89,19.59,18.37,16.50,15.77,18.14,19.72
2044,15.78,14.97,17.52,18.55,13.09,19.50,17.88,14.65,19.75,18.33,16.50,15.60,18.23,19.78
2045,15.83,15.04,17.52,18.52,13.17,19.50,17.87,14.80,19.68,18.32,16.51,15.67,18.18,19.75
2046,16.13,15.48,17.81,18.69,13.45,19.66,18.07,15.05,19.84,18.50,16.79,15.91,18.46,19.97
2047,15.98,15.19,17.71,18.87,13.33,19.81,18.19,14.84,19.83,18.60,16.72,15.87,18.28,19.91
2048,16.14,15.40,17.77,18.79,13.52,19.69,18.12,15.13,19.78,18.56,16.81,16.04,18.34,19.91
2049,16.16,15.48,17.79,18.85,13.58,19.81,18.18,15.13,19.90,18.61,16.81,15.97,18.55,20.05
2050,16.00,15.25,17.70,18.69,13.32,19.63,18.01,14.95,19.83,18.54,16.69,15.80,18.31,19.87
