Variable:,tas
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2015,24.09,27.34,25.39,27.34,27.55,27.75,27.45,28.12,24.76,27.19,28.12,28.09,25.55,21.98,20.67,19.90,19.85,25.46,22.62,23.29,25.05,25.90,25.93
2016,24.03,27.24,25.28,27.24,27.46,27.65,27.35,28.04,24.67,27.11,28.04,28.01,25.47,21.89,20.57,19.80,19.76,25.41,22.58,23.18,24.92,25.78,25.81
2017,24.05,27.34,25.36,27.34,27.56,27.76,27.45,28.16,24.73,27.21,28.16,28.12,25.50,21.88,20.59,19.84,19.77,25.42,22.56,23.20,24.98,25.85,25.88
2018,24.16,27.43,25.47,27.43,27.63,27.80,27.54,28.15,24.82,27.23,28.15,28.12,25.61,22.07,20.73,19.95,19.90,25.49,22.69,23.35,25.14,25.99,26.01
2019,24.26,27.61,25.64,27.61,27.81,27.98,27.71,28.35,24.97,27.41,28.35,28.31,25.76,22.17,20.87,20.12,20.08,25.56,22.87,23.52,25.26,26.13,26.15
2020,24.30,27.58,25.60,27.58,27.78,27.95,27.67,28.32,24.99,27.40,28.32,28.28,25.76,22.22,20.89,20.11,20.04,25.66,22.81,23.45,25.22,26.09,26.11
2021,24.30,27.57,25.63,27.57,27.77,27.93,27.66,28.29,24.95,27.37,28.29,28.25,25.73,22.17,20.90,20.15,20.12,25.63,22.92,23.54,25.29,26.13,26.15
2022,24.18,27.46,25.49,27.46,27.68,27.87,27.57,28.25,24.86,27.32,28.25,28.22,25.66,22.07,20.75,19.99,19.93,25.54,22.73,23.36,25.14,26.00,26.03
2023,24.32,27.61,25.62,27.61,27.82,28.01,27.71,28.39,25.00,27.45,28.39,28.35,25.79,22.20,20.88,20.10,20.05,25.69,22.83,23.47,25.22,26.11,26.13
2024,24.46,27.72,25.76,27.72,27.92,28.10,27.83,28.45,25.11,27.53,28.45,28.41,25.89,22.34,21.02,20.25,20.20,25.84,23.02,23.64,25.40,26.26,26.29
2025,24.37,27.64,25.69,27.64,27.84,28.02,27.75,28.38,25.03,27.45,28.38,28.34,25.81,22.26,20.96,20.20,20.18,25.72,22.99,23.60,25.29,26.16,26.18
2026,24.45,27.61,25.65,27.61,27.83,28.04,27.73,28.43,25.04,27.49,28.43,28.39,25.82,22.25,20.96,20.20,20.16,25.86,22.97,23.54,25.26,26.13,26.17
2027,24.48,27.73,25.76,27.73,27.92,28.08,27.82,28.42,25.08,27.49,28.42,28.38,25.84,22.32,21.04,20.29,20.24,25.84,23.02,23.63,25.36,26.24,26.25
2028,24.50,27.80,25.83,27.80,28.00,28.18,27.90,28.55,25.16,27.61,28.55,28.51,25.95,22.36,21.07,20.32,20.26,25.86,23.07,23.69,25.45,26.32,26.34
2029,24.53,27.79,25.83,27.79,27.99,28.15,27.88,28.51,25.17,27.58,28.51,28.46,25.93,22.41,21.12,20.37,20.30,25.90,23.03,23.68,25.46,26.32,26.34
2030,24.49,27.74,25.79,27.74,27.96,28.15,27.84,28.54,25.14,27.60,28.54,28.50,25.93,22.33,21.04,20.30,20.28,25.85,23.10,23.72,25.41,26.27,26.30
2031,24.58,27.79,25.85,27.79,27.98,28.14,27.88,28.47,25.15,27.55,28.47,28.44,25.94,22.41,21.12,20.38,20.35,25.95,23.14,23.77,25.52,26.36,26.38
2032,24.69,27.87,25.92,27.87,28.08,28.24,27.95,28.63,25.27,27.70,28.63,28.58,26.04,22.50,21.22,20.47,20.42,26.11,23.22,23.82,25.55,26.41,26.41
2033,24.62,27.77,25.83,27.77,27.98,28.16,27.88,28.53,25.19,27.61,28.53,28.50,25.99,22.43,21.13,20.36,20.34,26.03,23.13,23.76,25.48,26.33,26.36
2034,24.60,27.80,25.87,27.80,27.99,28.17,27.90,28.51,25.15,27.58,28.51,28.48,25.94,22.37,21.11,20.38,20.36,25.97,23.21,23.81,25.55,26.38,26.40
2035,24.66,27.84,25.90,27.84,28.03,28.21,27.94,28.55,25.22,27.63,28.55,28.52,26.00,22.46,21.14,20.38,20.36,26.05,23.20,23.83,25.59,26.42,26.45
2036,24.66,27.90,25.96,27.90,28.11,28.30,28.01,28.68,25.31,27.75,28.68,28.64,26.09,22.52,21.25,20.51,20.47,25.98,23.23,23.87,25.62,26.46,26.49
2037,24.73,27.95,25.99,27.95,28.14,28.29,28.03,28.64,25.32,27.72,28.64,28.60,26.10,22.57,21.27,20.52,20.48,26.10,23.29,23.89,25.61,26.48,26.48
2038,24.79,28.04,26.09,28.04,28.24,28.40,28.13,28.76,25.39,27.83,28.76,28.72,26.15,22.60,21.37,20.65,20.60,26.17,23.35,23.99,25.71,26.57,26.59
2039,24.77,28.04,26.05,28.04,28.26,28.44,28.13,28.83,25.44,27.89,28.83,28.79,26.24,22.64,21.31,20.52,20.47,26.18,23.24,23.90,25.65,26.54,26.55
2040,24.74,27.85,25.94,27.85,28.05,28.22,27.93,28.60,25.28,27.68,28.60,28.56,26.04,22.53,21.24,20.48,20.46,26.17,23.26,23.90,25.64,26.46,26.47
2041,24.72,27.93,25.96,27.93,28.15,28.33,28.03,28.72,25.35,27.79,28.72,28.68,26.13,22.57,21.24,20.45,20.40,26.12,23.23,23.82,25.58,26.45,26.47
2042,24.77,27.97,26.03,27.97,28.18,28.36,28.06,28.75,25.39,27.82,28.75,28.71,26.17,22.61,21.31,20.56,20.54,26.11,23.38,23.95,25.64,26.50,26.52
2043,24.80,28.07,26.10,28.07,28.26,28.42,28.16,28.76,25.45,27.84,28.76,28.72,26.22,22.71,21.36,20.58,20.55,26.18,23.34,23.99,25.73,26.60,26.61
2044,24.81,27.99,26.07,27.99,28.19,28.36,28.09,28.71,25.40,27.79,28.71,28.67,26.18,22.66,21.37,20.62,20.60,26.18,23.41,24.02,25.72,26.56,26.58
2045,24.71,27.90,25.96,27.90,28.11,28.29,28.00,28.67,25.32,27.75,28.67,28.63,26.10,22.55,21.24,20.48,20.44,26.10,23.23,23.87,25.62,26.46,26.49
