Variable:,tas
,Guyana,"Barima Waini (region N°1)","Cuyuni/mazaruni (region N°7)","Demerara Mahaica (region N°4)","East Berbice/corentyne (region N°6)","Essequibo Islands/west Demerara (region N°3)","Mahaica Berbice (region N°5)","Pomeroon/supenaam (region N°2","Potaro/siparuni (region N°8)","Upper Demerara/berbice (region N°10)","Upper Takutu/upper Essequibo (region N°9)"
2015,26.32,26.49,24.08,26.49,26.72,26.41,26.86,26.48,25.79,26.51,26.81
2016,26.26,26.47,24.05,26.45,26.63,26.37,26.79,26.48,25.67,26.40,26.76
2017,26.31,26.57,24.12,26.53,26.64,26.46,26.84,26.57,25.67,26.41,26.79
2018,26.39,26.60,24.19,26.70,26.72,26.63,27.03,26.67,25.79,26.52,26.89
2019,26.60,26.70,24.35,26.76,27.05,26.69,27.10,26.77,26.00,26.74,27.14
2020,26.63,26.77,24.41,26.73,27.07,26.66,27.08,26.76,26.06,26.76,27.20
2021,26.64,26.90,24.42,26.80,27.02,26.72,27.16,26.81,26.08,26.78,27.20
2022,26.67,27.00,24.47,26.89,27.04,26.82,27.20,26.93,26.06,26.78,27.16
2023,26.63,26.85,24.41,26.82,27.04,26.74,27.17,26.81,26.02,26.79,27.19
2024,26.91,27.02,24.67,27.05,27.39,26.99,27.34,27.02,26.32,27.04,27.52
2025,26.78,26.93,24.56,26.97,27.21,26.90,27.28,26.95,26.17,26.92,27.37
2026,26.76,26.97,24.55,26.99,27.13,26.92,27.30,26.97,26.14,26.91,27.27
2027,26.83,27.10,24.61,26.97,27.21,26.90,27.29,27.03,26.28,26.95,27.36
2028,26.78,26.96,24.61,26.96,27.16,26.90,27.23,26.92,26.24,26.94,27.40
2029,26.73,26.94,24.55,26.93,27.10,26.86,27.24,26.96,26.17,26.88,27.24
2030,26.73,26.93,24.61,26.92,27.06,26.85,27.22,26.96,26.17,26.86,27.22
2031,26.84,27.08,24.65,27.02,27.22,26.95,27.31,27.02,26.31,26.95,27.43
2032,26.89,27.10,24.73,26.96,27.32,26.91,27.22,27.05,26.33,26.98,27.43
2033,26.83,27.01,24.67,27.06,27.14,26.99,27.39,27.06,26.22,26.96,27.35
2034,26.96,27.05,24.67,27.09,27.41,27.03,27.39,27.03,26.49,27.14,27.60
2035,26.82,26.99,24.68,26.96,27.18,26.90,27.26,26.98,26.31,26.95,27.40
2036,27.06,27.20,24.84,27.16,27.56,27.11,27.41,27.14,26.47,27.16,27.76
2037,27.05,27.40,24.89,27.18,27.42,27.11,27.49,27.24,26.45,27.17,27.52
2038,27.00,27.18,24.86,27.19,27.38,27.11,27.55,27.18,26.35,27.13,27.45
2039,26.88,27.18,24.74,27.03,27.24,26.96,27.34,27.06,26.25,26.98,27.39
2040,26.81,27.04,24.69,27.01,27.15,26.95,27.30,27.01,26.26,26.94,27.36
2041,26.99,27.15,24.84,27.08,27.37,27.01,27.43,27.12,26.47,27.12,27.56
2042,27.15,27.29,25.00,27.31,27.58,27.25,27.58,27.27,26.60,27.27,27.75
