Variable:,tas
,"Korea, Republic of",Cheju-do,Chollabuk-do,Chollanam-do,Chungchongbuk-do,Chungchongnam-do,Inchon,Kang-won-do,Kwangju,Kyonggi-do,Kyongsangbuk-do,Kyongsangnam-do,Pusan,Seoul,Taegu,Taejon
2015,11.92,16.73,13.48,14.92,11.96,13.31,12.92,10.96,14.52,12.33,12.16,13.73,14.32,12.46,13.20,12.27
2016,11.96,16.84,13.45,14.93,11.94,13.25,12.85,10.97,14.45,12.30,12.21,13.79,14.40,12.43,13.27,12.24
2017,11.83,16.70,13.37,14.86,11.84,13.17,12.84,10.87,14.46,12.27,12.05,13.63,14.26,12.40,13.09,12.14
2018,12.06,16.90,13.59,15.07,12.09,13.41,12.94,11.09,14.66,12.41,12.32,13.88,14.47,12.53,13.37,12.39
2019,11.96,16.87,13.49,15.02,11.91,13.27,12.88,10.95,14.54,12.28,12.22,13.81,14.49,12.41,13.26,12.21
2020,12.22,17.07,13.66,15.13,12.22,13.61,13.21,11.27,14.66,12.65,12.48,14.00,14.65,12.78,13.50,12.51
2021,12.19,17.07,13.75,15.22,12.20,13.55,13.19,11.22,14.81,12.61,12.42,13.99,14.53,12.75,13.46,12.51
2022,12.19,17.06,13.69,15.13,12.13,13.48,13.13,11.20,14.68,12.53,12.45,14.00,14.62,12.66,13.50,12.42
2023,12.42,17.14,13.94,15.39,12.43,13.76,13.30,11.46,15.04,12.77,12.68,14.21,14.80,12.89,13.71,12.72
2024,12.47,17.35,13.99,15.48,12.41,13.77,13.43,11.50,15.03,12.84,12.71,14.30,14.90,12.97,13.77,12.70
2025,12.27,17.12,13.80,15.29,12.22,13.58,13.16,11.31,14.86,12.62,12.50,14.06,14.67,12.74,13.53,12.51
2026,12.27,17.21,13.82,15.28,12.23,13.60,13.24,11.26,14.82,12.64,12.51,14.12,14.74,12.77,13.59,12.54
2027,12.29,17.07,13.86,15.30,12.27,13.69,13.31,11.33,14.93,12.71,12.50,14.07,14.66,12.85,13.54,12.58
2028,12.36,17.16,13.89,15.35,12.36,13.73,13.24,11.41,14.97,12.72,12.58,14.12,14.72,12.85,13.58,12.66
2029,12.68,17.44,14.17,15.62,12.61,13.97,13.61,11.76,15.19,13.08,12.87,14.44,15.00,13.21,13.92,12.88
2030,12.74,17.37,14.25,15.66,12.73,14.09,13.71,11.82,15.30,13.14,12.94,14.44,15.02,13.27,13.91,13.02
2031,12.51,17.23,14.01,15.46,12.50,13.85,13.40,11.58,15.07,12.88,12.70,14.25,14.87,13.00,13.71,12.81
2032,12.65,17.43,14.25,15.71,12.66,13.99,13.50,11.64,15.29,12.97,12.90,14.49,15.03,13.09,13.96,12.98
2033,12.56,17.55,14.20,15.65,12.57,14.06,13.67,11.54,15.36,13.01,12.80,14.41,14.99,13.16,13.89,12.90
2034,12.47,17.41,14.04,15.53,12.45,13.83,13.48,11.51,15.11,12.88,12.67,14.26,14.81,13.01,13.73,12.75
2035,12.66,17.44,14.17,15.65,12.66,14.06,13.62,11.71,15.19,13.05,12.86,14.42,15.05,13.18,13.87,12.97
2036,12.60,17.51,14.15,15.63,12.58,13.98,13.57,11.62,15.24,12.98,12.83,14.40,14.99,13.11,13.87,12.89
2037,12.79,17.53,14.25,15.70,12.83,14.04,13.83,11.84,15.23,13.23,13.01,14.53,15.12,13.37,14.03,13.14
2038,12.85,17.53,14.36,15.80,12.85,14.19,13.81,11.92,15.41,13.27,13.06,14.61,15.12,13.40,14.11,13.14
2039,12.94,17.72,14.38,15.88,12.96,14.28,13.87,12.02,15.46,13.35,13.17,14.66,15.28,13.47,14.15,13.26
2040,12.73,17.40,14.29,15.75,12.73,14.15,13.74,11.77,15.39,13.14,12.92,14.47,15.04,13.27,13.93,13.04
2041,12.66,17.42,14.16,15.57,12.65,14.01,13.68,11.70,15.20,13.07,12.86,14.40,14.99,13.20,13.89,12.95
2042,12.80,17.67,14.46,15.94,12.80,14.31,14.00,11.82,15.59,13.31,12.96,14.57,15.07,13.46,14.02,13.13
2043,12.75,17.58,14.26,15.72,12.75,14.09,13.75,11.79,15.30,13.13,12.97,14.50,15.11,13.26,13.97,13.05
2044,12.95,17.71,14.55,15.98,12.98,14.35,14.01,12.01,15.60,13.45,13.08,14.69,15.21,13.58,14.12,13.31
2045,12.65,17.53,14.17,15.62,12.65,14.05,13.68,11.68,15.25,13.09,12.89,14.43,15.04,13.22,13.92,12.95
2046,12.86,17.73,14.38,15.89,12.81,14.17,13.71,11.87,15.46,13.14,13.11,14.66,15.31,13.26,14.12,13.12
2047,12.77,17.52,14.25,15.70,12.73,14.08,13.73,11.84,15.32,13.17,12.94,14.48,15.04,13.29,13.97,13.03
2048,13.24,18.04,14.78,16.22,13.22,14.60,14.22,12.27,15.83,13.61,13.46,15.02,15.62,13.74,14.47,13.53
2049,12.95,17.68,14.45,15.91,12.94,14.31,14.00,12.00,15.52,13.39,13.16,14.69,15.30,13.53,14.17,13.24
2050,12.89,17.84,14.47,15.98,12.92,14.28,13.87,11.89,15.52,13.26,13.12,14.76,15.28,13.39,14.27,13.26
2051,12.76,17.63,14.31,15.78,12.74,14.12,13.71,11.76,15.39,13.14,13.01,14.53,15.17,13.27,13.97,13.04
2052,12.71,17.40,14.18,15.59,12.70,14.09,13.75,11.81,15.21,13.15,12.88,14.39,14.95,13.29,13.87,13.00
2053,12.83,17.64,14.42,15.87,12.85,14.28,13.86,11.82,15.51,13.24,13.07,14.62,15.22,13.37,14.07,13.18
2054,12.97,17.79,14.53,15.97,13.01,14.42,13.99,11.97,15.59,13.41,13.20,14.76,15.34,13.55,14.22,13.33
2055,12.95,17.76,14.45,15.95,12.92,14.27,13.92,12.02,15.58,13.34,13.14,14.68,15.29,13.46,14.16,13.22
2056,12.97,17.64,14.54,15.96,12.93,14.30,13.96,12.02,15.62,13.39,13.16,14.75,15.31,13.52,14.23,13.23
2057,13.11,17.92,14.64,16.11,13.06,14.49,14.15,12.17,15.73,13.51,13.31,14.92,15.45,13.64,14.43,13.35
2058,13.08,17.88,14.61,16.06,13.07,14.44,14.08,12.13,15.68,13.50,13.27,14.80,15.36,13.63,14.25,13.37
2059,13.25,17.98,14.78,16.21,13.25,14.62,14.27,12.25,15.83,13.66,13.49,15.04,15.64,13.80,14.52,13.57
2060,13.12,17.99,14.62,16.09,13.06,14.47,14.18,12.19,15.68,13.57,13.28,14.85,15.44,13.70,14.32,13.36
2061,13.10,17.92,14.65,16.10,13.06,14.45,14.03,12.16,15.71,13.44,13.29,14.89,15.46,13.56,14.36,13.36
2062,12.99,17.71,14.51,15.98,12.97,14.34,14.04,12.03,15.61,13.42,13.17,14.74,15.34,13.56,14.21,13.28
2063,13.24,18.02,14.78,16.25,13.23,14.61,14.25,12.30,15.84,13.70,13.47,15.04,15.62,13.83,14.52,13.52
2064,13.12,17.93,14.60,16.07,13.10,14.42,14.04,12.20,15.66,13.50,13.34,14.85,15.51,13.62,14.29,13.39
2065,13.28,17.85,14.78,16.13,13.31,14.58,14.14,12.36,15.81,13.64,13.50,15.00,15.55,13.76,14.49,13.60
2066,13.32,18.01,14.76,16.18,13.31,14.65,14.27,12.40,15.77,13.72,13.55,15.04,15.65,13.85,14.54,13.59
2067,13.06,17.95,14.62,16.09,13.04,14.44,14.10,12.06,15.66,13.48,13.29,14.88,15.50,13.62,14.32,13.36
2068,13.05,17.96,14.60,16.10,13.02,14.43,14.08,12.12,15.72,13.46,13.25,14.79,15.36,13.60,14.25,13.30
2069,13.25,17.95,14.78,16.17,13.27,14.67,14.29,12.31,15.83,13.71,13.41,14.95,15.51,13.84,14.41,13.60
2070,13.11,17.85,14.61,16.07,13.14,14.54,14.25,12.23,15.72,13.66,13.24,14.79,15.37,13.80,14.25,13.45
2071,13.12,17.81,14.63,16.06,13.09,14.48,14.05,12.15,15.66,13.48,13.35,14.86,15.47,13.61,14.32,13.39
2072,13.20,18.05,14.63,16.18,13.23,14.47,14.13,12.28,15.70,13.61,13.40,14.90,15.50,13.74,14.38,13.54
2073,13.05,17.86,14.69,16.15,13.00,14.46,14.05,12.11,15.83,13.43,13.23,14.83,15.39,13.57,14.27,13.29
2074,13.29,18.02,14.82,16.26,13.31,14.71,14.30,12.31,15.89,13.70,13.51,15.05,15.64,13.84,14.53,13.63
2075,13.29,18.05,14.79,16.25,13.30,14.69,14.49,12.38,15.92,13.80,13.46,14.98,15.57,13.95,14.45,13.60
2076,13.24,17.91,14.76,16.21,13.23,14.64,14.18,12.29,15.86,13.62,13.44,14.95,15.54,13.74,14.42,13.54
2077,13.30,17.96,14.81,16.27,13.28,14.64,14.34,12.38,15.85,13.76,13.48,15.02,15.58,13.89,14.49,13.58
2078,13.36,18.11,14.87,16.31,13.36,14.75,14.41,12.42,15.92,13.76,13.57,15.09,15.70,13.90,14.56,13.66
2079,13.16,17.85,14.65,16.07,13.15,14.51,14.13,12.22,15.73,13.57,13.38,14.88,15.46,13.70,14.39,13.44
2080,13.04,17.90,14.54,16.04,13.01,14.32,13.99,12.11,15.59,13.42,13.26,14.81,15.40,13.55,14.29,13.30
2081,13.08,17.69,14.63,16.05,13.06,14.43,14.13,12.13,15.67,13.52,13.31,14.87,15.45,13.66,14.36,13.35
2082,13.02,17.85,14.49,16.01,13.01,14.40,14.06,12.05,15.55,13.45,13.23,14.77,15.40,13.58,14.24,13.31
2083,13.24,18.04,14.78,16.25,13.28,14.69,14.37,12.29,15.89,13.74,13.41,14.95,15.52,13.88,14.41,13.61
2084,13.00,17.74,14.54,15.97,13.03,14.44,14.07,12.05,15.63,13.46,13.19,14.71,15.26,13.60,14.19,13.35
2085,13.20,17.92,14.68,16.10,13.24,14.60,14.24,12.25,15.74,13.65,13.41,14.91,15.50,13.77,14.40,13.56
2086,13.39,18.22,14.95,16.41,13.39,14.78,14.37,12.41,16.02,13.76,13.62,15.17,15.76,13.89,14.64,13.70
2087,12.98,17.82,14.63,16.04,13.03,14.40,13.94,11.97,15.67,13.38,13.19,14.80,15.30,13.51,14.26,13.36
2088,13.09,17.88,14.57,16.02,13.13,14.48,14.15,12.19,15.62,13.60,13.27,14.80,15.40,13.73,14.27,13.43
2089,13.19,17.78,14.66,16.06,13.19,14.56,14.21,12.27,15.69,13.68,13.40,14.88,15.47,13.81,14.35,13.47
2090,13.05,17.72,14.65,16.05,13.07,14.46,14.11,12.10,15.69,13.47,13.20,14.81,15.30,13.60,14.28,13.40
2091,12.97,17.93,14.53,16.11,12.95,14.36,13.98,12.00,15.71,13.39,13.20,14.75,15.39,13.52,14.20,13.24
2092,13.02,17.83,14.60,16.03,13.05,14.46,14.09,12.07,15.70,13.46,13.21,14.78,15.34,13.59,14.25,13.37
