Variable:,tas
,"French Polynesia","Administrative unit not available"
2015,25.84,25.83
2016,25.83,25.81
2017,25.82,25.81
2018,25.89,25.87
2019,25.97,25.94
2020,26.01,25.99
2021,26.02,26.01
2022,26.03,26.01
2023,25.99,25.97
2024,26.06,26.05
2025,26.05,26.04
2026,26.10,26.08
2027,26.02,26.00
2028,25.97,25.97
2029,26.10,26.08
2030,26.08,26.06
2031,26.21,26.19
2032,26.14,26.12
2033,26.17,26.15
2034,26.21,26.19
2035,26.19,26.17
2036,26.22,26.20
2037,26.28,26.24
2038,26.20,26.18
2039,26.32,26.30
2040,26.25,26.25
2041,26.24,26.22
2042,26.21,26.18
2043,26.28,26.25
2044,26.34,26.31
2045,26.30,26.27
2046,26.39,26.36
2047,26.34,26.33
2048,26.36,26.34
2049,26.39,26.38
2050,26.38,26.35
2051,26.38,26.36
2052,26.36,26.32
2053,26.34,26.31
2054,26.32,26.30
2055,26.27,26.25
2056,26.40,26.36
2057,26.39,26.37
2058,26.36,26.35
2059,26.38,26.36
2060,26.44,26.42
2061,26.32,26.30
2062,26.39,26.37
2063,26.28,26.28
2064,26.35,26.33
2065,26.29,26.27
2066,26.40,26.39
2067,26.40,26.36
2068,26.31,26.30
2069,26.44,26.42
2070,26.42,26.40
2071,26.46,26.44
2072,26.38,26.37
2073,26.45,26.41
2074,26.42,26.39
2075,26.33,26.30
2076,26.35,26.33
2077,26.46,26.44
2078,26.38,26.35
2079,26.47,26.45
2080,26.41,26.38
2081,26.45,26.41
2082,26.41,26.39
2083,26.47,26.44
2084,26.38,26.35
2085,26.35,26.33
2086,26.33,26.31
2087,26.32,26.30
2088,26.42,26.40
2089,26.33,26.30
2090,26.28,26.25
2091,26.35,26.34
2092,26.45,26.41
2093,26.38,26.36
2094,26.35,26.33
2095,26.37,26.33
2096,26.32,26.30
2097,26.28,26.26
2098,26.37,26.35
2099,26.29,26.27
2100,26.38,26.34
