Variable:,tas
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
2015,20.03,20.33,20.16,18.89,19.32,19.26
2016,19.80,20.09,19.91,18.72,19.17,19.12
2017,19.87,20.16,19.99,18.72,19.25,19.16
2018,19.90,20.16,19.99,18.80,19.32,19.24
2019,20.00,20.29,20.11,18.90,19.42,19.34
2020,20.08,20.37,20.19,19.00,19.46,19.41
2021,20.04,20.35,20.17,18.93,19.40,19.34
2022,19.94,20.21,20.04,18.85,19.34,19.28
2023,20.09,20.36,20.20,18.95,19.44,19.37
2024,20.35,20.65,20.47,19.24,19.70,19.64
2025,20.24,20.54,20.36,19.14,19.55,19.51
2026,20.28,20.54,20.39,19.19,19.59,19.56
2027,20.17,20.46,20.28,19.01,19.50,19.43
2028,20.39,20.67,20.49,19.25,19.76,19.68
2029,20.30,20.57,20.40,19.18,19.64,19.59
2030,20.28,20.55,20.38,19.17,19.62,19.56
2031,20.46,20.76,20.59,19.32,19.80,19.72
2032,20.24,20.52,20.35,19.15,19.60,19.56
2033,20.36,20.60,20.43,19.27,19.70,19.66
2034,20.33,20.61,20.45,19.26,19.68,19.64
2035,20.49,20.80,20.62,19.32,19.77,19.71
2036,20.53,20.85,20.66,19.41,19.92,19.83
2037,20.47,20.74,20.57,19.37,19.87,19.82
2038,20.50,20.80,20.61,19.43,19.87,19.84
2039,20.65,20.91,20.76,19.54,19.95,19.91
2040,20.46,20.76,20.57,19.34,19.87,19.79
2041,20.54,20.82,20.66,19.48,19.92,19.87
2042,20.53,20.83,20.64,19.40,19.90,19.83
2043,20.52,20.82,20.64,19.41,19.84,19.80
2044,20.47,20.73,20.55,19.35,19.89,19.80
2045,20.52,20.76,20.60,19.44,19.89,19.85
2046,20.70,21.03,20.85,19.57,20.04,19.97
2047,20.61,20.91,20.74,19.52,19.99,19.92
2048,20.57,20.85,20.67,19.48,19.95,19.91
2049,20.67,20.94,20.76,19.54,19.99,19.95
2050,20.88,21.16,21.00,19.75,20.16,20.11
2051,20.74,21.03,20.84,19.65,20.20,20.13
2052,20.66,20.94,20.77,19.55,20.03,19.96
2053,20.57,20.82,20.64,19.43,19.95,19.88
2054,20.59,20.86,20.70,19.45,19.92,19.85
2055,20.59,20.84,20.69,19.50,19.95,19.91
2056,20.66,20.94,20.76,19.56,20.13,20.03
2057,20.63,20.93,20.76,19.50,19.97,19.90
2058,20.80,21.06,20.89,19.73,20.17,20.13
2059,20.73,21.01,20.83,19.59,20.08,20.01
2060,20.66,20.95,20.78,19.55,20.07,19.99
2061,20.67,20.95,20.79,19.60,20.05,20.00
2062,20.54,20.86,20.63,19.35,19.91,19.82
2063,20.63,20.90,20.73,19.52,20.02,19.96
2064,20.83,21.10,20.94,19.73,20.14,20.11
2065,20.49,20.81,20.61,19.39,20.05,19.92
2066,20.81,21.11,20.93,19.68,20.26,20.15
2067,20.77,21.06,20.89,19.67,20.11,20.06
2068,20.68,20.97,20.79,19.59,20.09,20.03
2069,20.73,21.01,20.85,19.61,20.04,19.99
2070,20.72,21.04,20.85,19.60,20.12,20.03
2071,20.74,21.00,20.84,19.68,20.09,20.06
2072,20.56,20.85,20.67,19.46,19.95,19.88
2073,20.75,21.06,20.88,19.61,20.14,20.04
2074,20.81,21.14,20.96,19.70,20.16,20.09
2075,20.59,20.89,20.71,19.51,19.92,19.88
2076,20.77,21.07,20.90,19.68,20.11,20.06
2077,20.72,20.98,20.81,19.68,20.14,20.11
2078,20.75,21.09,20.88,19.62,20.14,20.06
2079,20.77,21.09,20.90,19.62,20.07,20.01
2080,20.65,20.94,20.78,19.58,20.06,20.00
2081,20.66,21.01,20.81,19.56,19.97,19.94
2082,20.89,21.23,21.04,19.77,20.32,20.22
2083,20.57,20.81,20.65,19.53,19.96,19.94
2084,20.55,20.83,20.65,19.52,20.04,19.98
2085,20.57,20.89,20.71,19.46,19.97,19.89
2086,20.74,21.01,20.85,19.67,20.18,20.11
2087,20.59,20.93,20.74,19.43,19.95,19.86
2088,20.53,20.80,20.63,19.42,19.89,19.83
2089,20.39,20.73,20.52,19.25,19.79,19.71
2090,20.64,20.93,20.77,19.57,20.03,19.98
2091,20.74,21.05,20.87,19.63,20.15,20.07
2092,20.65,20.98,20.78,19.50,19.99,19.92
2093,20.63,20.90,20.73,19.57,20.02,19.98
2094,20.68,20.96,20.80,19.60,20.10,20.03
2095,20.48,20.79,20.60,19.34,19.88,19.79
2096,20.46,20.72,20.55,19.40,19.88,19.83
2097,20.63,20.86,20.70,19.58,19.95,19.95
2098,20.57,20.89,20.71,19.52,20.03,19.96
2099,20.68,20.97,20.79,19.57,20.08,20.01
2100,20.68,20.97,20.80,19.69,20.11,20.09
