Variable:,tas
,Senegal,Kaolack,Kedougou,Kolda,Sedhiou,Tambacounda,Kaffrine,Dakar,Thies,Ziguinchor,Diourbel,Fatick,Louga,Matam,"Saint louis"
2015,28.83,27.30,27.99,27.92,27.56,29.05,28.36,24.97,26.39,26.16,27.49,26.89,27.82,29.48,28.16
2016,28.83,27.27,28.03,27.93,27.52,29.06,28.37,24.82,26.30,26.06,27.45,26.84,27.83,29.49,28.15
2017,28.93,27.42,28.08,28.02,27.70,29.11,28.45,25.02,26.49,26.26,27.60,27.03,27.95,29.57,28.31
2018,28.94,27.36,28.19,28.08,27.67,29.17,28.43,24.90,26.39,26.21,27.53,26.93,27.93,29.56,28.27
2019,29.07,27.45,28.34,28.20,27.73,29.35,28.57,25.00,26.45,26.24,27.61,27.00,27.99,29.77,28.26
2020,29.12,27.41,28.40,28.23,27.74,29.41,28.55,24.93,26.42,26.28,27.61,26.99,27.98,29.81,28.36
2021,29.08,27.46,28.27,28.18,27.76,29.31,28.58,24.96,26.45,26.28,27.63,27.01,28.04,29.79,28.39
2022,29.16,27.51,28.27,28.23,27.77,29.40,28.64,25.11,26.53,26.28,27.69,27.07,28.11,29.87,28.49
2023,29.10,27.47,28.24,28.11,27.75,29.24,28.54,25.10,26.55,26.35,27.65,27.06,28.12,29.79,28.54
2024,29.21,27.53,28.39,28.28,27.83,29.46,28.67,25.08,26.54,26.36,27.71,27.10,28.10,29.93,28.48
2025,29.25,27.55,28.55,28.34,27.82,29.51,28.70,25.08,26.55,26.31,27.73,27.10,28.14,29.95,28.52
2026,29.35,27.67,28.48,28.39,28.02,29.64,28.79,25.27,26.66,26.46,27.80,27.19,28.21,30.03,28.60
2027,29.28,27.70,28.49,28.35,27.95,29.46,28.79,25.28,26.80,26.46,27.93,27.30,28.26,29.92,28.62
2028,29.32,27.70,28.59,28.44,28.03,29.56,28.84,25.26,26.65,26.49,27.84,27.20,28.23,29.97,28.61
2029,29.38,27.80,28.52,28.46,28.08,29.60,28.92,25.37,26.77,26.64,27.95,27.35,28.31,30.06,28.61
2030,29.26,27.65,28.41,28.32,27.90,29.43,28.80,25.20,26.69,26.41,27.84,27.21,28.29,29.93,28.60
2031,29.42,27.72,28.71,28.51,27.98,29.75,28.84,25.30,26.79,26.52,27.91,27.30,28.24,30.18,28.58
2032,29.40,27.79,28.53,28.36,28.02,29.54,28.89,25.36,26.89,26.59,28.04,27.43,28.41,30.10,28.74
2033,29.49,27.79,28.64,28.50,28.09,29.70,28.93,25.28,26.77,26.58,27.95,27.32,28.41,30.18,28.82
2034,29.41,27.79,28.60,28.51,28.05,29.65,28.92,25.42,26.85,26.53,28.01,27.36,28.40,30.04,28.74
2035,29.52,27.80,28.75,28.62,28.11,29.81,28.94,25.33,26.80,26.51,27.95,27.32,28.36,30.21,28.75
2036,29.58,27.90,28.82,28.70,28.22,29.90,29.08,25.29,26.82,26.66,28.06,27.41,28.43,30.28,28.76
2037,29.56,27.88,28.79,28.64,28.22,29.83,29.05,25.50,26.85,26.67,28.03,27.42,28.43,30.28,28.81
2038,29.51,27.90,28.74,28.60,28.17,29.70,28.96,25.45,26.90,26.72,28.05,27.46,28.48,30.13,28.92
2039,29.58,28.01,28.81,28.73,28.36,29.85,29.10,25.64,27.00,26.88,28.17,27.58,28.48,30.25,28.81
2040,29.31,27.79,28.46,28.37,28.02,29.47,28.81,25.54,26.93,26.61,28.00,27.42,28.31,30.03,28.64
2041,29.43,27.81,28.65,28.50,28.09,29.64,28.95,25.46,26.85,26.54,27.99,27.34,28.42,30.12,28.72
2042,29.61,27.95,28.78,28.69,28.25,29.81,29.13,25.53,26.97,26.71,28.14,27.48,28.60,30.33,28.93
2043,29.69,28.06,28.90,28.73,28.30,29.90,29.14,25.68,27.19,26.86,28.29,27.68,28.65,30.37,29.00
2044,29.67,27.97,28.89,28.72,28.21,29.94,29.11,25.59,27.08,26.71,28.20,27.55,28.58,30.35,28.92
2045,29.55,27.90,28.71,28.54,28.13,29.72,29.03,25.55,27.01,26.77,28.15,27.54,28.58,30.26,28.94
2046,29.74,28.15,28.87,28.72,28.29,29.91,29.25,25.68,27.26,26.96,28.41,27.79,28.78,30.42,29.08
2047,29.66,28.11,28.79,28.69,28.30,29.81,29.17,25.74,27.17,26.87,28.30,27.68,28.66,30.34,29.02
2048,29.69,28.04,28.81,28.69,28.30,29.87,29.16,25.62,27.10,26.84,28.25,27.62,28.65,30.38,29.03
2049,29.74,28.15,28.79,28.76,28.36,29.92,29.27,25.75,27.18,26.92,28.32,27.71,28.75,30.47,29.08
2050,29.95,28.31,29.00,28.92,28.56,30.12,29.44,25.79,27.34,27.06,28.51,27.88,28.91,30.70,29.26
2051,29.75,28.09,28.87,28.79,28.43,29.97,29.20,25.71,27.13,26.94,28.25,27.66,28.67,30.47,29.10
2052,29.61,27.88,28.71,28.56,28.08,29.79,29.07,25.52,26.95,26.67,28.12,27.48,28.59,30.33,28.94
2053,29.52,27.97,28.60,28.54,28.22,29.64,29.00,25.69,27.12,26.78,28.21,27.60,28.59,30.15,28.93
2054,29.65,27.99,28.84,28.74,28.22,29.95,29.11,25.61,26.99,26.67,28.11,27.49,28.49,30.36,28.87
2055,29.62,27.94,28.73,28.59,28.25,29.79,29.03,25.55,27.04,26.81,28.14,27.55,28.62,30.35,28.97
2056,29.65,28.00,28.85,28.65,28.23,29.84,29.08,25.68,27.15,26.80,28.24,27.64,28.65,30.35,28.97
2057,29.72,28.04,28.91,28.81,28.34,29.99,29.24,25.51,26.97,26.72,28.17,27.52,28.65,30.46,28.98
2058,29.75,28.12,28.91,28.76,28.36,29.96,29.27,25.87,27.23,26.87,28.36,27.71,28.76,30.40,29.11
2059,29.71,28.14,28.94,28.80,28.40,29.96,29.21,25.76,27.20,26.94,28.33,27.74,28.66,30.38,28.96
