Variable:,tas
,Tokelau,"Administrative unit not available"
2015,28.22,27.85
2016,28.20,27.83
2017,28.30,27.93
2018,28.35,27.99
2019,28.42,28.06
2020,28.43,28.07
2021,28.40,28.05
2022,28.37,27.99
2023,28.44,28.09
2024,28.51,28.15
2025,28.49,28.12
2026,28.49,28.12
2027,28.42,28.06
2028,28.60,28.23
2029,28.53,28.16
2030,28.58,28.22
2031,28.62,28.26
2032,28.56,28.19
2033,28.62,28.26
2034,28.56,28.20
2035,28.56,28.20
2036,28.69,28.32
2037,28.65,28.27
2038,28.64,28.26
2039,28.71,28.36
2040,28.61,28.24
2041,28.68,28.32
2042,28.76,28.40
2043,28.77,28.41
2044,28.76,28.36
2045,28.70,28.34
2046,28.83,28.47
2047,28.82,28.48
2048,28.72,28.36
2049,28.93,28.56
2050,28.87,28.51
2051,28.80,28.43
2052,28.76,28.40
2053,28.66,28.30
2054,28.76,28.39
2055,28.74,28.38
2056,28.81,28.45
2057,28.84,28.49
2058,28.94,28.57
2059,28.87,28.51
2060,28.95,28.60
2061,28.86,28.47
2062,28.81,28.46
2063,28.84,28.49
2064,28.76,28.39
2065,28.73,28.38
2066,28.94,28.57
2067,28.84,28.46
2068,28.79,28.42
2069,28.94,28.58
2070,28.91,28.54
2071,28.87,28.51
2072,28.87,28.50
2073,28.92,28.55
2074,28.87,28.51
2075,28.90,28.54
2076,28.84,28.50
2077,28.81,28.44
2078,28.88,28.51
2079,28.88,28.52
2080,28.89,28.52
2081,28.95,28.55
2082,28.88,28.52
2083,28.87,28.51
2084,28.83,28.48
2085,28.78,28.40
2086,28.77,28.42
2087,28.76,28.39
2088,28.81,28.45
2089,28.77,28.40
2090,28.89,28.52
2091,28.85,28.48
2092,28.75,28.37
2093,28.81,28.46
2094,28.82,28.45
2095,28.80,28.44
2096,28.81,28.42
2097,28.77,28.38
2098,28.78,28.40
2099,28.76,28.40
2100,28.75,28.40
