Variable:,tas
,Uruguay,Artigas,Canelones,"Cerro Largo",Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandu,"Rio Negro",Rivera,Rocha,Salto,"San Jose",Soriano,Tacuarembo,"Treinta Y Tres"
2015,18.23,19.64,17.07,17.84,17.13,17.87,17.81,17.43,17.06,16.86,17.12,18.57,18.25,18.61,16.97,18.96,17.17,17.91,18.34,17.36
2016,17.96,19.25,16.85,17.61,16.96,17.54,17.47,17.16,16.90,16.79,16.81,18.21,17.90,18.33,16.91,18.61,16.87,17.60,18.01,17.19
2017,18.21,19.40,17.16,17.92,17.13,17.85,17.68,17.44,17.19,17.05,17.12,18.38,18.08,18.63,17.17,18.76,17.16,17.76,18.32,17.48
2018,18.07,19.34,17.04,17.73,17.13,17.71,17.66,17.33,17.04,16.90,17.03,18.30,18.03,18.38,17.00,18.66,17.08,17.81,18.12,17.30
2019,18.12,19.49,16.96,17.76,17.20,17.73,17.67,17.30,17.00,16.77,16.97,18.38,18.12,18.48,16.94,18.75,17.04,17.90,18.19,17.32
2020,18.08,19.35,17.00,17.79,17.12,17.74,17.68,17.33,17.02,16.87,17.05,18.32,18.07,18.45,17.00,18.62,17.11,17.75,18.15,17.34
2021,18.29,19.54,17.17,17.98,17.24,17.98,17.89,17.56,17.21,16.98,17.23,18.53,18.27,18.64,17.12,18.87,17.28,17.97,18.39,17.51
2022,18.25,19.51,17.18,17.92,17.29,17.89,17.83,17.47,17.17,17.03,17.22,18.52,18.28,18.58,17.16,18.83,17.27,17.96,18.33,17.47
2023,18.22,19.51,17.18,17.86,17.31,17.88,17.81,17.48,17.15,16.99,17.23,18.47,18.20,18.61,17.08,18.82,17.28,17.91,18.32,17.41
2024,18.43,19.68,17.37,18.06,17.49,18.13,18.04,17.71,17.35,17.15,17.41,18.67,18.40,18.82,17.23,19.01,17.47,18.13,18.56,17.61
2025,18.35,19.70,17.23,18.01,17.40,17.95,17.86,17.54,17.26,17.09,17.24,18.58,18.28,18.72,17.25,18.97,17.30,18.03,18.40,17.57
2026,18.52,19.89,17.50,18.12,17.65,18.20,18.16,17.78,17.43,17.27,17.52,18.80,18.51,18.89,17.33,19.18,17.58,18.30,18.64,17.66
2027,18.64,20.04,17.53,18.24,17.64,18.32,18.22,17.88,17.53,17.34,17.54,18.98,18.68,19.03,17.40,19.35,17.60,18.32,18.78,17.78
2028,18.34,19.74,17.19,17.93,17.30,17.97,17.85,17.56,17.21,16.97,17.22,18.59,18.29,18.77,17.10,18.99,17.28,17.96,18.45,17.48
2029,18.43,19.84,17.33,18.04,17.43,18.09,18.01,17.69,17.36,17.13,17.32,18.71,18.39,18.75,17.26,19.12,17.39,18.08,18.51,17.63
2030,18.41,19.77,17.30,18.06,17.27,18.04,17.91,17.59,17.32,17.15,17.23,18.67,18.35,18.79,17.27,19.05,17.29,17.98,18.52,17.60
2031,18.55,20.00,17.42,18.15,17.53,18.18,18.13,17.75,17.37,17.21,17.44,18.89,18.58,18.96,17.28,19.27,17.50,18.24,18.65,17.64
2032,18.49,19.80,17.32,18.13,17.42,18.16,18.01,17.71,17.37,17.14,17.33,18.83,18.52,18.88,17.25,19.20,17.39,18.16,18.65,17.65
2033,18.44,19.76,17.35,18.16,17.30,18.05,17.91,17.65,17.37,17.12,17.31,18.64,18.32,18.92,17.21,19.05,17.35,18.00,18.56,17.67
2034,18.44,19.87,17.26,18.12,17.38,18.03,17.90,17.59,17.30,17.12,17.31,18.62,18.29,18.87,17.28,19.07,17.36,18.04,18.53,17.64
2035,18.62,19.96,17.51,18.24,17.67,18.27,18.22,17.87,17.52,17.29,17.55,18.93,18.64,19.00,17.40,19.29,17.61,18.35,18.70,17.79
2036,18.40,19.85,17.32,18.03,17.46,18.02,17.96,17.62,17.26,17.11,17.36,18.67,18.40,18.75,17.21,19.05,17.41,18.17,18.48,17.55
2037,18.58,19.91,17.45,18.22,17.47,18.23,18.16,17.82,17.53,17.33,17.39,18.80,18.46,18.96,17.46,19.21,17.47,18.18,18.66,17.81
2038,18.45,19.76,17.32,18.06,17.42,18.16,18.04,17.71,17.38,17.18,17.30,18.72,18.49,18.76,17.29,19.01,17.37,18.13,18.56,17.63
2039,18.58,20.01,17.33,18.18,17.44,18.24,18.12,17.76,17.39,17.21,17.33,18.88,18.60,18.98,17.31,19.25,17.40,18.20,18.71,17.68
2040,18.73,20.12,17.51,18.37,17.68,18.36,18.20,17.91,17.60,17.36,17.46,19.09,18.81,19.09,17.50,19.42,17.54,18.35,18.84,17.91
2041,18.72,20.01,17.58,18.40,17.66,18.39,18.26,17.96,17.62,17.44,17.63,18.95,18.64,19.14,17.56,19.33,17.68,18.33,18.85,17.92
2042,18.52,19.85,17.33,18.18,17.46,18.18,18.08,17.72,17.38,17.16,17.37,18.83,18.54,18.87,17.33,19.16,17.44,18.16,18.62,17.71
2043,18.56,19.98,17.48,18.12,17.44,18.23,18.09,17.81,17.46,17.28,17.50,18.88,18.51,18.90,17.36,19.31,17.55,18.04,18.68,17.69
2044,18.44,19.81,17.44,18.07,17.58,18.09,18.06,17.72,17.39,17.23,17.48,18.71,18.43,18.79,17.31,19.07,17.53,18.20,18.50,17.64
2045,18.56,19.97,17.51,18.18,17.56,18.14,18.09,17.74,17.46,17.32,17.50,18.80,18.51,18.93,17.43,19.17,17.55,18.23,18.61,17.74
2046,18.72,20.08,17.60,18.38,17.74,18.34,18.24,17.90,17.58,17.38,17.63,19.06,18.75,19.07,17.52,19.41,17.68,18.40,18.81,17.90
2047,18.79,20.12,17.60,18.43,17.69,18.43,18.32,17.99,17.70,17.43,17.60,19.12,18.80,19.16,17.59,19.50,17.66,18.45,18.90,18.00
2048,18.79,20.18,17.66,18.44,17.66,18.41,18.29,17.97,17.70,17.51,17.65,19.03,18.71,19.14,17.67,19.43,17.70,18.33,18.87,18.01
2049,18.75,20.15,17.63,18.42,17.70,18.38,18.30,17.96,17.66,17.45,17.64,18.99,18.69,19.11,17.58,19.36,17.69,18.42,18.82,17.97
2050,18.54,19.83,17.44,18.15,17.55,18.22,18.12,17.79,17.44,17.29,17.46,18.82,18.56,18.91,17.39,19.16,17.52,18.23,18.67,17.69
2051,18.61,19.99,17.53,18.24,17.65,18.24,18.20,17.84,17.54,17.37,17.54,18.96,18.69,18.89,17.48,19.28,17.60,18.34,18.65,17.83
2052,18.83,20.20,17.66,18.46,17.84,18.48,18.42,18.04,17.70,17.50,17.71,19.11,18.84,19.19,17.64,19.46,17.77,18.57,18.93,18.01
2053,18.85,20.32,17.64,18.51,17.87,18.46,18.38,18.00,17.65,17.44,17.73,19.11,18.82,19.23,17.59,19.52,17.79,18.51,18.94,17.99
2054,18.66,20.05,17.55,18.30,17.64,18.28,18.20,17.85,17.53,17.38,17.54,18.92,18.60,19.09,17.46,19.33,17.60,18.32,18.77,17.81
2055,18.78,20.02,17.61,18.48,17.68,18.47,18.34,18.03,17.67,17.46,17.60,19.00,18.74,19.13,17.60,19.33,17.67,18.41,18.90,18.00
2056,18.67,20.16,17.52,18.29,17.68,18.28,18.25,17.87,17.54,17.33,17.54,18.94,18.66,19.03,17.44,19.33,17.61,18.39,18.73,17.83
2057,18.78,20.09,17.63,18.40,17.84,18.44,18.38,18.00,17.67,17.52,17.67,19.10,18.86,19.13,17.64,19.40,17.74,18.55,18.87,17.96
2058,18.86,20.12,17.71,18.54,17.77,18.53,18.38,18.03,17.75,17.54,17.67,19.12,18.83,19.27,17.69,19.47,17.74,18.46,19.02,18.07
2059,18.82,20.12,17.74,18.46,17.88,18.49,18.43,18.08,17.76,17.53,17.79,19.15,18.88,19.15,17.68,19.45,17.84,18.56,18.90,18.04
2060,18.79,20.08,17.67,18.50,17.71,18.48,18.38,18.03,17.71,17.48,17.75,19.04,18.79,19.12,17.63,19.36,17.79,18.46,18.90,18.04
2061,18.85,20.12,17.72,18.57,17.81,18.52,18.42,18.06,17.75,17.57,17.75,19.13,18.85,19.22,17.68,19.45,17.80,18.55,18.97,18.08
2062,18.74,20.09,17.74,18.40,17.73,18.33,18.32,17.95,17.67,17.58,17.73,18.95,18.66,19.07,17.68,19.34,17.77,18.43,18.76,17.96
2063,18.87,20.28,17.62,18.49,17.82,18.51,18.44,17.97,17.61,17.42,17.67,19.18,18.87,19.31,17.55,19.58,17.75,18.54,19.02,17.95
2064,18.89,20.18,17.67,18.49,17.97,18.62,18.53,18.14,17.72,17.44,17.75,19.28,19.08,19.25,17.63,19.51,17.83,18.67,19.04,18.03
2065,18.81,20.18,17.68,18.41,17.82,18.43,18.34,18.02,17.69,17.50,17.69,19.09,18.81,19.19,17.62,19.47,17.75,18.55,18.90,17.96
2066,18.79,20.23,17.51,18.44,17.74,18.37,18.27,17.89,17.60,17.38,17.50,19.05,18.77,19.21,17.57,19.42,17.58,18.46,18.88,17.96
