Variable:,tas
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
2015,13.70,7.34,16.84,8.56,13.03,16.60,15.34,9.57,15.60,16.54,12.97,12.14,12.77,15.03,15.86
2016,13.88,7.37,17.07,8.56,13.20,16.82,15.54,9.63,15.83,16.59,13.22,12.31,12.98,15.24,16.15
2017,13.97,7.46,17.03,8.66,13.40,16.83,15.42,9.72,15.80,16.54,13.28,12.33,12.97,15.23,16.11
2018,13.81,7.37,16.90,8.57,13.06,16.74,15.48,9.59,15.73,16.58,13.19,12.25,12.92,15.24,16.02
2019,13.88,7.35,16.92,8.52,13.25,16.69,15.48,9.59,15.63,16.47,13.06,12.19,12.77,15.24,16.01
2020,13.91,7.27,16.95,8.52,13.29,16.76,15.43,9.56,15.82,16.56,13.30,12.24,13.01,15.21,16.04
2021,14.09,7.60,17.08,8.78,13.44,17.05,15.66,9.81,15.94,16.89,13.40,12.48,13.12,15.42,16.27
2022,14.13,7.43,17.29,8.63,13.51,16.96,15.73,9.69,15.94,16.62,13.40,12.46,13.14,15.49,16.30
2023,13.95,7.45,16.81,8.61,13.30,16.77,15.48,9.69,15.81,16.61,13.22,12.35,12.98,15.28,16.15
2024,14.23,7.60,17.32,8.89,13.63,17.04,15.93,9.92,16.06,16.79,13.50,12.62,13.23,15.58,16.46
2025,14.31,7.70,17.40,8.95,13.63,17.21,15.92,9.99,16.23,16.88,13.73,12.72,13.40,15.65,16.50
2026,14.21,7.77,17.26,8.98,13.50,17.04,15.80,10.06,16.01,16.89,13.56,12.68,13.24,15.57,16.41
2027,14.51,8.01,17.64,9.30,13.80,17.45,16.04,10.36,16.43,17.21,13.91,13.05,13.68,15.82,16.83
2028,14.44,7.78,17.47,9.03,13.80,17.30,15.94,10.07,16.27,17.06,13.74,12.78,13.43,15.79,16.57
2029,14.47,7.96,17.45,9.21,13.83,17.31,16.04,10.28,16.23,17.12,13.83,12.90,13.49,15.79,16.66
2030,14.37,8.05,17.33,9.17,13.74,17.27,15.92,10.23,16.27,17.09,13.73,12.80,13.44,15.66,16.56
2031,14.38,8.06,17.49,9.35,13.62,17.46,15.99,10.34,16.39,17.34,13.88,12.92,13.57,15.73,16.66
2032,14.50,8.13,17.59,9.34,13.72,17.46,16.09,10.38,16.48,17.17,13.95,13.05,13.67,15.89,16.85
2033,14.21,7.77,17.21,8.91,13.57,17.16,15.68,10.01,16.12,16.98,13.51,12.63,13.23,15.50,16.37
2034,14.22,8.04,17.35,9.22,13.43,17.28,15.71,10.29,16.25,17.01,13.71,12.87,13.43,15.51,16.61
2035,14.66,8.01,17.73,9.25,14.03,17.59,16.36,10.31,16.54,17.45,13.89,13.00,13.72,15.96,16.79
2036,14.75,8.22,17.85,9.47,14.05,17.70,16.38,10.46,16.64,17.47,14.01,13.08,13.79,16.15,16.87
2037,14.51,8.10,17.60,9.21,13.94,17.42,16.15,10.25,16.25,17.33,13.80,12.89,13.45,15.81,16.65
2038,14.63,8.21,17.68,9.44,13.96,17.42,16.27,10.49,16.42,17.22,13.98,13.12,13.66,15.99,16.87
2039,14.74,8.24,17.78,9.42,14.10,17.69,16.30,10.46,16.63,17.52,14.08,13.10,13.78,16.04,16.91
2040,14.24,8.07,17.28,9.20,13.54,17.05,15.73,10.26,16.03,16.88,13.57,12.77,13.28,15.53,16.61
2041,14.50,7.99,17.56,9.19,13.82,17.51,16.09,10.21,16.45,17.41,13.91,12.86,13.61,15.83,16.56
2042,14.54,7.94,17.68,9.24,13.90,17.49,16.24,10.29,16.44,17.32,13.87,12.95,13.65,15.91,16.74
2043,14.62,8.15,17.54,9.37,13.99,17.43,16.27,10.48,16.40,17.40,14.00,13.10,13.65,15.87,16.83
2044,14.68,8.36,17.76,9.67,13.93,17.70,16.22,10.76,16.69,17.41,14.16,13.35,13.91,15.99,17.02
2045,14.71,8.14,17.75,9.44,14.00,17.72,16.37,10.55,16.67,17.61,14.14,13.27,13.85,16.03,17.05
2046,14.75,8.42,17.74,9.70,14.10,17.68,16.38,10.67,16.62,17.51,14.17,13.27,13.83,16.05,16.99
2047,14.74,8.15,17.75,9.42,14.08,17.68,16.27,10.51,16.66,17.50,14.20,13.23,13.89,16.03,16.99
2048,14.87,8.34,17.78,9.54,14.26,17.58,16.37,10.62,16.56,17.44,14.18,13.26,13.85,16.19,17.01
2049,14.80,8.45,17.84,9.58,14.23,17.60,16.54,10.61,16.55,17.49,14.14,13.17,13.77,16.12,16.88
2050,14.93,8.46,17.95,9.65,14.26,17.87,16.51,10.72,16.76,17.82,14.26,13.33,13.95,16.29,17.06
2051,14.63,8.24,17.71,9.46,13.94,17.50,16.27,10.52,16.46,17.34,13.99,13.11,13.67,15.99,16.85
2052,14.97,8.49,18.00,9.78,14.31,17.92,16.57,10.79,16.89,17.80,14.38,13.43,14.08,16.28,17.12
2053,14.79,8.24,17.76,9.61,14.10,17.63,16.25,10.58,16.65,17.50,14.24,13.23,13.94,16.13,16.94
2054,14.74,8.21,17.86,9.43,14.01,17.69,16.34,10.48,16.70,17.50,14.03,13.06,13.74,16.13,16.85
2055,14.93,8.49,17.96,9.69,14.20,17.80,16.46,10.81,16.83,17.61,14.40,13.50,14.10,16.26,17.28
2056,15.08,8.47,18.11,9.66,14.46,17.89,16.78,10.77,16.89,17.70,14.32,13.40,14.04,16.46,17.13
2057,15.10,8.73,18.13,9.94,14.44,17.97,16.74,11.01,16.88,17.81,14.47,13.58,14.16,16.40,17.33
2058,15.06,8.58,18.10,9.83,14.32,17.93,16.54,10.89,16.95,17.69,14.41,13.51,14.14,16.45,17.26
2059,14.87,8.56,18.04,9.71,14.00,18.01,16.39,10.70,17.00,17.90,14.38,13.29,14.17,16.24,17.04
2060,14.71,8.40,17.69,9.63,14.07,17.72,16.21,10.57,16.63,17.57,14.16,13.17,13.84,15.98,16.91
2061,14.90,8.61,17.84,9.79,14.25,17.85,16.36,10.80,16.80,17.66,14.29,13.36,14.03,16.12,17.07
2062,15.16,8.74,18.37,9.98,14.36,18.08,16.86,10.99,17.03,17.88,14.60,13.60,14.21,16.60,17.29
2063,14.93,8.29,17.96,9.55,14.17,17.79,16.46,10.64,16.82,17.59,14.18,13.28,13.93,16.35,17.09
2064,14.85,8.33,17.82,9.51,14.33,17.62,16.52,10.59,16.58,17.44,14.12,13.21,13.78,16.11,16.99
2065,14.85,8.39,18.06,9.74,14.10,17.74,16.52,10.84,16.74,17.49,14.16,13.31,13.89,16.25,17.05
2066,15.00,8.57,18.04,9.79,14.24,17.97,16.53,10.89,16.97,17.80,14.24,13.44,14.11,16.33,17.14
2067,14.82,8.45,17.82,9.66,14.14,17.68,16.30,10.74,16.68,17.43,14.10,13.31,13.83,16.14,17.12
2068,15.08,8.36,18.02,9.58,14.46,17.94,16.56,10.62,16.91,17.75,14.44,13.37,14.12,16.40,17.19
2069,14.94,8.64,18.02,9.87,14.16,18.01,16.43,11.00,17.00,17.91,14.38,13.54,14.14,16.22,17.27
2070,15.11,8.74,18.11,9.95,14.37,18.15,16.66,10.98,17.05,17.99,14.51,13.61,14.19,16.47,17.36
2071,14.90,8.47,18.02,9.72,14.13,17.86,16.41,10.82,16.86,17.66,14.31,13.45,14.04,16.24,17.22
2072,14.75,8.43,17.90,9.69,14.03,17.83,16.24,10.68,16.74,17.68,14.13,13.18,13.86,16.07,16.84
2073,14.97,8.38,18.11,9.72,14.32,17.86,16.68,10.73,16.85,17.58,14.27,13.37,14.01,16.35,17.08
2074,14.99,8.75,18.03,9.94,14.25,17.86,16.56,10.98,16.88,17.68,14.41,13.49,14.14,16.33,17.23
2075,14.76,8.38,17.78,9.66,14.02,17.77,16.27,10.70,16.74,17.57,14.15,13.28,13.89,16.06,17.01
2076,15.07,8.39,18.14,9.51,14.51,17.88,16.72,10.64,16.87,17.53,14.29,13.39,14.04,16.39,17.23
2077,15.05,8.45,18.23,9.68,14.38,17.99,16.80,10.83,16.96,17.90,14.39,13.56,14.15,16.40,17.39
2078,15.02,8.38,18.02,9.55,14.39,17.79,16.60,10.64,16.72,17.68,14.19,13.27,13.95,16.41,16.95
2079,15.18,8.75,18.18,9.95,14.43,18.06,16.65,11.00,17.07,17.87,14.67,13.65,14.30,16.55,17.42
2080,15.02,8.47,18.12,9.71,14.27,18.02,16.48,10.79,17.01,17.82,14.42,13.47,14.13,16.35,17.19
2081,15.15,8.60,18.32,9.81,14.39,18.17,16.74,10.86,17.11,17.86,14.44,13.51,14.26,16.55,17.28
2082,15.05,8.75,18.14,9.97,14.34,17.89,16.69,10.94,16.89,17.79,14.36,13.55,14.08,16.41,17.30
2083,15.14,8.38,18.14,9.66,14.53,17.94,16.85,10.70,16.95,17.72,14.29,13.40,14.11,16.50,17.18
2084,15.07,8.45,18.24,9.75,14.36,18.05,16.65,10.82,17.02,17.78,14.51,13.46,14.17,16.43,17.25
2085,15.12,8.59,18.17,9.85,14.43,18.02,16.74,10.99,16.99,17.89,14.52,13.63,14.25,16.40,17.38
2086,15.05,8.74,17.98,9.90,14.45,17.84,16.58,10.90,16.76,17.69,14.26,13.41,13.98,16.36,17.14
2087,15.06,8.63,18.18,9.87,14.43,17.98,16.71,10.82,16.96,17.89,14.39,13.44,14.13,16.41,17.17
2088,14.87,8.62,17.92,9.77,14.20,17.86,16.46,10.76,16.70,17.87,14.12,13.29,13.89,16.19,17.06
2089,14.73,8.40,17.79,9.59,14.04,17.63,16.29,10.61,16.60,17.54,14.16,13.22,13.85,16.02,16.95
2090,14.90,8.54,18.05,9.80,14.13,17.96,16.39,10.89,16.84,17.88,14.27,13.40,13.98,16.25,17.08
2091,15.11,8.35,18.04,9.59,14.57,17.89,16.68,10.69,16.88,17.65,14.21,13.34,13.95,16.44,17.08
2092,14.72,8.35,17.73,9.59,14.00,17.65,16.19,10.62,16.65,17.54,14.06,13.21,13.80,16.03,16.99
2093,14.98,8.53,18.13,9.82,14.14,17.92,16.44,10.92,16.89,17.76,14.54,13.61,14.19,16.39,17.39
2094,15.20,8.47,18.15,9.76,14.54,18.06,16.75,10.88,16.96,17.86,14.54,13.67,14.22,16.53,17.44
2095,14.89,8.22,17.90,9.36,14.32,17.77,16.36,10.46,16.73,17.48,14.16,13.18,13.93,16.21,16.99
2096,14.83,8.36,17.95,9.59,14.13,17.75,16.43,10.69,16.71,17.50,14.25,13.35,13.91,16.19,17.14
2097,14.73,8.32,17.79,9.51,14.05,17.60,16.32,10.56,16.60,17.45,14.05,13.18,13.79,16.07,16.92
2098,14.98,8.55,17.99,9.74,14.31,17.97,16.49,10.78,16.94,17.64,14.36,13.44,14.09,16.30,17.22
2099,14.86,8.58,17.88,9.84,14.12,17.79,16.34,10.89,16.74,17.76,14.24,13.38,14.05,16.13,17.09
2100,14.70,8.38,17.69,9.58,14.07,17.61,16.18,10.59,16.57,17.37,14.11,13.21,13.74,15.96,16.95
