Variable:,tas
,Andorra,"Andorra La Vella",Canillo,Encamp,Escaldes-engordany,"La Massana",Ordino,"Sant Julia De Loria"
2015,12.21,13.09,13.09,13.09,13.09,13.09,13.09,13.09
2016,12.22,13.09,13.09,13.09,13.09,13.09,13.09,13.09
2017,12.06,12.94,12.94,12.94,12.94,12.94,12.94,12.94
2018,12.21,13.03,13.03,13.03,13.03,13.03,13.03,13.03
2019,12.33,13.18,13.18,13.18,13.18,13.18,13.18,13.18
2020,12.27,13.12,13.12,13.12,13.12,13.12,13.12,13.12
2021,12.39,13.28,13.28,13.28,13.28,13.28,13.28,13.28
2022,12.57,13.49,13.49,13.49,13.49,13.49,13.49,13.49
2023,12.37,13.22,13.22,13.22,13.22,13.22,13.22,13.22
2024,12.36,13.22,13.22,13.22,13.22,13.22,13.22,13.22
2025,12.37,13.18,13.18,13.18,13.18,13.18,13.18,13.18
2026,12.64,13.56,13.56,13.56,13.56,13.56,13.56,13.56
2027,12.68,13.55,13.55,13.55,13.55,13.55,13.55,13.55
2028,12.55,13.35,13.35,13.35,13.35,13.35,13.35,13.35
2029,12.63,13.44,13.44,13.44,13.44,13.44,13.44,13.44
2030,12.57,13.46,13.46,13.46,13.46,13.46,13.46,13.46
2031,12.74,13.70,13.70,13.70,13.70,13.70,13.70,13.70
2032,12.92,13.81,13.81,13.81,13.81,13.81,13.81,13.81
2033,12.81,13.61,13.61,13.61,13.61,13.61,13.61,13.61
2034,12.89,13.85,13.85,13.85,13.85,13.85,13.85,13.85
2035,12.75,13.69,13.69,13.69,13.69,13.69,13.69,13.69
2036,12.89,13.91,13.91,13.91,13.91,13.91,13.91,13.91
2037,12.83,13.80,13.80,13.80,13.80,13.80,13.80,13.80
2038,13.08,13.95,13.95,13.95,13.95,13.95,13.95,13.95
2039,12.80,13.76,13.76,13.76,13.76,13.76,13.76,13.76
2040,12.83,13.72,13.72,13.72,13.72,13.72,13.72,13.72
2041,12.94,13.87,13.87,13.87,13.87,13.87,13.87,13.87
2042,13.01,13.92,13.92,13.92,13.92,13.92,13.92,13.92
2043,12.80,13.66,13.66,13.66,13.66,13.66,13.66,13.66
2044,13.14,14.03,14.03,14.03,14.03,14.03,14.03,14.03
2045,12.88,13.77,13.77,13.77,13.77,13.77,13.77,13.77
2046,12.86,13.77,13.77,13.77,13.77,13.77,13.77,13.77
2047,13.10,14.05,14.05,14.05,14.05,14.05,14.05,14.05
2048,13.27,14.18,14.18,14.18,14.18,14.18,14.18,14.18
2049,13.35,14.07,14.07,14.07,14.07,14.07,14.07,14.07
2050,13.37,14.26,14.26,14.26,14.26,14.26,14.26,14.26
2051,13.46,14.26,14.26,14.26,14.26,14.26,14.26,14.26
2052,13.26,14.07,14.07,14.07,14.07,14.07,14.07,14.07
2053,13.26,14.21,14.21,14.21,14.21,14.21,14.21,14.21
2054,13.36,14.25,14.25,14.25,14.25,14.25,14.25,14.25
2055,13.64,14.41,14.41,14.41,14.41,14.41,14.41,14.41
2056,13.50,14.42,14.42,14.42,14.42,14.42,14.42,14.42
2057,13.60,14.46,14.46,14.46,14.46,14.46,14.46,14.46
2058,13.70,14.42,14.42,14.42,14.42,14.42,14.42,14.42
2059,13.68,14.72,14.72,14.72,14.72,14.72,14.72,14.72
2060,13.60,14.46,14.46,14.46,14.46,14.46,14.46,14.46
2061,13.80,14.56,14.56,14.56,14.56,14.56,14.56,14.56
2062,13.63,14.58,14.58,14.58,14.58,14.58,14.58,14.58
2063,13.89,14.76,14.76,14.76,14.76,14.76,14.76,14.76
2064,13.45,14.30,14.30,14.30,14.30,14.30,14.30,14.30
2065,14.05,14.90,14.90,14.90,14.90,14.90,14.90,14.90
2066,13.65,14.51,14.51,14.51,14.51,14.51,14.51,14.51
2067,13.97,14.81,14.81,14.81,14.81,14.81,14.81,14.81
2068,13.78,14.60,14.60,14.60,14.60,14.60,14.60,14.60
2069,13.77,14.66,14.66,14.66,14.66,14.66,14.66,14.66
2070,13.72,14.65,14.65,14.65,14.65,14.65,14.65,14.65
2071,13.84,14.76,14.76,14.76,14.76,14.76,14.76,14.76
2072,13.84,14.73,14.73,14.73,14.73,14.73,14.73,14.73
2073,13.98,14.89,14.89,14.89,14.89,14.89,14.89,14.89
2074,13.95,14.83,14.83,14.83,14.83,14.83,14.83,14.83
2075,13.71,14.59,14.59,14.59,14.59,14.59,14.59,14.59
2076,13.97,14.81,14.81,14.81,14.81,14.81,14.81,14.81
2077,13.78,14.74,14.74,14.74,14.74,14.74,14.74,14.74
2078,14.09,15.22,15.22,15.22,15.22,15.22,15.22,15.22
2079,14.03,15.01,15.01,15.01,15.01,15.01,15.01,15.01
2080,13.74,14.65,14.65,14.65,14.65,14.65,14.65,14.65
2081,13.96,14.85,14.85,14.85,14.85,14.85,14.85,14.85
2082,14.05,14.90,14.90,14.90,14.90,14.90,14.90,14.90
2083,14.25,15.20,15.20,15.20,15.20,15.20,15.20,15.20
2084,14.27,15.11,15.11,15.11,15.11,15.11,15.11,15.11
2085,14.07,14.95,14.95,14.95,14.95,14.95,14.95,14.95
2086,14.15,14.91,14.91,14.91,14.91,14.91,14.91,14.91
2087,14.22,15.03,15.03,15.03,15.03,15.03,15.03,15.03
2088,14.33,15.23,15.23,15.23,15.23,15.23,15.23,15.23
2089,14.11,15.06,15.06,15.06,15.06,15.06,15.06,15.06
2090,14.49,15.38,15.38,15.38,15.38,15.38,15.38,15.38
2091,14.24,15.16,15.16,15.16,15.16,15.16,15.16,15.16
2092,14.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17
2093,14.27,15.11,15.11,15.11,15.11,15.11,15.11,15.11
2094,14.21,15.07,15.07,15.07,15.07,15.07,15.07,15.07
2095,14.19,14.99,14.99,14.99,14.99,14.99,14.99,14.99
2096,14.72,15.62,15.62,15.62,15.62,15.62,15.62,15.62
2097,14.42,15.41,15.41,15.41,15.41,15.41,15.41,15.41
2098,14.48,15.25,15.25,15.25,15.25,15.25,15.25,15.25
2099,14.34,15.27,15.27,15.27,15.27,15.27,15.27,15.27
2100,14.50,15.30,15.30,15.30,15.30,15.30,15.30,15.30
