Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
2015,15.24,15.67,16.91,10.96,22.25,10.09,17.81,21.00,18.57,23.09,8.54,15.71,15.67,11.58,21.61,10.34,12.15,15.29,9.56,17.20,7.65,19.21,21.11,5.09,15.87
2016,15.15,15.52,16.87,10.88,22.21,10.03,17.63,20.95,18.51,23.13,8.67,15.50,15.55,11.47,21.53,10.25,12.00,15.29,9.46,17.04,7.69,19.05,20.96,5.09,15.74
2017,15.07,15.34,16.85,10.94,22.07,9.88,17.63,20.77,18.40,22.96,8.69,15.36,15.61,11.40,21.38,10.11,11.85,15.28,9.42,17.01,7.70,18.97,20.98,5.08,15.87
2018,15.15,15.39,16.91,10.94,22.27,10.04,17.75,20.86,18.51,23.10,8.58,15.47,15.74,11.52,21.39,10.21,11.95,15.26,9.59,17.13,7.76,19.12,21.02,5.13,15.79
2019,15.15,15.52,16.99,10.94,22.19,9.88,17.81,20.95,18.56,23.09,8.73,15.55,15.64,11.46,21.65,10.04,11.90,15.29,9.48,17.21,7.58,19.20,21.07,5.04,15.84
2020,15.27,15.64,17.19,11.07,22.29,10.02,17.86,21.04,18.66,23.27,8.60,15.61,15.81,11.70,21.70,10.28,12.11,15.42,9.72,17.31,7.62,19.20,21.19,5.09,16.04
2021,15.26,15.66,17.05,11.09,22.29,10.09,17.71,20.96,18.61,23.21,8.75,15.72,15.74,11.66,21.66,10.26,12.14,15.43,9.72,17.21,7.70,19.16,21.05,5.03,16.00
2022,15.16,15.47,16.77,10.90,22.07,10.04,17.64,20.91,18.46,22.97,8.78,15.67,15.59,11.64,21.56,10.32,12.08,15.28,9.57,17.19,7.64,19.04,20.87,5.06,15.80
2023,15.32,15.61,17.01,11.09,22.31,10.25,17.79,21.15,18.66,23.12,8.86,15.70,15.71,11.72,21.66,10.48,12.26,15.47,9.62,17.20,7.89,19.24,21.18,5.24,15.97
2024,15.34,15.53,16.86,11.32,22.52,10.16,17.83,21.09,18.63,23.37,9.05,15.61,15.89,11.64,21.79,10.37,12.11,15.66,9.77,17.23,7.81,19.28,21.34,5.13,16.19
2025,15.39,15.70,17.37,11.24,22.44,10.14,18.02,21.09,18.90,23.31,8.90,15.57,15.92,11.76,21.74,10.40,12.10,15.58,9.85,17.36,7.88,19.49,21.33,5.12,16.13
2026,15.38,15.64,17.14,11.25,22.45,10.20,17.89,21.10,18.66,23.26,8.99,15.77,15.93,11.79,21.59,10.48,12.18,15.57,9.79,17.37,7.92,19.28,21.28,5.29,16.10
2027,15.40,15.71,17.21,11.24,22.40,10.20,18.03,21.17,18.71,23.32,8.96,15.79,15.92,11.71,21.77,10.38,12.16,15.57,9.83,17.34,7.94,19.41,21.22,5.21,16.09
2028,15.37,15.72,17.19,11.15,22.44,10.23,17.79,21.07,18.73,23.29,9.01,15.73,15.77,11.77,21.85,10.50,12.24,15.57,9.74,17.26,7.90,19.26,21.17,5.20,16.10
2029,15.43,15.68,17.12,11.47,22.36,10.16,17.98,21.08,18.62,23.36,9.34,15.84,16.08,11.84,21.87,10.43,12.25,15.77,9.96,17.42,7.86,19.24,21.25,5.17,16.24
2030,15.57,16.03,17.47,11.32,22.52,10.43,18.15,21.30,19.00,23.38,8.98,16.00,16.05,11.97,21.88,10.67,12.46,15.63,10.00,17.50,8.04,19.55,21.31,5.27,16.15
2031,15.54,15.85,17.21,11.35,22.49,10.50,18.12,21.18,18.86,23.29,9.05,15.96,15.99,11.96,21.80,10.79,12.49,15.69,10.00,17.53,8.03,19.46,21.37,5.27,16.20
2032,15.52,15.72,17.16,11.41,22.68,10.30,17.91,21.44,18.87,23.55,9.25,15.87,16.03,11.88,22.09,10.50,12.31,15.81,9.98,17.43,8.04,19.41,21.37,5.37,16.24
2033,15.62,16.01,17.51,11.43,22.59,10.46,18.14,21.24,19.02,23.51,9.09,15.99,16.14,12.04,21.97,10.71,12.50,15.74,10.04,17.53,8.07,19.59,21.44,5.41,16.34
