Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2015,22.18,11.06,25.05,17.64,25.08,14.40,23.48,19.52,11.16,14.33,22.51
2016,22.24,11.05,25.09,17.76,25.03,14.50,23.55,19.58,11.11,14.41,22.58
2017,22.49,11.26,25.07,17.99,25.26,14.68,23.77,19.87,11.13,14.50,22.88
2018,22.47,11.30,25.11,17.89,25.29,14.70,23.89,19.76,11.16,14.43,22.78
2019,22.31,11.31,25.23,17.84,25.13,14.72,23.64,19.67,11.24,14.49,22.63
2020,22.25,11.07,25.06,17.69,25.02,14.57,23.56,19.61,11.35,14.39,22.62
2021,22.38,11.15,25.07,17.82,25.16,14.61,23.71,19.74,11.19,14.48,22.76
2022,22.47,11.28,25.20,17.83,25.39,14.76,23.81,19.79,11.28,14.48,22.80
2023,22.55,11.43,25.30,18.08,25.31,14.80,23.90,19.94,11.35,14.62,22.87
2024,22.64,11.35,25.18,18.04,25.54,14.75,23.95,20.04,11.39,14.67,22.97
2025,22.54,11.42,25.29,17.96,25.40,14.73,23.90,19.88,11.38,14.62,22.85
2026,22.63,11.42,25.19,18.07,25.41,14.82,23.97,20.03,11.42,14.71,22.97
2027,22.63,11.47,25.15,18.13,25.42,14.80,23.92,20.04,11.59,14.80,22.99
2028,22.64,11.55,25.21,18.12,25.52,14.99,24.01,19.93,11.56,14.79,22.94
2029,22.80,11.45,25.43,18.19,25.71,14.91,24.19,20.03,11.55,14.77,23.12
2030,22.70,11.43,25.42,18.10,25.58,14.81,24.00,20.04,11.47,14.66,23.05
2031,22.76,11.52,25.28,18.24,25.55,14.98,24.03,20.07,11.50,14.77,23.17
2032,22.99,11.79,25.34,18.32,25.93,15.28,24.23,20.34,11.52,14.88,23.38
2033,22.82,11.49,25.53,18.25,25.74,14.93,24.22,20.17,11.58,14.82,23.05
2034,22.93,11.67,25.52,18.36,25.77,15.03,24.12,20.35,11.63,14.88,23.36
2035,22.82,11.67,25.54,18.21,25.75,15.02,24.26,20.08,11.62,14.80,23.08
2036,22.77,11.40,25.60,18.15,25.67,14.89,24.10,20.15,11.70,14.85,23.07
2037,23.13,11.86,25.38,18.63,26.02,15.23,24.55,20.44,11.58,14.95,23.41
2038,23.08,11.70,25.54,18.43,25.97,15.12,24.53,20.24,11.65,14.95,23.41
2039,23.00,11.97,25.52,18.55,25.87,15.22,24.37,20.26,11.80,15.10,23.28
2040,23.03,11.76,25.51,18.40,25.82,15.22,24.37,20.31,11.77,15.00,23.44
2041,23.02,11.93,25.53,18.56,25.83,15.33,24.35,20.30,11.79,15.06,23.38
2042,23.08,11.67,25.59,18.41,25.95,15.14,24.32,20.35,11.78,15.02,23.54
2043,23.13,11.92,25.60,18.56,25.99,15.32,24.50,20.35,11.97,15.13,23.50
2044,23.15,11.95,25.67,18.58,26.03,15.35,24.57,20.53,11.95,15.21,23.40
2045,23.07,11.96,25.68,18.53,25.92,15.43,24.42,20.37,11.92,15.10,23.41
2046,23.25,12.07,25.68,18.65,26.17,15.43,24.54,20.61,11.90,15.18,23.59
2047,23.30,12.11,25.70,18.72,26.12,15.53,24.65,20.66,12.06,15.30,23.67
2048,23.50,12.29,25.64,19.03,26.38,15.76,24.83,20.93,12.04,15.43,23.80
2049,23.31,12.24,25.77,18.87,26.13,15.61,24.74,20.58,12.03,15.32,23.58
2050,23.33,12.06,25.80,18.77,26.23,15.51,24.73,20.64,11.99,15.28,23.60
2051,23.47,12.22,25.75,18.84,26.45,15.51,24.85,20.68,12.08,15.33,23.79
2052,23.46,12.27,25.76,18.92,26.34,15.75,24.75,20.69,12.12,15.42,23.85
2053,23.48,12.42,25.85,18.92,26.33,15.78,24.68,20.86,12.15,15.50,23.91
2054,23.34,12.04,25.85,18.75,26.17,15.49,24.70,20.61,12.00,15.17,23.72
2055,23.50,12.23,25.82,18.93,26.41,15.54,24.90,20.70,12.09,15.33,23.84
2056,23.56,12.33,25.85,18.96,26.41,15.78,24.85,20.88,12.33,15.50,23.97
2057,23.66,12.36,26.04,19.17,26.56,15.78,25.15,20.90,12.02,15.38,23.91
2058,23.58,12.36,25.93,18.95,26.56,15.78,24.98,20.78,12.00,15.38,23.90
2059,23.67,12.56,25.90,19.24,26.54,15.88,25.10,20.86,12.22,15.40,23.98
2060,23.76,12.36,25.94,19.14,26.69,15.86,25.23,20.88,12.24,15.48,24.08
2061,23.73,12.38,26.06,19.17,26.73,15.80,25.19,20.88,12.17,15.47,23.97
2062,23.50,12.44,25.78,19.10,26.31,15.69,24.86,20.86,12.24,15.60,23.80
2063,23.92,12.51,26.05,19.38,26.88,15.80,25.35,21.23,12.29,15.68,24.14
2064,23.70,12.64,26.15,19.11,26.61,15.91,25.08,20.91,12.18,15.51,24.05
2065,23.71,12.59,26.00,19.20,26.51,15.68,25.19,20.89,12.16,15.52,24.05
2066,23.84,12.60,26.20,19.28,26.76,15.92,25.17,21.07,12.26,15.73,24.19
2067,23.93,12.66,26.05,19.39,26.88,15.92,25.24,21.30,12.41,15.89,24.23
2068,23.99,12.64,26.14,19.36,26.93,16.00,25.37,21.15,12.36,15.74,24.34
2069,23.86,12.50,26.09,19.25,26.76,16.03,25.25,21.13,12.24,15.61,24.18
2070,23.70,12.54,26.06,19.22,26.51,16.03,24.94,21.01,12.39,15.71,24.11
2071,23.82,12.56,26.17,19.26,26.60,15.86,25.16,21.15,12.41,15.66,24.20
2072,23.92,12.64,26.33,19.32,26.79,16.10,25.23,21.17,12.34,15.79,24.34
2073,24.06,12.98,26.24,19.54,26.96,16.27,25.45,21.30,12.43,15.85,24.37
2074,23.87,12.57,26.23,19.18,26.84,16.04,25.16,21.19,12.49,15.79,24.24
