Variable:,tas
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
2015,14.40,16.08,14.11,15.83,8.30,9.11,9.34,11.75,11.30,13.10,10.43,15.87
2016,14.29,15.95,14.17,15.86,8.46,8.99,9.53,11.81,11.48,13.11,10.57,15.72
2017,14.34,15.96,14.14,15.76,8.27,9.00,9.42,11.76,11.48,13.01,10.50,15.82
2018,14.50,16.08,14.08,15.88,8.43,9.23,9.37,11.45,11.24,13.22,10.38,15.97
2019,14.19,15.78,14.01,15.68,8.18,8.81,9.32,11.73,11.25,12.98,10.40,15.66
2020,14.43,16.06,14.18,15.87,8.36,9.14,9.38,11.74,11.40,13.22,10.44,15.90
2021,14.43,16.10,14.18,15.91,8.45,9.06,9.54,11.81,11.60,13.17,10.57,15.88
2022,14.68,16.34,14.54,16.20,8.66,9.42,9.76,12.15,11.74,13.47,10.87,16.13
2023,14.48,16.01,14.31,15.92,8.72,9.18,9.78,11.94,11.82,13.42,10.78,15.88
2024,14.71,16.36,14.40,16.07,8.51,9.41,9.52,12.07,11.50,13.37,10.66,16.20
2025,14.94,16.59,14.70,16.39,8.86,9.63,9.91,12.36,11.88,13.64,10.99,16.43
2026,14.80,16.52,14.58,16.27,8.74,9.51,9.74,12.20,11.82,13.57,10.81,16.27
2027,14.87,16.53,14.54,16.29,8.87,9.62,9.94,12.16,11.89,13.54,10.96,16.36
2028,14.82,16.45,14.57,16.31,8.77,9.49,9.72,12.21,11.74,13.59,10.80,16.27
2029,14.86,16.52,14.59,16.34,8.69,9.53,9.74,12.16,11.70,13.55,10.85,16.31
2030,14.85,16.38,14.57,16.24,8.71,9.51,9.75,12.23,11.79,13.50,10.83,16.34
2031,14.99,16.73,14.77,16.50,8.90,9.88,9.89,12.42,11.80,13.74,11.01,16.42
2032,15.02,16.63,14.84,16.53,8.95,9.67,10.02,12.48,11.96,13.68,11.10,16.50
2033,14.95,16.57,14.77,16.49,8.97,9.70,10.07,12.44,12.05,13.73,11.13,16.36
2034,14.71,16.38,14.44,16.15,8.73,9.38,9.73,12.08,11.79,13.44,10.77,16.17
2035,14.97,16.61,14.77,16.46,8.94,9.70,9.99,12.43,11.97,13.75,11.07,16.43
