Variable:,tas
,"Cote d'Ivoire",Denguele,Savanes,"Vallee Du Bandama",Zanzan,Comoe,"District autonome de Abidjan","District autonome de Yamoussoukro",Gôh-Djiboua,Lacs,Lagunes,Montagnes,Sassandra-Marahoue,Woroba,"Bas Sassandra"
2015,26.94,25.96,26.97,27.04,27.64,27.19,26.88,26.69,26.55,27.29,27.02,25.88,26.42,25.97,26.25
2016,26.87,25.99,26.96,26.93,27.50,27.10,26.81,26.63,26.50,27.22,26.96,25.81,26.33,25.95,26.15
2017,27.00,26.03,27.09,27.08,27.74,27.21,26.86,26.77,26.58,27.36,27.04,25.84,26.41,25.97,26.23
2018,27.00,26.00,27.05,27.04,27.69,27.28,26.95,26.75,26.62,27.39,27.12,25.95,26.46,26.01,26.30
2019,27.03,26.04,27.08,27.08,27.68,27.31,27.02,26.88,26.76,27.40,27.18,25.98,26.52,26.05,26.40
2020,27.02,26.07,27.06,27.12,27.67,27.28,26.94,26.82,26.66,27.42,27.10,26.00,26.53,26.11,26.30
2021,27.11,26.10,27.15,27.21,27.79,27.37,26.98,26.89,26.72,27.50,27.17,26.03,26.57,26.19,26.37
2022,27.25,26.37,27.36,27.33,27.93,27.44,27.09,27.01,26.82,27.58,27.26,26.15,26.68,26.35,26.45
2023,27.16,26.19,27.21,27.25,27.81,27.44,27.10,26.96,26.82,27.55,27.26,26.08,26.63,26.23,26.47
2024,27.30,26.37,27.35,27.34,27.94,27.51,27.18,27.19,26.97,27.67,27.35,26.30,26.83,26.37,26.62
2025,27.25,26.27,27.31,27.34,27.92,27.51,27.17,27.04,26.86,27.62,27.32,26.18,26.74,26.32,26.49
2026,27.32,26.44,27.44,27.42,28.03,27.47,27.12,27.06,26.88,27.65,27.30,26.23,26.73,26.36,26.52
2027,27.32,26.41,27.40,27.37,28.01,27.57,27.27,27.04,26.92,27.68,27.40,26.21,26.71,26.39,26.56
2028,27.36,26.36,27.44,27.45,28.06,27.57,27.21,27.17,26.97,27.76,27.40,26.24,26.80,26.37,26.60
2029,27.54,26.49,27.59,27.65,28.26,27.71,27.32,27.34,27.13,27.93,27.53,26.46,27.02,26.59,26.74
2030,27.28,26.29,27.31,27.38,28.00,27.49,27.11,27.07,26.87,27.66,27.31,26.20,26.77,26.34,26.49
2031,27.46,26.48,27.55,27.55,28.21,27.63,27.29,27.22,27.05,27.82,27.47,26.32,26.90,26.50,26.67
2032,27.48,26.51,27.54,27.55,28.21,27.72,27.36,27.20,27.08,27.83,27.52,26.41,26.92,26.51,26.77
2033,27.57,26.58,27.66,27.67,28.28,27.76,27.40,27.30,27.15,27.94,27.57,26.40,27.00,26.60,26.78
2034,27.49,26.58,27.62,27.61,28.22,27.65,27.35,27.22,27.06,27.83,27.50,26.41,26.93,26.55,26.71
2035,27.46,26.55,27.54,27.53,28.12,27.65,27.32,27.21,27.05,27.83,27.49,26.39,26.92,26.52,26.72
2036,27.44,26.44,27.55,27.51,28.19,27.68,27.36,27.18,27.02,27.79,27.51,26.34,26.86,26.45,26.71
2037,27.67,26.81,27.81,27.78,28.34,27.85,27.48,27.39,27.21,27.98,27.66,26.54,27.12,26.75,26.84
2038,27.80,26.86,27.91,27.91,28.51,27.96,27.57,27.56,27.38,28.17,27.78,26.61,27.22,26.85,26.97
2039,27.74,26.81,27.85,27.86,28.48,27.88,27.50,27.49,27.30,28.09,27.70,26.62,27.18,26.78,26.91
2040,27.73,26.71,27.80,27.82,28.39,27.95,27.55,27.55,27.33,28.14,27.76,26.64,27.23,26.83,26.92
2041,27.67,26.64,27.76,27.78,28.49,27.88,27.46,27.38,27.19,27.99,27.64,26.54,27.05,26.68,26.82
2042,27.75,26.83,27.87,27.86,28.48,27.92,27.57,27.46,27.26,28.10,27.73,26.58,27.15,26.80,26.91
2043,27.68,26.77,27.78,27.78,28.40,27.86,27.49,27.42,27.25,28.02,27.66,26.58,27.12,26.73,26.90
2044,27.82,26.99,28.01,27.92,28.51,27.95,27.55,27.49,27.31,28.09,27.74,26.68,27.22,26.87,26.94
2045,27.89,27.03,28.08,28.00,28.58,28.00,27.67,27.62,27.44,28.19,27.84,26.73,27.30,27.00,27.04
2046,27.91,26.99,28.03,28.04,28.66,28.03,27.70,27.62,27.44,28.21,27.86,26.80,27.32,27.00,27.07
2047,28.03,27.10,28.16,28.12,28.76,28.20,27.83,27.66,27.50,28.37,28.01,26.87,27.43,27.09,27.16
2048,28.03,27.12,28.13,28.13,28.77,28.18,27.85,27.78,27.56,28.37,28.01,26.88,27.45,27.11,27.18
2049,27.91,27.06,28.03,28.01,28.62,28.05,27.71,27.60,27.45,28.21,27.89,26.75,27.30,26.98,27.07
2050,27.83,27.01,27.90,27.90,28.49,27.98,27.63,27.61,27.42,28.19,27.83,26.79,27.30,26.93,27.05
2051,27.94,27.01,28.08,28.08,28.67,28.04,27.65,27.63,27.41,28.27,27.84,26.80,27.34,27.01,27.04
