Variable:,tas
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
2015,24.89,26.63,22.81,24.46,27.95,26.62,17.14,20.97,20.32,25.77,25.63,20.97,27.95,26.10,25.53,20.22,26.55,26.03,25.83,18.86,27.86,25.12,20.85,22.78,24.80,18.09,21.99,26.98,22.11,27.30,19.10,23.72,26.17,27.19
2016,25.04,26.77,22.94,24.59,27.90,26.76,17.28,21.09,20.39,25.93,25.75,21.09,28.07,26.26,25.68,20.33,26.70,26.11,26.02,18.97,27.90,25.24,20.99,22.95,24.95,18.16,22.09,26.99,22.24,27.43,19.20,23.83,26.35,27.37
2017,25.13,26.91,22.99,24.79,28.17,26.88,17.41,21.14,20.47,26.02,25.91,21.14,28.23,26.28,25.77,20.46,26.77,26.21,26.04,19.08,28.12,25.35,21.02,22.97,25.08,18.28,22.16,27.03,22.37,27.55,19.32,23.88,26.39,27.48
2018,25.08,26.94,22.96,24.64,28.06,26.74,17.32,21.16,20.44,26.03,25.78,21.16,28.11,26.35,25.67,20.38,26.75,26.13,26.07,19.04,28.02,25.27,21.07,22.88,25.05,18.23,22.16,27.06,22.24,27.43,19.24,23.92,26.43,27.35
2019,25.10,26.84,23.05,24.61,28.08,26.84,17.43,21.12,20.47,26.01,25.79,21.12,28.09,26.26,25.77,20.50,26.76,26.10,26.11,19.11,28.02,25.36,20.98,22.91,25.07,18.26,22.18,27.08,22.39,27.48,19.32,23.87,26.40,27.37
2020,25.04,26.73,22.97,24.69,27.95,26.76,17.33,21.14,20.44,25.94,25.80,21.14,28.01,26.29,25.71,20.39,26.71,26.09,26.02,19.07,27.92,25.29,21.02,22.91,25.01,18.22,22.13,27.07,22.29,27.45,19.26,23.86,26.33,27.30
2021,25.17,26.92,23.09,24.75,28.13,26.93,17.40,21.27,20.59,26.05,25.88,21.27,28.27,26.42,25.86,20.43,26.80,26.19,26.16,19.14,28.13,25.38,21.15,23.08,25.09,18.37,22.29,27.16,22.43,27.61,19.38,24.02,26.49,27.45
2022,25.32,27.16,23.12,24.91,28.17,26.97,17.59,21.30,20.62,26.28,26.08,21.30,28.35,26.33,25.82,20.63,26.97,26.38,26.36,19.29,28.17,25.59,21.16,23.19,25.28,18.42,22.28,27.24,22.52,27.61,19.49,23.97,26.70,27.65
2023,25.31,27.14,23.18,24.86,28.26,27.01,17.60,21.32,20.65,26.25,26.06,21.32,28.32,26.39,25.92,20.64,27.00,26.33,26.35,19.28,28.23,25.60,21.20,23.09,25.26,18.45,22.32,27.19,22.53,27.67,19.48,24.00,26.68,27.57
2024,25.40,27.12,23.26,25.08,28.33,27.08,17.68,21.40,20.77,26.26,26.21,21.40,28.42,26.51,25.96,20.72,27.06,26.43,26.37,19.33,28.29,25.67,21.27,23.25,25.28,18.55,22.43,27.40,22.64,27.73,19.58,24.16,26.67,27.74
