Variable:,tas
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
2015,25.99,26.48,26.15,26.11,25.76,26.14,25.97,25.85,26.65,26.18,26.48,26.13,26.27,26.08,25.92,25.65
2016,26.07,26.52,26.20,26.23,25.88,26.17,26.00,25.89,26.82,26.31,26.52,26.25,26.40,26.13,25.96,25.75
2017,26.08,26.56,26.23,26.23,25.84,26.28,26.09,25.98,26.77,26.24,26.60,26.22,26.36,26.17,26.06,25.75
2018,26.09,26.57,26.24,26.25,25.97,26.20,25.99,25.89,26.78,26.35,26.56,26.28,26.45,26.13,25.96,25.76
2019,26.11,26.60,26.26,26.22,25.92,26.24,26.08,25.97,26.74,26.27,26.61,26.23,26.42,26.15,26.04,25.76
2020,26.15,26.62,26.32,26.34,26.01,26.24,26.04,25.95,26.85,26.41,26.60,26.38,26.47,26.26,26.02,25.89
2021,26.16,26.62,26.31,26.29,25.96,26.27,26.12,26.00,26.80,26.35,26.63,26.30,26.45,26.22,26.06,25.83
2022,26.16,26.64,26.31,26.30,25.89,26.35,26.18,26.07,26.82,26.34,26.69,26.30,26.41,26.24,26.14,25.82
2023,26.31,26.78,26.44,26.49,26.15,26.43,26.23,26.13,27.00,26.58,26.78,26.53,26.67,26.38,26.20,26.01
2024,26.34,26.83,26.49,26.48,26.13,26.47,26.33,26.19,27.05,26.54,26.84,26.49,26.64,26.39,26.26,26.00
2025,26.32,26.80,26.47,26.49,26.13,26.46,26.29,26.19,27.01,26.54,26.81,26.49,26.63,26.40,26.26,26.00
2026,26.43,26.89,26.54,26.59,26.26,26.55,26.36,26.27,27.08,26.65,26.91,26.62,26.73,26.51,26.33,26.13
2027,26.44,26.95,26.64,26.63,26.14,26.53,26.33,26.24,27.05,26.59,26.92,26.60,26.66,26.58,26.30,26.19
2028,26.35,26.83,26.49,26.51,26.22,26.48,26.27,26.17,27.00,26.61,26.85,26.57,26.63,26.40,26.24,26.02
2029,26.38,26.85,26.53,26.51,26.16,26.49,26.32,26.22,27.06,26.60,26.86,26.54,26.71,26.47,26.28,26.04
2030,26.43,26.91,26.59,26.60,26.26,26.55,26.37,26.28,27.07,26.64,26.90,26.62,26.72,26.53,26.35,26.14
2031,26.48,26.94,26.62,26.66,26.32,26.60,26.36,26.31,27.15,26.71,26.98,26.66,26.80,26.57,26.36,26.20
2032,26.65,27.10,26.77,26.84,26.50,26.73,26.53,26.45,27.35,26.91,27.11,26.86,26.98,26.70,26.50,26.36
2033,26.46,26.88,26.58,26.62,26.26,26.59,26.46,26.32,27.13,26.66,26.94,26.63,26.78,26.53,26.39,26.13
2034,26.51,26.99,26.62,26.70,26.37,26.66,26.48,26.38,27.24,26.76,27.02,26.71,26.86,26.59,26.45,26.21
2035,26.52,26.98,26.65,26.68,26.38,26.62,26.43,26.34,27.16,26.76,26.97,26.72,26.81,26.61,26.41,26.23
2036,26.54,27.01,26.69,26.71,26.31,26.69,26.53,26.42,27.23,26.73,27.04,26.71,26.85,26.61,26.49,26.24
2037,26.60,27.08,26.73,26.76,26.41,26.74,26.56,26.50,27.23,26.81,27.08,26.78,26.91,26.63,26.57,26.28
2038,26.71,27.19,26.84,26.83,26.51,26.88,26.67,26.61,27.39,26.89,27.22,26.84,27.00,26.77,26.68,26.37
2039,26.70,27.22,26.82,26.81,26.47,26.90,26.66,26.59,27.35,26.86,27.26,26.83,26.95,26.74,26.67,26.34
2040,26.62,27.08,26.74,26.84,26.37,26.77,26.64,26.52,27.33,26.83,27.12,26.82,26.96,26.73,26.60,26.35
2041,26.65,27.12,26.81,26.81,26.45,26.82,26.60,26.52,27.33,26.84,27.15,26.80,26.92,26.75,26.59,26.35
2042,26.64,27.12,26.79,26.78,26.48,26.78,26.55,26.46,27.30,26.86,27.13,26.82,26.94,26.69,26.53,26.32
2043,26.78,27.27,26.93,26.91,26.61,26.91,26.66,26.59,27.43,26.95,27.29,26.91,27.07,26.87,26.64,26.46
2044,26.75,27.26,26.92,26.89,26.57,26.89,26.68,26.63,27.42,26.95,27.26,26.91,27.04,26.83,26.69,26.42
2045,26.85,27.33,26.97,27.00,26.61,26.99,26.80,26.73,27.43,27.00,27.37,26.99,27.06,26.91,26.79,26.55
2046,26.75,27.22,26.89,26.91,26.54,26.89,26.67,26.59,27.36,26.94,27.26,26.92,27.00,26.79,26.65,26.45
2047,26.75,27.31,26.95,26.87,26.44,26.93,26.72,26.64,27.46,26.90,27.31,26.87,27.03,26.87,26.72,26.43
2048,26.95,27.40,27.07,27.09,26.78,27.08,26.90,26.79,27.63,27.17,27.41,27.12,27.25,27.03,26.86,26.64
2049,26.89,27.39,27.02,26.97,26.66,27.06,26.89,26.79,27.53,27.08,27.42,27.02,27.20,26.93,26.85,26.50
2050,26.98,27.48,27.17,27.11,26.75,27.10,26.90,26.85,27.56,27.13,27.48,27.10,27.24,27.08,26.90,26.66
2051,26.98,27.46,27.13,27.18,26.81,27.13,26.90,26.82,27.64,27.21,27.47,27.18,27.27,27.08,26.90,26.71
2052,26.93,27.36,27.05,27.05,26.75,27.09,27.01,26.86,27.66,27.14,27.42,27.08,27.28,27.00,26.93,26.58
2053,27.05,27.55,27.19,27.20,26.88,27.18,26.98,26.88,27.69,27.27,27.54,27.24,27.34,27.10,26.95,26.72
2054,27.07,27.55,27.25,27.23,26.90,27.19,26.97,26.88,27.74,27.29,27.55,27.24,27.35,27.15,26.95,26.76
2055,27.11,27.59,27.24,27.27,26.92,27.27,27.06,26.98,27.77,27.33,27.61,27.28,27.40,27.17,27.04,26.79
2056,27.04,27.53,27.20,27.20,26.89,27.17,26.98,26.90,27.65,27.22,27.50,27.18,27.30,27.16,26.96,26.77
2057,27.17,27.65,27.29,27.30,26.97,27.36,27.16,27.07,27.85,27.35,27.70,27.31,27.49,27.24,27.14,26.84
2058,27.15,27.63,27.32,27.30,26.96,27.28,27.08,27.00,27.81,27.36,27.65,27.31,27.43,27.27,27.06,26.86
2059,27.15,27.55,27.23,27.27,26.90,27.33,27.22,27.04,27.80,27.33,27.63,27.29,27.42,27.20,27.12,26.78
2060,27.22,27.72,27.39,27.38,27.03,27.39,27.20,27.11,27.84,27.42,27.74,27.39,27.48,27.32,27.18,26.94
2061,27.21,27.71,27.35,27.35,26.96,27.37,27.15,27.09,27.78,27.41,27.75,27.38,27.46,27.25,27.15,26.89
2062,27.19,27.68,27.32,27.34,27.00,27.36,27.15,27.10,27.77,27.35,27.70,27.31,27.43,27.25,27.16,26.88
2063,27.18,27.64,27.31,27.34,27.01,27.31,27.13,27.02,27.88,27.38,27.67,27.36,27.46,27.27,27.10,26.88
2064,27.34,27.83,27.48,27.48,27.13,27.48,27.25,27.20,27.96,27.50,27.85,27.47,27.58,27.39,27.26,27.02
2065,27.31,27.81,27.46,27.56,27.09,27.42,27.28,27.20,27.94,27.53,27.78,27.51,27.57,27.41,27.28,27.08
2066,27.31,27.84,27.51,27.51,27.05,27.51,27.34,27.23,27.93,27.48,27.84,27.48,27.52,27.44,27.30,27.05
2067,27.43,27.98,27.59,27.55,27.19,27.65,27.42,27.37,28.02,27.60,27.98,27.56,27.61,27.49,27.44,27.08
2068,27.39,27.86,27.53,27.59,27.23,27.53,27.30,27.27,27.95,27.58,27.86,27.56,27.64,27.48,27.33,27.13
2069,27.39,27.92,27.52,27.45,27.14,27.60,27.37,27.36,27.95,27.53,27.95,27.48,27.59,27.40,27.41,27.02
2070,27.40,27.91,27.59,27.53,27.23,27.58,27.34,27.30,28.02,27.57,27.92,27.52,27.66,27.48,27.36,27.06
2071,27.44,27.98,27.63,27.58,27.20,27.58,27.35,27.30,28.04,27.64,27.98,27.59,27.71,27.50,27.34,27.11
2072,27.38,27.87,27.53,27.61,27.19,27.50,27.29,27.22,28.01,27.63,27.88,27.58,27.69,27.44,27.27,27.10
2073,27.36,27.85,27.50,27.48,27.14,27.53,27.33,27.26,28.02,27.53,27.89,27.48,27.64,27.39,27.33,27.00
2074,27.42,27.91,27.58,27.55,27.24,27.55,27.40,27.27,28.09,27.60,27.93,27.58,27.65,27.54,27.33,27.11
2075,27.41,27.95,27.58,27.55,27.14,27.55,27.36,27.27,28.06,27.55,27.94,27.52,27.65,27.46,27.32,27.07
2076,27.44,28.03,27.63,27.56,27.17,27.63,27.40,27.32,28.05,27.61,27.99,27.58,27.69,27.52,27.39,27.10
2077,27.61,28.14,27.74,27.74,27.33,27.82,27.60,27.55,28.16,27.77,28.18,27.74,27.80,27.68,27.62,27.27
2078,27.59,28.14,27.78,27.74,27.34,27.74,27.49,27.46,28.25,27.76,28.11,27.73,27.90,27.67,27.51,27.29
2079,27.52,28.09,27.73,27.66,27.29,27.66,27.46,27.40,28.12,27.71,28.04,27.67,27.78,27.61,27.46,27.25
2080,27.61,28.15,27.76,27.71,27.27,27.74,27.55,27.49,28.12,27.68,28.19,27.68,27.75,27.64,27.52,27.26
2081,27.52,28.02,27.69,27.68,27.34,27.69,27.54,27.42,28.13,27.71,28.04,27.68,27.77,27.61,27.49,27.20
2082,27.60,28.07,27.77,27.75,27.38,27.74,27.48,27.45,28.12,27.76,28.11,27.75,27.83,27.67,27.51,27.33
2083,27.58,28.06,27.74,27.73,27.40,27.74,27.54,27.46,28.08,27.73,28.09,27.72,27.77,27.65,27.53,27.26
2084,27.58,28.15,27.77,27.68,27.26,27.74,27.55,27.46,28.17,27.71,28.14,27.67,27.79,27.70,27.52,27.26
2085,27.76,28.29,27.94,27.94,27.51,27.91,27.61,27.64,28.27,27.96,28.32,27.93,27.94,27.85,27.70,27.48
2086,27.60,28.11,27.76,27.68,27.30,27.76,27.64,27.50,28.19,27.72,28.13,27.68,27.81,27.69,27.57,27.25
2087,27.65,28.20,27.78,27.84,27.47,27.84,27.61,27.47,28.24,27.86,28.16,27.83,27.93,27.69,27.55,27.37
2088,27.80,28.30,27.99,27.96,27.57,27.91,27.69,27.62,28.42,27.98,28.28,27.95,28.06,27.95,27.67,27.52
2089,27.60,28.08,27.74,27.70,27.33,27.75,27.60,27.48,28.15,27.77,28.10,27.73,27.85,27.69,27.56,27.28
2090,27.71,28.23,27.83,27.82,27.47,27.89,27.69,27.63,28.29,27.84,28.26,27.84,27.89,27.76,27.69,27.39
2091,27.70,28.20,27.83,27.88,27.46,27.88,27.72,27.61,28.27,27.86,28.21,27.86,27.90,27.78,27.68,27.43
2092,27.74,28.22,27.90,27.93,27.53,27.92,27.69,27.60,28.36,27.93,28.25,27.92,27.94,27.87,27.67,27.50
2093,27.70,28.26,27.88,27.81,27.45,27.90,27.72,27.61,28.28,27.85,28.27,27.82,27.90,27.77,27.67,27.34
2094,27.63,28.16,27.76,27.74,27.47,27.80,27.57,27.53,28.23,27.80,28.19,27.75,27.86,27.65,27.57,27.26
2095,27.75,28.30,27.95,27.93,27.62,27.87,27.66,27.59,28.36,27.96,28.25,27.91,28.00,27.89,27.65,27.47
2096,27.66,28.17,27.83,27.75,27.40,27.82,27.61,27.53,28.25,27.82,28.17,27.78,27.91,27.73,27.59,27.33
2097,27.65,28.16,27.80,27.83,27.40,27.82,27.55,27.52,28.25,27.80,28.19,27.77,27.87,27.74,27.57,27.37
2098,27.80,28.32,28.00,27.93,27.57,27.98,27.74,27.67,28.30,27.96,28.32,27.96,27.95,27.94,27.74,27.49
2099,27.76,28.25,27.87,27.86,27.52,27.97,27.81,27.72,28.39,27.91,28.31,27.86,27.98,27.79,27.79,27.39
2100,27.76,28.25,27.93,27.93,27.58,27.87,27.61,27.57,28.39,27.97,28.25,27.94,28.00,27.86,27.63,27.48
