Variable:,tas
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
2015,21.78,21.00,24.04,19.65,18.40,16.18,19.41,22.29,24.05,22.91,20.30,22.12,25.81,24.71,18.82,17.32,24.24,23.08,22.33,16.98,19.33,25.12,24.49,18.86,23.13,24.13
2016,21.95,21.14,24.26,19.83,18.56,16.32,19.59,22.39,24.23,23.14,20.44,22.26,26.06,24.93,18.96,17.49,24.40,23.23,22.49,17.10,19.46,25.34,24.73,19.02,23.41,24.36
2017,22.03,21.21,24.31,19.85,18.61,16.37,19.63,22.50,24.28,23.14,20.49,22.33,26.09,24.97,19.04,17.57,24.54,23.38,22.60,17.18,19.54,25.37,24.77,19.07,23.47,24.37
2018,22.02,21.21,24.32,19.90,18.61,16.37,19.62,22.47,24.29,23.17,20.51,22.28,26.10,24.93,19.04,17.52,24.51,23.37,22.57,17.15,19.47,25.36,24.77,19.06,23.41,24.35
2019,21.99,21.17,24.23,19.80,18.58,16.31,19.57,22.45,24.24,23.05,20.44,22.29,26.02,24.91,19.01,17.55,24.49,23.33,22.59,17.09,19.55,25.32,24.67,19.01,23.30,24.33
2020,22.00,21.19,24.24,19.82,18.60,16.34,19.62,22.49,24.27,23.17,20.50,22.33,26.02,24.94,19.01,17.55,24.49,23.34,22.57,17.15,19.54,25.35,24.73,19.07,23.42,24.36
2021,22.14,21.36,24.47,20.02,18.72,16.51,19.80,22.67,24.44,23.48,20.63,22.48,26.26,25.14,19.13,17.65,24.58,23.43,22.63,17.32,19.62,25.56,24.96,19.23,23.67,24.57
2022,22.19,21.36,24.39,20.00,18.77,16.51,19.75,22.64,24.38,23.35,20.64,22.44,26.16,25.04,19.21,17.72,24.73,23.57,22.79,17.30,19.68,25.47,24.86,19.20,23.51,24.47
2023,22.19,21.37,24.42,19.99,18.78,16.51,19.79,22.66,24.43,23.34,20.68,22.50,26.21,25.11,19.18,17.69,24.71,23.51,22.77,17.30,19.72,25.51,24.90,19.24,23.60,24.53
2024,22.25,21.43,24.49,20.08,18.85,16.60,19.84,22.72,24.49,23.43,20.73,22.54,26.27,25.16,19.26,17.80,24.78,23.59,22.85,17.40,19.73,25.56,24.96,19.29,23.64,24.56
2025,22.22,21.42,24.46,20.08,18.78,16.56,19.82,22.71,24.47,23.45,20.69,22.51,26.26,25.17,19.24,17.72,24.73,23.51,22.79,17.31,19.73,25.56,24.97,19.27,23.69,24.57
2026,22.29,21.49,24.59,20.15,18.82,16.64,19.92,22.78,24.54,23.40,20.72,22.58,26.39,25.27,19.29,17.80,24.78,23.60,22.85,17.41,19.78,25.68,25.08,19.34,23.77,24.70
2027,22.23,21.36,24.43,20.03,18.82,16.57,19.79,22.62,24.42,23.16,20.70,22.47,26.19,25.10,19.24,17.73,24.81,23.67,22.85,17.38,19.73,25.49,24.92,19.24,23.63,24.49
2028,22.24,21.48,24.53,20.14,18.80,16.59,19.84,22.77,24.42,23.45,20.66,22.58,26.31,25.19,19.29,17.76,24.74,23.57,22.82,17.35,19.77,25.58,25.04,19.25,23.74,24.57
2029,22.38,21.50,24.64,20.17,18.95,16.70,20.00,22.76,24.62,23.44,20.85,22.60,26.43,25.29,19.38,17.92,24.94,23.75,22.98,17.52,19.84,25.72,25.07,19.44,23.71,24.74
2030,22.18,21.36,24.42,20.01,18.76,16.50,19.77,22.64,24.42,23.28,20.66,22.49,26.21,25.13,19.20,17.70,24.69,23.54,22.77,17.28,19.69,25.53,24.92,19.21,23.64,24.54
2031,22.39,21.59,24.63,20.20,18.94,16.68,19.97,22.90,24.59,23.68,20.81,22.69,26.41,25.33,19.37,17.89,24.93,23.74,22.99,17.48,19.89,25.70,25.14,19.41,23.85,24.70
2032,22.48,21.70,24.81,20.36,19.03,16.84,20.11,22.98,24.76,23.68,20.95,22.80,26.60,25.48,19.48,17.96,24.97,23.81,23.01,17.64,19.97,25.89,25.30,19.53,23.96,24.89
2033,22.36,21.52,24.64,20.20,18.93,16.71,19.98,22.79,24.55,23.49,20.83,22.68,26.41,25.30,19.36,17.91,24.90,23.67,22.97,17.52,19.85,25.69,25.12,19.41,23.81,24.70
2034,22.33,21.51,24.63,20.17,18.87,16.67,19.96,22.78,24.56,23.49,20.75,22.61,26.42,25.28,19.34,17.90,24.84,23.68,22.90,17.49,19.81,25.70,25.08,19.37,23.71,24.71
2035,22.41,21.62,24.64,20.26,18.98,16.76,20.01,22.89,24.56,23.36,20.86,22.75,26.40,25.23,19.47,17.97,24.96,23.80,23.02,17.56,20.00,25.70,25.10,19.44,23.72,24.70
2036,22.37,21.51,24.61,20.20,18.93,16.77,20.01,22.75,24.54,23.59,20.80,22.61,26.38,25.23,19.43,17.93,24.90,23.73,22.95,17.56,19.91,25.65,25.05,19.43,23.75,24.69
2037,22.67,21.89,24.95,20.54,19.17,17.02,20.29,23.17,24.90,24.04,21.07,23.02,26.74,25.61,19.68,18.17,25.18,24.04,23.22,17.83,20.19,26.05,25.44,19.70,24.10,25.05
2038,22.65,21.83,24.92,20.49,19.24,16.99,20.27,23.11,24.89,23.71,21.13,22.93,26.69,25.56,19.66,18.19,25.16,23.98,23.22,17.80,20.13,25.97,25.40,19.72,24.08,24.97
2039,22.57,21.72,24.70,20.38,19.19,16.95,20.15,23.00,24.71,23.61,21.03,22.83,26.44,25.33,19.63,18.15,25.15,23.93,23.21,17.72,20.12,25.77,25.16,19.62,23.84,24.79
2040,22.55,21.78,24.87,20.44,19.17,16.92,20.21,23.07,24.83,23.85,21.07,22.86,26.65,25.56,19.57,18.09,24.99,23.83,23.07,17.73,20.04,25.94,25.38,19.65,24.10,24.94
2041,22.56,21.75,24.79,20.41,19.14,16.88,20.15,23.04,24.81,23.80,21.02,22.88,26.58,25.52,19.57,18.06,25.06,23.88,23.14,17.65,20.07,25.89,25.31,19.61,24.02,24.89
2042,22.72,21.90,25.02,20.55,19.27,17.04,20.34,23.18,24.92,23.93,21.14,23.01,26.82,25.67,19.69,18.27,25.25,24.04,23.31,17.86,20.21,26.08,25.49,19.75,24.16,25.10
2043,22.61,21.82,24.86,20.48,19.21,17.00,20.22,23.07,24.82,23.81,21.13,22.92,26.63,25.46,19.66,18.15,25.12,23.94,23.18,17.77,20.18,25.92,25.30,19.67,23.93,24.93
2044,22.70,21.85,25.01,20.51,19.29,17.04,20.35,23.13,24.92,23.87,21.20,22.92,26.82,25.65,19.72,18.19,25.22,24.04,23.27,17.85,20.13,26.07,25.44,19.77,24.13,25.11
2045,22.63,21.82,24.90,20.48,19.22,16.97,20.21,23.10,24.84,23.70,21.10,22.95,26.68,25.55,19.65,18.17,25.16,24.00,23.22,17.76,20.13,25.95,25.38,19.64,24.08,24.94
2046,22.79,21.90,24.95,20.55,19.33,17.09,20.36,23.19,24.94,24.11,21.22,23.02,26.73,25.61,19.81,18.32,25.38,24.20,23.41,17.88,20.29,26.03,25.42,19.81,24.14,25.06
2047,22.85,22.02,25.07,20.70,19.38,17.23,20.47,23.27,25.01,23.92,21.26,23.11,26.83,25.75,19.90,18.41,25.40,24.21,23.45,18.02,20.39,26.14,25.55,19.90,24.23,25.16
2048,23.02,22.23,25.27,20.86,19.62,17.35,20.66,23.53,25.32,24.43,21.56,23.32,27.07,26.00,19.99,18.52,25.46,24.30,23.55,18.16,20.51,26.42,25.80,20.12,24.49,25.43
2049,22.74,21.96,24.98,20.58,19.26,17.03,20.27,23.30,24.92,23.90,21.14,23.06,26.76,25.65,19.75,18.22,25.32,24.14,23.35,17.81,20.24,26.03,25.51,19.71,24.22,25.00
2050,22.76,21.98,25.01,20.63,19.36,17.15,20.36,23.26,24.99,24.01,21.27,23.14,26.79,25.67,19.81,18.28,25.26,24.06,23.32,17.93,20.33,26.10,25.50,19.80,24.20,25.11
2051,22.94,22.11,25.19,20.78,19.50,17.30,20.55,23.39,25.08,24.09,21.38,23.21,26.95,25.77,19.98,18.51,25.47,24.33,23.53,18.09,20.44,26.19,25.63,19.99,24.29,25.20
2052,23.05,22.24,25.30,20.90,19.58,17.40,20.65,23.53,25.23,24.21,21.49,23.37,27.09,25.99,20.10,18.56,25.58,24.41,23.59,18.17,20.58,26.37,25.80,20.07,24.50,25.38
2053,22.94,22.11,25.15,20.74,19.53,17.30,20.55,23.40,25.13,23.92,21.40,23.19,26.93,25.80,19.97,18.49,25.48,24.34,23.53,18.11,20.42,26.24,25.61,19.98,24.28,25.26
2054,22.96,22.12,25.17,20.76,19.50,17.25,20.52,23.43,25.14,24.18,21.38,23.28,26.95,25.84,19.95,18.48,25.55,24.39,23.57,18.04,20.42,26.25,25.68,19.96,24.38,25.25
2055,23.01,22.15,25.19,20.79,19.57,17.33,20.59,23.45,25.20,24.02,21.43,23.31,26.97,25.92,20.05,18.55,25.56,24.33,23.64,18.12,20.56,26.29,25.68,20.03,24.42,25.33
2056,23.15,22.38,25.35,21.06,19.68,17.53,20.70,23.62,25.31,24.43,21.55,23.47,27.11,26.01,20.20,18.69,25.72,24.55,23.73,18.27,20.68,26.42,25.86,20.14,24.50,25.40
2057,23.21,22.36,25.44,21.04,19.79,17.60,20.79,23.60,25.37,24.35,21.66,23.42,27.19,26.02,20.31,18.78,25.75,24.62,23.78,18.40,20.73,26.46,25.86,20.22,24.50,25.47
2058,23.13,22.31,25.36,20.96,19.71,17.52,20.75,23.56,25.30,24.14,21.59,23.44,27.13,25.97,20.20,18.69,25.64,24.51,23.71,18.32,20.71,26.43,25.79,20.18,24.43,25.45
2059,23.19,22.35,25.46,21.01,19.77,17.51,20.78,23.63,25.39,24.49,21.63,23.48,27.23,26.06,20.21,18.72,25.72,24.57,23.79,18.31,20.69,26.48,25.94,20.22,24.66,25.48
2060,23.24,22.36,25.34,21.02,19.78,17.58,20.77,23.62,25.35,24.33,21.64,23.49,27.10,26.04,20.32,18.77,25.87,24.69,23.90,18.33,20.78,26.42,25.84,20.23,24.57,25.45
2061,23.15,22.27,25.26,20.94,19.68,17.50,20.69,23.46,25.24,24.18,21.59,23.28,27.02,25.93,20.20,18.68,25.79,24.64,23.79,18.28,20.69,26.36,25.74,20.15,24.40,25.38
2062,23.23,22.31,25.38,21.01,19.79,17.59,20.81,23.56,25.32,24.39,21.67,23.42,27.14,26.01,20.29,18.79,25.83,24.67,23.85,18.38,20.70,26.43,25.83,20.26,24.54,25.47
2063,23.26,22.43,25.43,21.07,19.84,17.58,20.82,23.71,25.42,24.49,21.72,23.57,27.20,26.06,20.32,18.80,25.81,24.65,23.87,18.35,20.83,26.50,25.91,20.28,24.62,25.51
2064,23.20,22.42,25.42,21.08,19.75,17.60,20.78,23.66,25.25,24.15,21.61,23.49,27.17,26.00,20.30,18.73,25.76,24.59,23.81,18.37,20.79,26.42,25.88,20.20,24.54,25.44
