Variable:,tas
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
2015,27.31,28.14,27.86,23.50,28.56,28.41,25.84,25.00
2016,27.35,28.15,27.98,23.47,28.57,28.34,25.72,25.04
2017,27.48,28.29,28.09,23.69,28.74,28.60,25.91,25.17
2018,27.38,28.12,28.07,23.52,28.61,28.40,25.75,25.07
2019,27.50,28.34,28.04,23.71,28.71,28.56,25.96,25.19
2020,27.44,28.24,28.05,23.55,28.66,28.43,25.89,25.13
2021,27.45,28.24,28.09,23.59,28.70,28.44,25.85,25.14
2022,27.68,28.48,28.26,23.89,28.84,28.77,26.20,25.38
2023,27.70,28.56,28.33,23.91,28.87,28.75,26.21,25.43
2024,27.76,28.58,28.33,23.95,28.94,28.86,26.19,25.44
2025,27.66,28.49,28.20,23.84,28.91,28.70,26.16,25.36
2026,27.67,28.50,28.26,23.90,28.90,28.75,26.15,25.37
2027,27.64,28.45,28.25,23.78,28.91,28.70,26.04,25.33
2028,27.66,28.44,28.25,23.84,28.98,28.72,26.09,25.34
2029,27.86,28.69,28.49,24.05,29.13,28.92,26.26,25.55
2030,27.75,28.55,28.40,23.98,29.01,28.81,26.20,25.45
2031,27.80,28.56,28.45,24.04,29.07,28.88,26.26,25.52
2032,27.90,28.63,28.50,24.07,29.17,28.88,26.32,25.57
2033,27.88,28.74,28.44,24.02,29.10,28.96,26.29,25.55
2034,27.94,28.76,28.49,24.09,29.17,29.03,26.39,25.63
2035,27.89,28.70,28.53,24.01,29.12,28.90,26.30,25.62
2036,27.93,28.70,28.57,24.14,29.22,28.95,26.35,25.63
2037,28.01,28.86,28.56,24.17,29.14,29.06,26.47,25.73
2038,28.11,28.94,28.68,24.30,29.37,29.16,26.59,25.83
2039,28.22,29.10,28.75,24.41,29.38,29.33,26.69,25.95
2040,28.02,28.82,28.61,24.24,29.26,29.12,26.49,25.71
2041,28.15,29.02,28.71,24.27,29.31,29.23,26.62,25.86
2042,28.18,29.04,28.75,24.37,29.36,29.26,26.68,25.90
2043,28.22,29.04,28.81,24.40,29.43,29.30,26.70,25.95
2044,28.23,29.07,28.76,24.38,29.49,29.33,26.72,25.90
2045,28.38,29.25,28.91,24.56,29.63,29.50,26.87,26.08
2046,28.35,29.23,28.87,24.61,29.48,29.54,26.91,26.04
2047,28.42,29.28,28.97,24.63,29.64,29.50,26.97,26.13
