Variable:,tas
,Fiji,Central,Eastern,Northern,Western
2015,24.91,24.72,25.27,25.37,25.28
2016,24.91,24.67,25.20,25.39,25.20
2017,24.98,24.73,25.29,25.47,25.25
2018,24.89,24.69,25.22,25.34,25.21
2019,25.13,24.89,25.40,25.59,25.42
2020,25.02,24.82,25.33,25.47,25.36
2021,25.05,24.79,25.34,25.54,25.35
2022,25.06,24.81,25.37,25.56,25.35
2023,25.07,24.87,25.39,25.52,25.38
2024,25.19,24.98,25.51,25.65,25.52
2025,25.23,25.01,25.57,25.70,25.56
2026,25.25,25.01,25.54,25.76,25.51
2027,25.25,25.03,25.56,25.69,25.57
2028,25.21,24.98,25.51,25.68,25.51
2029,25.18,24.93,25.47,25.68,25.47
2030,25.33,25.13,25.66,25.78,25.66
2031,25.18,24.93,25.45,25.65,25.49
2032,25.19,24.91,25.44,25.68,25.47
2033,25.45,25.21,25.73,25.91,25.77
2034,25.31,25.05,25.57,25.75,25.64
2035,25.40,25.17,25.71,25.87,25.71
2036,25.37,25.17,25.66,25.82,25.69
2037,25.39,25.16,25.67,25.85,25.70
2038,25.41,25.17,25.72,25.90,25.72
2039,25.47,25.23,25.76,25.94,25.76
2040,25.39,25.15,25.70,25.85,25.69
2041,25.53,25.30,25.85,26.02,25.86
2042,25.45,25.22,25.76,25.91,25.80
2043,25.52,25.26,25.82,26.00,25.81
2044,25.49,25.25,25.77,25.96,25.79
2045,25.66,25.45,25.97,26.10,26.00
2046,25.63,25.39,25.92,26.09,25.93
2047,25.51,25.27,25.81,26.00,25.83
2048,25.52,25.29,25.85,26.00,25.83
2049,25.66,25.43,25.93,26.14,25.97
2050,25.62,25.37,25.93,26.10,25.92
2051,25.67,25.44,25.97,26.12,25.98
2052,25.71,25.47,26.00,26.18,26.00
2053,25.70,25.48,26.00,26.17,26.02
2054,25.74,25.48,25.99,26.20,26.07
2055,25.74,25.54,26.07,26.19,26.06
2056,25.80,25.59,26.12,26.27,26.12
2057,25.86,25.67,26.17,26.27,26.21
2058,25.78,25.51,26.06,26.28,26.08
2059,25.84,25.56,26.10,26.33,26.10
2060,25.88,25.65,26.14,26.33,26.19
2061,25.87,25.66,26.17,26.31,26.18
2062,25.79,25.54,26.08,26.30,26.04
2063,25.85,25.61,26.15,26.34,26.14
2064,25.89,25.65,26.17,26.35,26.21
2065,25.93,25.71,26.25,26.39,26.23
2066,25.98,25.77,26.26,26.42,26.30
2067,25.86,25.61,26.12,26.34,26.18
2068,25.88,25.66,26.19,26.33,26.20
2069,25.95,25.69,26.23,26.43,26.23
2070,26.04,25.84,26.35,26.52,26.38
2071,26.02,25.81,26.31,26.47,26.31
2072,25.89,25.65,26.15,26.34,26.23
2073,25.92,25.69,26.23,26.38,26.25
2074,26.06,25.82,26.37,26.52,26.35
2075,26.11,25.90,26.45,26.57,26.43
2076,26.03,25.78,26.32,26.52,26.29
2077,26.07,25.83,26.36,26.54,26.37
2078,26.30,26.07,26.61,26.76,26.62
2079,26.01,25.79,26.35,26.50,26.29
2080,26.05,25.85,26.33,26.47,26.39
2081,26.04,25.86,26.29,26.46,26.40
2082,26.21,26.00,26.53,26.64,26.54
2083,26.18,25.97,26.47,26.62,26.49
2084,26.13,25.91,26.44,26.58,26.47
2085,26.20,25.98,26.52,26.67,26.50
2086,26.07,25.85,26.39,26.54,26.37
2087,26.23,26.08,26.60,26.65,26.60
2088,26.13,25.93,26.43,26.55,26.49
2089,26.06,25.84,26.41,26.52,26.39
2090,26.09,25.86,26.38,26.54,26.41
2091,26.17,25.97,26.53,26.61,26.48
2092,26.16,25.91,26.47,26.65,26.44
2093,26.35,26.13,26.66,26.81,26.66
2094,26.39,26.18,26.72,26.87,26.72
2095,26.21,25.97,26.50,26.67,26.51
2096,26.23,25.99,26.53,26.69,26.53
2097,26.19,25.96,26.48,26.66,26.52
2098,26.26,26.00,26.48,26.72,26.54
2099,26.36,26.11,26.62,26.86,26.63
2100,26.38,26.11,26.62,26.85,26.66
