Variable:,tas
,Gabon,Estuaire,Haut-Ogooue,Moyen-Ogooue,Ngounie,Nyanga,Ogooue-Ivindo,Ogooue-lolo,Ogooue-Maritime,Woleu-Ntem
2015,25.56,26.53,24.77,26.50,26.11,25.81,25.63,25.60,25.98,25.11
2016,25.52,26.53,24.73,26.50,26.12,25.84,25.55,25.56,25.98,25.08
2017,25.65,26.63,24.88,26.62,26.22,25.86,25.71,25.72,26.05,25.20
2018,25.69,26.67,24.88,26.63,26.21,25.94,25.78,25.74,26.10,25.30
2019,25.66,26.65,24.89,26.61,26.21,25.88,25.72,25.72,26.06,25.24
2020,25.61,26.63,24.81,26.57,26.20,25.95,25.64,25.64,26.10,25.16
2021,25.69,26.68,24.92,26.65,26.28,26.00,25.73,25.73,26.16,25.22
2022,25.74,26.73,24.93,26.69,26.30,26.06,25.80,25.79,26.19,25.31
2023,25.81,26.76,25.02,26.76,26.36,26.06,25.88,25.86,26.21,25.40
2024,25.93,26.91,25.17,26.86,26.50,26.17,25.99,25.99,26.35,25.49
2025,25.80,26.80,25.00,26.74,26.35,26.06,25.83,25.84,26.20,25.39
2026,25.89,26.88,25.14,26.86,26.49,26.12,25.94,25.97,26.24,25.42
2027,25.86,26.88,25.08,26.82,26.42,26.15,25.90,25.88,26.31,25.42
2028,25.93,26.89,25.14,26.87,26.48,26.18,25.99,25.98,26.33,25.49
2029,26.00,26.96,25.20,26.94,26.54,26.20,26.07,26.05,26.37,25.57
2030,25.84,26.83,25.09,26.79,26.42,26.13,25.88,25.90,26.28,25.38
2031,25.96,26.92,25.21,26.87,26.52,26.19,26.03,26.05,26.34,25.52
2032,26.06,27.03,25.30,26.99,26.62,26.29,26.12,26.12,26.41,25.60
2033,26.02,26.93,25.27,26.89,26.54,26.24,26.08,26.04,26.37,25.60
2034,26.01,27.02,25.17,26.95,26.61,26.33,26.07,26.07,26.49,25.56
2035,26.05,27.04,25.24,27.01,26.60,26.31,26.11,26.07,26.45,25.59
2036,26.04,27.01,25.27,26.97,26.57,26.29,26.11,26.09,26.47,25.61
2037,26.24,27.17,25.47,27.15,26.78,26.44,26.34,26.33,26.59,25.80
2038,26.26,27.25,25.42,27.20,26.86,26.55,26.31,26.30,26.70,25.84
2039,26.28,27.23,25.49,27.22,26.82,26.50,26.36,26.32,26.61,25.87
2040,26.21,27.20,25.41,27.17,26.79,26.50,26.27,26.23,26.64,25.78
2041,26.19,27.15,25.39,27.14,26.77,26.51,26.24,26.23,26.63,25.74
2042,26.29,27.23,25.53,27.21,26.84,26.48,26.34,26.32,26.64,25.84
2043,26.24,27.19,25.46,27.17,26.82,26.56,26.26,26.30,26.68,25.78
2044,26.29,27.28,25.53,27.25,26.87,26.59,26.34,26.33,26.76,25.82
2045,26.27,27.25,25.50,27.18,26.80,26.58,26.33,26.30,26.71,25.86
2046,26.41,27.38,25.62,27.36,26.94,26.65,26.49,26.48,26.79,25.98
