Variable:,tas
,Gibraltar,"Administrative unit not available"
2015,18.49,18.36
2016,18.48,18.43
2017,18.41,18.34
2018,18.42,18.32
2019,18.52,18.47
2020,18.45,18.40
2021,18.64,18.56
2022,18.63,18.59
2023,18.61,18.57
2024,18.67,18.63
2025,18.65,18.63
2026,18.73,18.65
2027,18.91,18.88
2028,18.78,18.80
2029,18.80,18.67
2030,18.90,18.81
2031,18.81,18.66
2032,18.96,18.86
2033,18.97,18.85
2034,19.11,19.03
2035,19.12,18.97
2036,19.03,18.92
2037,19.10,19.02
2038,18.97,19.03
2039,19.08,18.96
2040,18.91,18.85
2041,19.00,18.96
2042,19.27,19.16
2043,19.09,19.00
2044,19.19,19.07
2045,19.15,19.01
2046,19.05,18.93
2047,19.23,19.17
2048,19.33,19.20
2049,19.33,19.22
2050,19.49,19.45
2051,19.50,19.31
2052,19.22,19.19
2053,19.28,19.20
2054,19.59,19.48
2055,19.50,19.30
2056,19.54,19.36
2057,19.56,19.39
2058,19.53,19.50
2059,19.72,19.55
2060,19.67,19.59
2061,19.76,19.66
2062,19.84,19.60
2063,19.90,19.73
2064,19.77,19.60
2065,19.78,19.56
2066,19.66,19.62
2067,19.67,19.55
2068,19.80,19.68
2069,19.62,19.55
2070,19.98,19.85
2071,19.78,19.58
2072,19.88,19.72
2073,20.03,19.89
2074,20.11,19.95
2075,19.81,19.69
2076,19.85,19.64
2077,19.80,19.71
2078,20.09,19.93
2079,19.97,19.78
2080,19.87,19.81
2081,19.86,19.83
2082,20.05,19.84
2083,20.07,19.80
2084,20.16,20.08
2085,20.20,20.01
2086,20.12,20.05
2087,20.27,20.07
2088,20.45,20.25
2089,20.16,19.92
2090,20.40,20.23
2091,20.16,20.08
2092,20.21,20.09
2093,20.16,19.90
2094,20.25,20.15
2095,20.04,19.98
2096,20.46,20.33
2097,20.23,20.11
2098,20.32,20.08
2099,20.21,20.08
2100,20.35,20.24
