Variable:,tas
2015,26.43
2016,26.37
2017,26.49
2018,26.40
2019,26.48
2020,26.48
2021,26.60
2022,26.64
2023,26.61
2024,26.80
2025,26.72
2026,26.72
2027,26.66
2028,26.79
2029,26.68
2030,26.75
2031,26.89
2032,26.84
2033,26.86
2034,26.82
2035,26.83
2036,26.80
2037,26.95
2038,27.01
2039,27.03
2040,27.04
2041,26.90
2042,27.05
2043,26.97
2044,26.93
2045,27.01
2046,27.04
2047,27.09
2048,27.25
2049,27.11
2050,27.07
2051,27.06
2052,27.34
2053,27.30
2054,27.24
2055,27.24
2056,27.25
2057,27.53
2058,27.30
2059,27.33
2060,27.39
2061,27.32
2062,27.23
2063,27.51
2064,27.46
2065,27.59
2066,27.53
2067,27.43
2068,27.51
2069,27.57
2070,27.59
2071,27.47
2072,27.41
2073,27.65
2074,27.56
2075,27.65
2076,27.70
2077,27.74
2078,27.69
2079,27.57
2080,27.61
2081,27.68
2082,27.68
2083,27.64
2084,27.79
2085,27.83
2086,27.84
2087,27.83
2088,27.62
2089,27.85
2090,27.88
2091,27.80
2092,27.80
2093,27.74
2094,27.84
2095,27.98
2096,27.86
2097,27.80
2098,27.74
2099,27.87
2100,27.88
