Variable:,tas
,Guinea-Bissau,Bafata,Biombo,Bolama/bijagos,Cacheu,Gabu,Oio,Quinara,"Sector Autonomo De Bissau",Tombali
2015,27.70,27.59,27.00,26.36,26.70,27.54,27.52,27.11,26.99,27.32
2016,27.65,27.54,26.92,26.26,26.60,27.50,27.42,27.04,26.91,27.28
2017,27.74,27.62,26.99,26.35,26.71,27.57,27.54,27.10,26.98,27.32
2018,27.75,27.67,26.97,26.35,26.68,27.62,27.47,27.10,26.96,27.37
2019,27.84,27.74,27.10,26.44,26.83,27.66,27.68,27.22,27.09,27.45
2020,27.71,27.60,26.98,26.36,26.75,27.55,27.53,27.10,26.97,27.33
2021,27.82,27.70,27.15,26.51,26.83,27.66,27.62,27.25,27.14,27.46
2022,27.91,27.78,27.21,26.56,26.90,27.74,27.67,27.31,27.20,27.50
2023,28.00,27.89,27.14,26.52,26.93,27.83,27.79,27.27,27.13,27.53
2024,28.13,28.03,27.35,26.70,27.06,27.98,27.88,27.47,27.34,27.71
2025,28.00,27.88,27.22,26.56,26.96,27.84,27.80,27.35,27.21,27.60
2026,28.08,27.95,27.31,26.67,27.02,27.91,27.84,27.43,27.30,27.67
2027,28.03,27.91,27.22,26.61,26.99,27.86,27.79,27.33,27.21,27.56
2028,28.09,27.97,27.37,26.74,27.08,27.93,27.88,27.48,27.36,27.69
2029,28.21,28.11,27.42,26.78,27.16,28.07,27.97,27.54,27.41,27.80
2030,27.95,27.85,27.21,26.54,26.94,27.80,27.77,27.33,27.20,27.57
2031,28.30,28.16,27.47,26.84,27.24,28.10,28.07,27.57,27.46,27.78
2032,28.14,28.03,27.33,26.76,27.09,28.00,27.85,27.45,27.32,27.70
2033,28.22,28.09,27.41,26.75,27.12,28.06,27.93,27.55,27.40,27.82
2034,28.21,28.05,27.50,26.86,27.23,28.04,28.03,27.61,27.49,27.83
2035,28.21,28.08,27.44,26.78,27.17,28.04,28.01,27.56,27.43,27.79
2036,28.23,28.11,27.42,26.76,27.15,28.06,27.99,27.55,27.41,27.81
2037,28.40,28.24,27.55,26.87,27.27,28.23,28.14,27.67,27.54,27.91
2038,28.52,28.36,27.67,27.02,27.40,28.34,28.22,27.79,27.66,28.04
2039,28.40,28.29,27.59,26.95,27.31,28.26,28.12,27.72,27.58,27.98
2040,28.52,28.40,27.67,27.06,27.47,28.36,28.26,27.81,27.66,28.08
2041,28.45,28.32,27.59,26.96,27.34,28.28,28.16,27.71,27.58,27.96
2042,28.46,28.34,27.69,27.07,27.42,28.30,28.23,27.81,27.68,28.04
2043,28.41,28.28,27.71,27.11,27.49,28.23,28.27,27.81,27.70,28.00
2044,28.50,28.34,27.65,27.01,27.39,28.31,28.20,27.76,27.64,27.97
2045,28.50,28.36,27.64,26.96,27.34,28.34,28.21,27.76,27.63,28.01
