Variable:,tas
2015,26.29
2016,26.31
2017,26.46
2018,26.45
2019,26.35
2020,26.38
2021,26.49
2022,26.67
2023,26.63
2024,26.78
2025,26.60
2026,26.65
2027,26.62
2028,26.81
2029,26.81
2030,26.68
2031,26.84
2032,26.93
2033,26.77
2034,26.70
2035,26.72
2036,26.80
2037,27.03
2038,27.14
2039,27.13
2040,26.97
2041,26.95
2042,27.01
2043,26.99
2044,26.95
2045,26.96
2046,27.32
2047,27.20
2048,27.37
2049,27.36
2050,27.25
2051,27.25
2052,27.61
2053,27.46
2054,27.40
2055,27.44
2056,27.52
2057,27.70
2058,27.39
2059,27.73
2060,27.81
2061,27.45
2062,27.44
2063,27.71
2064,27.70
2065,27.68
2066,27.67
2067,27.65
2068,27.89
2069,27.71
2070,27.74
2071,27.84
2072,27.88
2073,28.00
2074,27.82
2075,27.83
2076,27.85
2077,28.14
2078,27.95
2079,27.84
2080,28.03
2081,28.04
2082,27.94
2083,27.98
2084,28.09
2085,28.17
2086,28.11
2087,28.09
2088,27.98
2089,28.23
2090,28.17
2091,28.05
2092,28.24
2093,28.27
2094,28.01
2095,28.26
2096,28.10
2097,28.11
2098,28.01
2099,28.26
2100,28.42
