Variable:,tas
,Haiti,Artibonite,Centre,Nord,"Nord Est","Nord Ouest",Ouest,Sud,"Sud Est","Grande Anse",Nippes
2015,25.73,26.51,25.69,26.46,24.77,26.57,26.56,26.61,26.48,26.98,26.46
2016,25.75,26.57,25.71,26.53,24.83,26.62,26.52,26.57,26.44,26.94,26.42
2017,25.82,26.64,25.78,26.60,24.88,26.69,26.61,26.65,26.53,27.04,26.50
2018,25.75,26.57,25.71,26.53,24.80,26.63,26.56,26.64,26.47,27.01,26.49
2019,25.79,26.57,25.74,26.53,24.86,26.64,26.57,26.62,26.49,26.99,26.47
2020,25.76,26.55,25.73,26.51,24.84,26.60,26.58,26.65,26.49,27.02,26.50
2021,25.88,26.66,25.83,26.62,24.95,26.72,26.65,26.71,26.57,27.09,26.56
2022,25.87,26.67,25.82,26.62,24.90,26.77,26.68,26.76,26.59,27.12,26.62
2023,25.93,26.74,25.88,26.70,24.99,26.80,26.71,26.78,26.63,27.15,26.63
2024,26.05,26.87,26.02,26.83,25.10,26.94,26.89,26.94,26.80,27.31,26.79
2025,26.04,26.90,26.02,26.87,25.14,26.92,26.82,26.86,26.74,27.22,26.71
2026,26.12,26.94,26.08,26.90,25.20,26.98,26.90,26.96,26.81,27.34,26.81
2027,26.04,26.87,25.98,26.84,25.14,26.93,26.76,26.84,26.67,27.21,26.69
2028,26.02,26.81,25.97,26.77,25.08,26.88,26.82,26.89,26.73,27.26,26.74
2029,26.07,26.92,26.02,26.89,25.20,26.95,26.78,26.83,26.69,27.21,26.68
2030,26.02,26.85,25.96,26.81,25.08,26.91,26.79,26.88,26.70,27.27,26.73
2031,26.10,26.90,26.06,26.86,25.17,26.94,26.88,26.94,26.80,27.31,26.79
2032,26.25,27.05,26.20,27.01,25.30,27.09,27.05,27.10,26.96,27.48,26.95
2033,26.20,27.03,26.15,26.99,25.25,27.11,26.96,27.00,26.88,27.39,26.85
2034,26.17,27.00,26.13,26.96,25.26,27.06,26.93,26.99,26.85,27.38,26.84
2035,26.18,26.99,26.15,26.95,25.26,27.03,26.97,27.02,26.89,27.40,26.87
2036,26.24,27.09,26.20,27.05,25.29,27.13,27.03,27.07,26.95,27.43,26.92
2037,26.37,27.20,26.34,27.17,25.55,27.20,27.09,27.16,27.01,27.52,27.01
2038,26.39,27.20,26.35,27.16,25.49,27.25,27.15,27.22,27.07,27.60,27.07
2039,26.34,27.20,26.30,27.16,25.40,27.28,27.13,27.20,27.04,27.59,27.05
2040,26.37,27.19,26.33,27.16,25.51,27.22,27.06,27.14,26.98,27.53,26.99
2041,26.37,27.19,26.32,27.15,25.46,27.24,27.13,27.22,27.04,27.60,27.07
2042,26.29,27.12,26.27,27.08,25.35,27.17,27.11,27.14,27.03,27.52,26.99
2043,26.40,27.15,26.33,27.10,25.49,27.26,27.15,27.23,27.07,27.62,27.07
2044,26.49,27.39,26.50,27.36,25.63,27.37,27.28,27.25,27.20,27.61,27.11
2045,26.54,27.40,26.51,27.38,25.72,27.41,27.23,27.26,27.15,27.63,27.11
2046,26.49,27.29,26.45,27.26,25.62,27.31,27.21,27.24,27.14,27.61,27.09
2047,26.55,27.42,26.52,27.40,25.67,27.44,27.29,27.35,27.20,27.72,27.20
2048,26.71,27.50,26.67,27.47,25.84,27.55,27.44,27.45,27.36,27.82,27.30
2049,26.65,27.51,26.61,27.49,25.76,27.54,27.37,27.48,27.28,27.84,27.33
2050,26.59,27.46,26.55,27.45,25.77,27.47,27.24,27.27,27.16,27.66,27.12
2051,26.56,27.40,26.52,27.37,25.64,27.46,27.33,27.39,27.24,27.76,27.24
2052,26.73,27.53,26.70,27.50,25.87,27.57,27.48,27.56,27.40,27.95,27.41
2053,26.75,27.58,26.72,27.55,25.86,27.64,27.49,27.54,27.41,27.93,27.38
2054,26.72,27.54,26.68,27.50,25.80,27.60,27.49,27.51,27.41,27.90,27.36
2055,26.74,27.56,26.69,27.52,25.82,27.62,27.50,27.56,27.42,27.93,27.41
2056,26.74,27.56,26.70,27.53,25.84,27.61,27.50,27.55,27.41,27.92,27.40
2057,26.97,27.79,26.95,27.76,26.10,27.81,27.75,27.75,27.67,28.10,27.61
2058,26.82,27.61,26.79,27.58,25.96,27.64,27.57,27.61,27.49,27.98,27.46
2059,26.87,27.67,26.81,27.64,26.02,27.77,27.54,27.64,27.46,28.03,27.48
2060,26.94,27.78,26.92,27.74,26.03,27.80,27.74,27.76,27.66,28.11,27.62
2061,26.87,27.69,26.83,27.66,26.00,27.72,27.62,27.68,27.53,28.04,27.53
2062,26.83,27.68,26.81,27.65,25.96,27.71,27.57,27.57,27.49,27.94,27.42
2063,26.96,27.78,26.93,27.74,26.07,27.79,27.74,27.74,27.66,28.13,27.58
2064,26.94,27.82,26.91,27.80,26.07,27.81,27.65,27.68,27.57,28.06,27.53
2065,27.05,27.84,27.02,27.80,26.13,27.88,27.85,27.89,27.77,28.23,27.75
2066,27.04,27.93,27.03,27.90,26.16,27.97,27.81,27.78,27.74,28.13,27.64
2067,27.02,27.84,26.98,27.81,26.15,27.91,27.76,27.82,27.68,28.19,27.67
2068,27.10,27.94,27.11,27.91,26.22,27.90,27.91,27.86,27.83,28.23,27.71
2069,27.06,27.97,27.06,27.96,26.23,27.93,27.77,27.78,27.70,28.14,27.63
2070,26.99,27.80,26.93,27.77,26.12,27.85,27.71,27.76,27.62,28.14,27.61
2071,27.09,27.94,27.06,27.92,26.25,27.92,27.80,27.75,27.72,28.09,27.61
2072,27.05,27.87,27.00,27.84,26.19,27.91,27.74,27.75,27.66,28.14,27.60
2073,27.19,28.03,27.15,28.00,26.35,28.02,27.91,27.98,27.82,28.34,27.83
2074,27.14,28.00,27.12,27.97,26.31,28.01,27.86,27.86,27.78,28.25,27.71
2075,27.05,27.87,27.02,27.84,26.19,27.91,27.79,27.79,27.71,28.16,27.64
2076,27.26,28.14,27.26,28.13,26.49,28.07,27.95,27.99,27.87,28.36,27.84
2077,27.35,28.14,27.32,28.11,26.53,28.17,28.05,28.11,27.97,28.47,27.96
2078,27.21,28.08,27.17,28.05,26.30,28.10,27.96,27.96,27.88,28.32,27.81
2079,27.24,28.12,27.23,28.11,26.46,28.10,27.90,27.90,27.83,28.28,27.75
2080,27.23,28.10,27.16,28.08,26.32,28.16,27.92,27.95,27.83,28.30,27.81
2081,27.26,28.08,27.21,28.05,26.44,28.14,27.95,27.97,27.87,28.34,27.82
2082,27.22,28.08,27.20,28.06,26.44,28.08,27.90,27.93,27.82,28.30,27.78
2083,27.35,28.23,27.34,28.21,26.54,28.20,28.08,28.08,28.00,28.44,27.93
2084,27.41,28.32,27.41,28.30,26.61,28.27,28.16,28.18,28.07,28.54,28.04
2085,27.39,28.24,27.35,28.22,26.56,28.23,28.06,28.05,27.99,28.43,27.90
2086,27.44,28.25,27.40,28.22,26.61,28.28,28.13,28.18,28.04,28.53,28.04
2087,27.35,28.21,27.32,28.17,26.40,28.25,28.16,28.15,28.09,28.52,28.00
2088,27.33,28.13,27.30,28.11,26.55,28.19,27.98,28.02,27.91,28.39,27.87
2089,27.40,28.28,27.35,28.26,26.58,28.27,28.06,28.13,27.97,28.52,27.97
2090,27.52,28.32,27.51,28.30,26.80,28.30,28.18,28.22,28.10,28.56,28.09
2091,27.48,28.32,27.47,28.30,26.68,28.32,28.17,28.21,28.09,28.56,28.07
2092,27.50,28.28,27.46,28.24,26.66,28.33,28.23,28.24,28.15,28.61,28.09
2093,27.55,28.39,27.50,28.36,26.71,28.42,28.23,28.20,28.15,28.57,28.05
2094,27.30,28.11,27.28,28.07,26.42,28.17,28.08,28.09,28.00,28.45,27.94
2095,27.48,28.29,27.45,28.26,26.61,28.29,28.22,28.23,28.14,28.62,28.08
2096,27.37,28.21,27.33,28.18,26.53,28.19,28.08,28.09,28.00,28.47,27.94
2097,27.34,28.11,27.30,28.09,26.61,28.10,27.96,28.01,27.88,28.37,27.86
2098,27.40,28.29,27.35,28.27,26.53,28.35,28.10,28.16,28.02,28.54,28.01
2099,27.51,28.44,27.47,28.43,26.67,28.42,28.18,28.25,28.10,28.62,28.10
2100,27.55,28.40,27.55,28.38,26.80,28.33,28.24,28.25,28.16,28.60,28.11
