Variable:,tas
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
2015,18.54,18.73,26.35,18.46,11.41,16.58,21.46,12.06,12.54,18.68,26.36,24.58,19.88,25.87,23.74,13.78,16.34,19.08,13.20,13.83,19.91,24.34,17.44,12.08,17.63,11.30,11.22,16.77,12.36,14.76
2016,18.54,18.51,26.17,18.26,11.43,16.57,21.30,12.13,12.48,18.73,26.24,24.35,19.82,25.59,23.55,13.67,16.47,18.90,13.17,13.99,20.04,24.32,17.49,12.09,17.53,11.30,11.21,17.05,12.34,14.81
2017,18.58,18.70,26.44,18.42,11.37,16.63,21.47,12.20,12.60,18.72,26.38,24.68,19.86,25.99,23.80,13.73,16.53,19.10,13.27,13.98,19.95,24.35,17.46,12.05,17.66,11.25,11.25,16.89,12.43,14.86
2018,18.44,18.48,26.16,18.16,11.20,16.42,21.28,11.82,12.36,18.66,26.30,24.39,19.73,25.71,23.54,13.52,16.28,18.86,12.99,13.70,19.88,24.34,17.28,11.92,17.42,11.07,10.87,16.71,12.17,14.64
2019,18.61,18.70,26.36,18.51,11.41,16.67,21.57,12.11,12.54,18.78,26.39,24.64,19.99,25.92,23.88,13.75,16.40,19.10,13.20,13.89,20.03,24.36,17.38,12.07,17.77,11.30,11.18,16.89,12.31,14.84
2020,18.61,18.69,26.39,18.40,11.41,16.64,21.48,12.10,12.47,18.71,26.37,24.67,20.05,25.96,23.74,13.67,16.43,19.07,13.15,13.86,19.96,24.50,17.41,12.11,17.78,11.25,11.17,16.88,12.30,14.79
2021,18.67,18.71,26.39,18.46,11.57,16.75,21.49,12.14,12.68,18.86,26.45,24.62,19.94,25.93,23.81,13.85,16.44,19.06,13.32,13.95,20.15,24.44,17.53,12.23,17.84,11.41,11.28,17.07,12.44,14.95
2022,18.83,18.82,26.53,18.52,11.77,16.89,21.65,12.47,12.70,19.00,26.54,24.72,20.12,26.01,23.88,13.92,16.79,19.09,13.42,14.30,20.38,24.53,17.80,12.44,17.97,11.61,11.59,17.34,12.68,15.13
2023,18.81,18.96,26.63,18.63,11.74,16.83,21.72,12.40,12.76,18.97,26.63,24.89,20.15,26.19,24.01,13.96,16.58,19.31,13.46,14.06,20.21,24.60,17.67,12.41,17.91,11.53,11.46,17.12,12.63,15.08
2024,18.77,18.88,26.70,18.59,11.66,16.70,21.64,12.37,12.69,18.96,26.54,24.75,20.04,26.12,24.05,13.90,16.70,19.18,13.33,14.12,20.14,24.61,17.57,12.29,17.72,11.53,11.50,17.15,12.53,14.93
2025,19.07,19.04,26.65,18.81,11.95,17.14,21.84,12.72,13.02,19.24,26.66,24.93,20.35,26.26,24.15,14.18,17.04,19.44,13.76,14.53,20.57,24.75,18.05,12.59,18.22,11.84,11.81,17.55,12.95,15.41
2026,18.93,19.00,26.76,18.76,11.86,16.95,21.83,12.47,12.85,19.10,26.70,24.94,20.23,26.22,24.10,14.00,16.84,19.34,13.56,14.25,20.35,24.69,17.83,12.48,18.01,11.65,11.59,17.24,12.70,15.20
2027,18.99,19.00,26.65,18.82,11.83,17.06,21.81,12.55,12.92,19.18,26.69,24.88,20.30,26.24,24.08,14.07,16.87,19.42,13.65,14.31,20.40,24.75,17.88,12.51,18.08,11.69,11.61,17.34,12.80,15.30
2028,18.95,19.08,26.79,18.85,11.82,16.97,21.89,12.46,12.95,19.10,26.69,24.95,20.26,26.27,24.19,14.09,16.83,19.45,13.59,14.21,20.32,24.70,17.70,12.50,18.01,11.68,11.60,17.31,12.62,15.18
2029,18.97,19.03,26.67,18.78,11.88,16.91,21.80,12.37,12.94,19.26,26.71,24.91,20.27,26.27,24.15,14.16,16.75,19.41,13.57,14.21,20.36,24.76,17.72,12.57,17.98,11.66,11.59,17.32,12.64,15.19
2030,19.09,19.09,26.75,18.86,11.82,17.09,22.00,12.51,12.97,19.32,26.81,24.93,20.49,26.23,24.17,14.11,16.91,19.49,13.65,14.40,20.48,24.90,17.86,12.39,18.22,11.71,11.64,17.45,12.76,15.21
2031,19.15,19.21,26.87,18.97,11.90,17.19,21.95,12.63,12.99,19.36,26.79,25.13,20.49,26.45,24.29,14.16,16.96,19.61,13.75,14.46,20.62,24.91,17.95,12.59,18.31,11.81,11.79,17.50,12.88,15.38
2032,19.15,19.11,26.77,18.88,11.97,17.14,21.92,12.83,13.01,19.34,26.83,25.02,20.48,26.33,24.25,14.21,17.17,19.47,13.71,14.69,20.61,24.97,18.10,12.60,18.24,11.81,11.83,17.56,13.00,15.35
2033,19.14,19.24,26.87,18.94,12.00,17.10,22.01,12.63,13.02,19.34,26.89,25.14,20.47,26.37,24.30,14.25,16.93,19.60,13.71,14.43,20.53,24.94,17.98,12.71,18.19,11.79,11.85,17.48,12.84,15.31
2034,19.03,19.02,26.87,18.88,11.74,17.02,22.06,12.36,12.80,19.12,26.95,24.97,20.58,26.31,24.29,14.00,16.69,19.35,13.57,14.15,20.27,25.07,17.67,12.48,18.16,11.55,11.48,17.24,12.66,15.17
2035,19.26,19.38,27.00,19.13,12.17,17.34,22.18,12.70,13.27,19.43,26.98,25.27,20.57,26.56,24.42,14.51,17.08,19.74,13.89,14.49,20.64,25.00,18.02,12.80,18.39,11.99,11.87,17.52,12.96,15.51
2036,19.23,19.43,27.02,19.10,12.23,17.22,22.13,12.73,13.21,19.34,26.94,25.31,20.62,26.55,24.43,14.50,17.06,19.77,13.86,14.51,20.61,24.96,17.99,12.89,18.33,11.97,11.91,17.58,12.96,15.45
2037,19.34,19.45,27.04,19.17,12.19,17.31,22.14,12.80,13.29,19.51,27.07,25.31,20.72,26.60,24.47,14.45,17.14,19.84,13.96,14.63,20.71,25.21,18.16,12.85,18.46,12.01,11.95,17.76,13.08,15.57
2038,19.41,19.45,27.03,19.27,12.24,17.46,22.23,12.82,13.30,19.66,27.04,25.34,20.76,26.72,24.54,14.50,17.15,19.89,14.01,14.65,20.80,25.14,18.17,12.95,18.60,12.00,11.98,17.68,13.06,15.64
2039,19.28,19.38,27.17,19.25,12.12,17.32,22.29,12.76,13.19,19.34,27.17,25.31,20.69,26.74,24.59,14.37,16.98,19.84,13.91,14.50,20.59,25.16,18.01,12.80,18.43,11.98,11.90,17.49,12.97,15.50
2040,19.43,19.42,27.04,19.24,12.13,17.44,22.21,12.82,13.19,19.75,27.09,25.43,20.80,26.70,24.51,14.42,17.12,19.82,13.98,14.66,20.93,25.16,18.25,12.77,18.59,11.95,12.01,17.70,13.01,15.67
2041,19.41,19.41,27.08,19.27,12.29,17.51,22.32,13.01,13.36,19.55,27.15,25.32,20.76,26.66,24.58,14.48,17.14,19.82,14.05,14.73,20.77,25.16,18.29,12.88,18.59,12.16,12.25,17.65,13.21,15.73
2042,19.41,19.56,27.24,19.36,12.25,17.44,22.41,12.88,13.37,19.49,27.17,25.53,20.83,26.88,24.72,14.55,17.07,19.95,14.07,14.60,20.71,25.26,18.24,12.91,18.56,12.11,12.02,17.64,13.14,15.68
2043,19.31,19.30,27.01,19.18,12.23,17.40,22.22,12.91,13.28,19.42,27.14,25.24,20.68,26.53,24.43,14.37,17.15,19.72,14.06,14.64,20.71,25.09,18.30,12.83,18.46,12.17,12.04,17.65,13.23,15.73
