Variable:,tas
,Cambodia,"Banteay Meanchey",Battambang,"Kampong Cham","Kampong Chhnang","Kampong Speu","Kampong Thom",Kampot,Kandal,"Koh Kong",Kep,Kratie,"Preah Sihanouk","Mondul Kiri","Otdar Meanchey",Pailin,"Phnom Penh","Preah Vihear","Prey Veng",Pursat,"Ratanak Kiri","Siem Reap","Stung Treng","Svay Rieng",Takeo,"Area under National Administration 2","Area under National Administration 1"
2015,27.54,27.69,27.24,28.19,27.02,27.52,27.80,27.70,27.93,27.65,27.74,28.01,27.61,27.27,27.98,27.77,27.50,28.02,28.23,26.64,27.01,27.88,27.74,28.22,27.67,27.10,27.10
2016,27.62,27.88,27.39,28.22,27.03,27.56,27.83,27.78,27.98,27.73,27.83,28.06,27.69,27.33,28.12,27.89,27.54,28.18,28.28,26.72,27.06,28.07,27.82,28.30,27.74,27.19,27.19
2017,27.70,28.00,27.51,28.29,27.11,27.62,27.92,27.79,28.04,27.81,27.83,28.11,27.74,27.34,28.31,28.05,27.60,28.27,28.34,26.82,27.09,28.18,27.83,28.33,27.76,27.29,27.29
2018,27.86,28.09,27.57,28.38,27.25,27.69,28.09,27.87,28.07,27.85,27.90,28.29,27.82,27.54,28.49,28.05,27.67,28.46,28.35,26.91,27.31,28.29,28.07,28.36,27.83,27.41,27.41
2019,27.77,27.90,27.45,28.42,27.25,27.74,28.01,27.87,28.19,27.86,27.90,28.18,27.77,27.47,28.20,27.97,27.73,28.24,28.50,26.85,27.29,28.12,27.96,28.49,27.86,27.32,27.32
2020,27.65,27.88,27.43,28.28,27.11,27.59,27.90,27.72,28.02,27.88,27.75,28.06,27.66,27.30,28.19,27.91,27.55,28.21,28.35,26.82,27.02,28.11,27.80,28.33,27.70,27.25,27.25
2021,27.76,27.99,27.56,28.35,27.16,27.71,27.95,27.86,28.11,27.91,27.89,28.18,27.79,27.44,28.35,28.11,27.68,28.30,28.40,26.92,27.16,28.17,27.87,28.39,27.83,27.30,27.30
2022,27.79,28.07,27.59,28.36,27.24,27.77,28.01,27.90,28.14,27.91,27.93,28.17,27.83,27.44,28.35,28.12,27.75,28.36,28.41,26.93,27.22,28.24,27.98,28.40,27.88,27.38,27.38
2023,27.96,28.27,27.74,28.52,27.40,27.83,28.19,27.99,28.25,28.00,28.02,28.36,27.91,27.62,28.56,28.20,27.81,28.51,28.55,27.04,27.38,28.41,28.14,28.55,27.96,27.56,27.56
2024,27.96,28.16,27.72,28.59,27.40,27.94,28.19,28.10,28.35,28.08,28.13,28.44,28.01,27.68,28.41,28.28,27.92,28.47,28.64,27.08,27.39,28.35,28.14,28.64,28.07,27.51,27.51
2025,27.91,28.17,27.65,28.53,27.35,27.81,28.17,27.97,28.24,27.94,28.01,28.33,27.88,27.57,28.49,28.15,27.79,28.49,28.55,26.97,27.32,28.36,28.09,28.54,27.95,27.50,27.50
2026,27.97,28.07,27.63,28.62,27.34,27.89,28.20,28.06,28.34,28.02,28.10,28.47,27.93,27.72,28.42,28.17,27.88,28.49,28.66,27.01,27.46,28.30,28.18,28.64,28.04,27.45,27.45
2027,28.01,28.28,27.79,28.57,27.41,27.91,28.21,28.03,28.32,28.05,28.06,28.45,27.95,27.73,28.56,28.27,27.89,28.56,28.62,27.12,27.49,28.44,28.23,28.61,28.02,27.58,27.58
2028,28.09,28.34,27.85,28.69,27.53,28.00,28.34,28.10,28.42,28.11,28.13,28.49,28.00,27.74,28.67,28.32,27.99,28.66,28.72,27.21,27.52,28.52,28.30,28.70,28.10,27.68,27.68
2029,28.20,28.39,27.92,28.78,27.61,28.09,28.40,28.13,28.53,28.16,28.15,28.58,28.00,27.82,28.74,28.40,28.08,28.78,28.84,27.28,27.63,28.60,28.38,28.81,28.15,27.75,27.75
2030,28.00,28.28,27.78,28.57,27.41,27.89,28.22,28.01,28.30,28.02,28.04,28.40,27.93,27.66,28.59,28.26,27.87,28.56,28.59,27.11,27.44,28.46,28.22,28.58,28.00,27.58,27.58
2031,28.09,28.32,27.82,28.66,27.51,27.99,28.30,28.12,28.40,28.14,28.15,28.51,28.03,27.77,28.68,28.33,27.97,28.65,28.69,27.17,27.55,28.47,28.30,28.68,28.10,27.63,27.63
2032,28.05,28.27,27.80,28.62,27.46,27.98,28.25,28.21,28.40,28.15,28.26,28.44,28.08,27.74,28.61,28.33,27.96,28.60,28.70,27.15,27.50,28.46,28.23,28.71,28.16,27.59,27.59
2033,28.14,28.38,27.86,28.75,27.55,28.09,28.34,28.22,28.54,28.12,28.26,28.53,28.04,27.80,28.69,28.34,28.09,28.69,28.85,27.18,27.60,28.55,28.32,28.82,28.22,27.68,27.68
2034,28.05,28.30,27.79,28.59,27.49,27.95,28.28,28.12,28.35,28.10,28.16,28.44,28.05,27.67,28.63,28.27,27.93,28.67,28.64,27.12,27.45,28.50,28.25,28.64,28.09,27.63,27.63
2035,28.19,28.46,27.95,28.80,27.64,28.10,28.44,28.23,28.54,28.21,28.26,28.61,28.09,27.86,28.74,28.40,28.09,28.75,28.84,27.29,27.59,28.62,28.34,28.82,28.22,27.78,27.78
2036,28.12,28.34,27.84,28.71,27.50,27.98,28.33,28.16,28.45,28.12,28.20,28.55,28.11,27.82,28.66,28.38,27.97,28.69,28.79,27.15,27.58,28.52,28.36,28.77,28.14,27.64,27.64
2037,28.28,28.49,28.03,28.92,27.76,28.25,28.53,28.36,28.69,28.33,28.39,28.71,28.20,27.96,28.77,28.54,28.24,28.80,29.00,27.41,27.73,28.66,28.51,28.97,28.36,27.86,27.86
2038,28.38,28.58,28.09,28.99,27.80,28.34,28.60,28.48,28.77,28.47,28.51,28.81,28.39,28.08,28.94,28.60,28.32,28.95,29.07,27.43,27.81,28.79,28.58,29.05,28.46,27.91,27.91
2039,28.33,28.67,28.19,28.91,27.77,28.27,28.53,28.47,28.68,28.47,28.51,28.70,28.38,28.01,28.90,28.72,28.25,28.85,28.98,27.51,27.77,28.76,28.48,28.97,28.43,27.93,27.93
2040,28.24,28.42,27.96,28.87,27.69,28.17,28.47,28.33,28.62,28.28,28.37,28.69,28.21,27.96,28.72,28.49,28.16,28.77,28.94,27.34,27.70,28.62,28.43,28.94,28.31,27.80,27.80
2041,28.25,28.53,28.00,28.86,27.67,28.13,28.49,28.25,28.58,28.24,28.28,28.66,28.13,27.90,28.82,28.40,28.12,28.79,28.89,27.33,27.68,28.69,28.40,28.87,28.24,27.83,27.83
2042,28.40,28.63,28.12,28.99,27.80,28.33,28.60,28.42,28.74,28.43,28.44,28.82,28.31,28.08,28.99,28.62,28.32,28.97,29.04,27.45,27.80,28.82,28.59,29.03,28.42,27.94,27.94
2043,28.34,28.63,28.07,28.86,27.71,28.16,28.55,28.32,28.58,28.27,28.35,28.73,28.24,27.98,28.99,28.53,28.15,28.97,28.88,27.35,27.76,28.82,28.59,28.87,28.30,27.89,27.89
2044,28.37,28.58,28.09,28.93,27.77,28.25,28.57,28.38,28.67,28.36,28.41,28.78,28.30,28.04,28.92,28.58,28.24,28.95,28.97,27.42,27.81,28.80,28.56,28.98,28.37,27.93,27.93
2045,28.32,28.53,28.06,28.91,27.77,28.31,28.53,28.51,28.68,28.44,28.55,28.77,28.40,28.06,28.80,28.61,28.29,28.84,28.95,27.41,27.76,28.75,28.48,28.96,28.47,27.88,27.88
2046,28.44,28.72,28.20,29.04,27.88,28.31,28.67,28.48,28.77,28.41,28.51,28.86,28.40,28.12,29.06,28.65,28.30,29.01,29.09,27.51,27.85,28.91,28.59,29.08,28.46,28.04,28.04
2047,28.60,28.80,28.31,29.26,28.10,28.55,28.88,28.59,28.99,28.57,28.61,29.05,28.45,28.28,29.12,28.73,28.55,29.14,29.30,27.69,28.01,29.02,28.78,29.27,28.62,28.20,28.20
2048,28.71,28.93,28.41,29.37,28.10,28.56,28.99,28.65,29.06,28.64,28.68,29.15,28.42,28.38,29.29,28.87,28.55,29.34,29.41,27.74,28.08,29.16,28.89,29.36,28.66,28.26,28.26
2049,28.74,28.96,28.42,29.39,28.12,28.57,29.00,28.64,29.08,28.61,28.66,29.23,28.52,28.43,29.39,28.84,28.57,29.33,29.43,27.75,28.13,29.17,28.94,29.39,28.66,28.28,28.28
2050,28.54,28.81,28.31,29.13,27.97,28.50,28.76,28.52,28.89,28.58,28.53,28.95,28.43,28.20,29.14,28.82,28.49,29.11,29.17,27.63,27.96,28.98,28.73,29.16,28.55,28.11,28.11
2051,28.62,28.78,28.31,29.25,28.06,28.58,28.86,28.67,29.02,28.64,28.70,29.01,28.54,28.25,29.14,28.77,28.58,29.20,29.33,27.70,28.03,29.03,28.82,29.30,28.68,28.17,28.17
2052,28.82,29.10,28.54,29.36,28.25,28.71,29.05,28.69,29.13,28.66,28.70,29.16,28.52,28.40,29.48,29.01,28.72,29.48,29.40,27.83,28.21,29.29,29.07,29.35,28.74,28.38,28.38
2053,28.76,28.99,28.49,29.40,28.20,28.67,29.03,28.76,29.14,28.71,28.79,29.21,28.54,28.45,29.32,28.96,28.67,29.33,29.46,27.84,28.15,29.18,28.96,29.42,28.77,28.33,28.33
2054,28.67,28.88,28.38,29.28,28.09,28.57,28.89,28.66,29.04,28.68,28.69,29.09,28.48,28.34,29.26,28.91,28.56,29.26,29.38,27.72,28.10,29.06,28.89,29.34,28.67,28.21,28.21
2055,28.76,28.99,28.47,29.35,28.11,28.62,28.99,28.76,29.08,28.76,28.79,29.15,28.63,28.41,29.36,28.94,28.60,29.37,29.41,27.78,28.20,29.19,29.00,29.37,28.74,28.28,28.28
2056,28.75,28.99,28.46,29.32,28.12,28.60,28.96,28.70,29.04,28.70,28.73,29.20,28.57,28.43,29.37,28.93,28.59,29.34,29.36,27.78,28.16,29.17,28.96,29.35,28.71,28.28,28.28
2057,28.78,29.08,28.55,29.35,28.22,28.68,29.00,28.87,29.12,28.84,28.91,29.14,28.77,28.43,29.48,29.03,28.66,29.38,29.43,27.89,28.14,29.24,28.90,29.42,28.83,28.38,28.38
2058,28.84,29.03,28.52,29.43,28.21,28.67,29.06,28.76,29.16,28.79,28.78,29.26,28.69,28.51,29.42,29.02,28.66,29.43,29.50,27.86,28.30,29.25,29.05,29.46,28.77,28.37,28.37
2059,28.93,29.23,28.71,29.51,28.38,28.80,29.18,28.84,29.25,28.87,28.86,29.32,28.68,28.55,29.52,29.18,28.79,29.53,29.56,28.03,28.33,29.42,29.12,29.52,28.86,28.55,28.55
2060,28.98,29.18,28.67,29.56,28.42,28.88,29.19,28.97,29.33,28.99,29.00,29.39,28.85,28.66,29.55,29.12,28.86,29.53,29.65,28.03,28.42,29.39,29.16,29.63,28.97,28.55,28.55
2061,28.80,29.01,28.49,29.38,28.14,28.63,29.03,28.78,29.05,28.73,28.81,29.30,28.64,28.51,29.40,28.97,28.62,29.41,29.35,27.80,28.22,29.14,29.03,29.33,28.76,28.28,28.28
2062,28.84,29.03,28.55,29.45,28.25,28.76,29.06,28.90,29.19,28.89,28.93,29.27,28.77,28.53,29.44,29.07,28.74,29.41,29.50,27.90,28.29,29.20,29.04,29.49,28.88,28.36,28.36
2063,29.15,29.41,28.87,29.70,28.54,28.91,29.41,28.99,29.37,29.02,29.01,29.57,28.88,28.79,29.85,29.29,28.90,29.79,29.69,28.18,28.55,29.63,29.38,29.66,29.00,28.73,28.73
2064,28.84,29.12,28.60,29.42,28.30,28.72,29.09,28.85,29.16,28.87,28.88,29.28,28.75,28.51,29.45,29.10,28.70,29.41,29.47,27.93,28.21,29.26,28.99,29.45,28.84,28.43,28.43
2065,28.88,29.19,28.67,29.48,28.36,28.82,29.11,29.00,29.24,28.99,29.04,29.29,28.89,28.55,29.43,29.18,28.80,29.42,29.53,27.99,28.30,29.33,29.04,29.53,28.97,28.49,28.49
2066,29.00,29.21,28.69,29.55,28.39,28.82,29.19,28.93,29.28,28.95,28.96,29.42,28.84,28.73,29.58,29.16,28.80,29.56,29.61,28.03,28.46,29.40,29.19,29.58,28.92,28.55,28.55
2067,28.81,29.07,28.54,29.37,28.17,28.67,29.03,28.78,29.08,28.81,28.80,29.18,28.71,28.43,29.46,29.03,28.65,29.41,29.37,27.85,28.23,29.26,28.99,29.36,28.77,28.35,28.35
2068,29.00,29.15,28.65,29.68,28.40,28.96,29.19,28.92,29.45,28.87,28.92,29.46,28.76,28.75,29.52,29.09,28.97,29.48,29.78,28.01,28.46,29.36,29.15,29.75,28.98,28.51,28.51
2069,29.05,29.36,28.82,29.60,28.48,28.93,29.26,28.98,29.35,29.04,29.00,29.43,28.90,28.70,29.70,29.23,28.92,29.62,29.64,28.14,28.46,29.52,29.24,29.62,29.00,28.65,28.65
2070,28.91,29.11,28.59,29.56,28.38,28.85,29.18,28.89,29.29,28.89,28.91,29.38,28.73,28.61,29.52,29.10,28.85,29.48,29.60,27.93,28.25,29.29,29.06,29.57,28.92,28.47,28.47
2071,29.02,29.30,28.74,29.66,28.40,28.89,29.23,29.05,29.42,29.04,29.08,29.48,28.97,28.73,29.63,29.20,28.87,29.60,29.79,28.02,28.39,29.43,29.19,29.75,29.02,28.56,28.56
2072,29.14,29.44,28.90,29.68,28.55,29.01,29.34,29.07,29.44,29.08,29.09,29.53,28.88,28.81,29.79,29.36,29.00,29.71,29.74,28.20,28.56,29.60,29.32,29.72,29.08,28.71,28.71
